channel_name channel_alias  rank  urls_scraped  subs_scraped total_time
はじめしゃちょー (Hajime) 0214mex 1 990
HikakinTV HikakinTV 2 988
Fischer's-フィッシャーズ-  MASAIandHamzael 3 985
Yuka Kinoshita木下ゆうか kinoyuu0204 4 989
東海オンエア  TokaiOnAir  6 987
SUSHI RAMEN【Riku】 UCljYHFazflmGaDr5Lo90KmA  7 417
水溜りボンド  UCpOjLndjOqMoffA-fr8cbKA  12  990
HikakinGames HikakinGames 10  975
ヒカル（Hikaru） UCaminwG9MTO4sLYeC3s6udA  15  987
SeikinTV  SeikinTV  14  990
桐崎栄二.きりざきえいじ  kirizakieizi  22  498
スカイピース  UC8_wmm5DX9mb4jrLiw8ZYzw  23  982
兄者弟者  norunine  25  990
A.I.Channel UC4YaOt1yT-ZeyB0OmxHgolA  26  745
ポッキー  pockysweets 27  989
きまぐれクックKimagure Cook  toruteli  30  420
はじめしゃちょー2 (hajime)  hajimexgame 33  985
ワタナベマホト UC4Au2QrbfaSjHPSdk5tUBeg  29  792
おるたなChannel torokeroTV  36  540
TokaiHikaesitsu 987
