video_id, sentence_id, dep_length, total_length
1, 2, 6, 5
1, 8, 66, 31
1, 9, 11, 8
1, 11, 11, 7
1, 12, 9, 6
1, 14, 21, 9
1, 17, 5, 5
1, 18, 109, 31
1, 19, 8, 5
1, 20, 52, 20
1, 25, 11, 7
1, 27, 18, 12
1, 30, 12, 9
1, 32, 17, 10
1, 33, 7, 5
1, 34, 9, 6
1, 37, 27, 13
1, 39, 13, 10
1, 40, 6, 5
1, 42, 10, 6
1, 43, 7, 5
1, 46, 7, 6
1, 48, 14, 7
1, 61, 24, 12
1, 64, 23, 10
1, 67, 9, 6
1, 70, 13, 9
1, 77, 20, 9
2, 3, 6, 5
2, 5, 10, 8
2, 7, 9, 6
2, 9, 15, 8
2, 13, 17, 7
2, 14, 21, 11
2, 15, 8, 5
2, 16, 8, 6
2, 18, 13, 7
2, 20, 12, 8
2, 21, 20, 12
2, 22, 18, 11
2, 23, 10, 7
2, 25, 8, 6
2, 26, 11, 6
2, 27, 17, 9
2, 29, 9, 7
2, 30, 24, 11
2, 31, 18, 8
2, 33, 10, 7
2, 34, 11, 6
2, 35, 31, 10
2, 37, 6, 5
2, 38, 42, 19
2, 39, 27, 13
2, 42, 30, 15
2, 44, 9, 6
2, 45, 29, 17
2, 46, 16, 8
2, 49, 22, 14
2, 50, 13, 8
2, 53, 25, 10
2, 54, 6, 5
2, 56, 7, 6
2, 57, 41, 19
2, 59, 9, 6
2, 62, 36, 9
2, 63, 49, 15
2, 67, 27, 13
2, 69, 18, 8
2, 72, 7, 5
2, 74, 5, 5
2, 76, 84, 22
2, 81, 7, 6
2, 82, 22, 11
2, 84, 13, 7
2, 86, 19, 10
2, 89, 22, 12
2, 91, 16, 7
2, 92, 11, 8
3, 3, 25, 16
3, 5, 78, 27
3, 6, 34, 11
3, 9, 7, 5
3, 13, 8, 6
3, 14, 66, 19
3, 15, 15, 8
3, 16, 26, 13
3, 17, 10, 5
3, 18, 39, 20
3, 19, 26, 14
3, 24, 18, 8
3, 25, 17, 8
3, 26, 5, 5
3, 27, 17, 10
3, 28, 12, 7
3, 30, 11, 6
3, 32, 21, 11
3, 34, 15, 8
3, 35, 7, 6
3, 37, 9, 6
3, 40, 17, 9
3, 41, 15, 8
3, 42, 9, 6
3, 43, 14, 8
3, 45, 9, 6
3, 47, 6, 5
3, 48, 9, 6
3, 49, 15, 9
3, 53, 7, 6
3, 55, 10, 5
3, 56, 56, 24
3, 57, 18, 9
3, 58, 18, 7
3, 65, 16, 7
3, 72, 5, 5
3, 75, 19, 10
3, 81, 8, 5
3, 90, 5, 5
3, 91, 15, 8
3, 97, 5, 5
3, 98, 9, 6
3, 100, 12, 8
3, 106, 14, 8
3, 107, 7, 5
3, 113, 37, 18
3, 115, 13, 7
3, 116, 11, 6
3, 117, 9, 7
3, 119, 8, 6
3, 123, 9, 6
3, 126, 11, 9
3, 128, 30, 12
3, 129, 9, 7
3, 130, 22, 10
3, 132, 37, 15
4, 1, 7, 6
4, 2, 15, 8
4, 5, 13, 9
4, 6, 41, 18
4, 7, 26, 14
4, 8, 7, 5
4, 10, 35, 13
4, 11, 9, 6
4, 13, 15, 10
4, 14, 40, 17
4, 15, 12, 8
4, 16, 11, 7
4, 17, 9, 6
4, 18, 25, 12
4, 20, 7, 6
4, 21, 21, 9
4, 22, 38, 18
4, 23, 13, 9
4, 24, 25, 12
4, 26, 7, 6
4, 27, 21, 9
4, 28, 22, 10
4, 30, 26, 13
4, 31, 15, 9
5, 12, 7, 5
5, 13, 40, 19
5, 15, 20, 12
5, 18, 59, 18
5, 19, 35, 14
5, 20, 34, 13
5, 22, 17, 10
5, 26, 10, 5
5, 27, 13, 9
5, 28, 13, 7
5, 31, 7, 6
5, 32, 6, 5
5, 33, 22, 13
5, 40, 25, 12
5, 41, 8, 6
5, 43, 9, 6
5, 44, 11, 7
5, 45, 6, 5
5, 46, 10, 7
5, 48, 9, 6
5, 52, 10, 5
5, 54, 9, 7
5, 57, 5, 5
5, 61, 16, 10
5, 62, 41, 15
5, 66, 10, 7
5, 68, 18, 9
5, 70, 7, 5
5, 71, 6, 5
5, 74, 7, 5
5, 77, 7, 6
5, 79, 33, 17
5, 80, 12, 8
5, 82, 7, 5
5, 83, 7, 5
5, 86, 8, 6
5, 87, 7, 6
5, 88, 21, 9
5, 89, 7, 6
5, 90, 22, 11
5, 91, 11, 7
5, 92, 35, 14
5, 95, 37, 13
5, 100, 58, 23
5, 102, 14, 7
5, 103, 11, 8
5, 104, 6, 5
5, 105, 41, 15
5, 109, 11, 6
5, 110, 37, 13
5, 111, 13, 7
5, 112, 38, 21
6, 3, 19, 11
6, 4, 17, 11
6, 5, 23, 11
6, 7, 14, 8
6, 8, 6, 5
6, 12, 16, 9
6, 13, 7, 6
6, 14, 6, 5
6, 16, 41, 14
6, 18, 5, 5
6, 26, 42, 20
6, 27, 34, 17
6, 28, 9, 6
6, 29, 38, 17
6, 34, 23, 11
6, 35, 29, 14
7, 4, 20, 11
7, 7, 8, 5
7, 8, 7, 5
7, 9, 24, 12
7, 12, 27, 15
7, 14, 41, 17
7, 15, 12, 8
7, 17, 12, 7
7, 19, 7, 5
7, 20, 56, 16
7, 22, 6, 5
7, 25, 19, 10
7, 27, 6, 5
7, 29, 13, 8
7, 30, 5, 5
7, 31, 26, 13
7, 34, 21, 9
7, 35, 67, 28
7, 36, 27, 16
7, 39, 11, 7
7, 42, 8, 6
7, 44, 37, 16
7, 47, 8, 6
7, 49, 57, 20
7, 50, 7, 5
7, 53, 16, 9
7, 55, 8, 7
7, 59, 27, 16
7, 62, 11, 7
7, 63, 14, 6
7, 67, 76, 34
7, 68, 21, 11
7, 70, 6, 5
7, 71, 33, 13
7, 72, 23, 10
7, 73, 21, 11
7, 74, 20, 9
7, 85, 16, 7
7, 86, 15, 10
8, 1, 19, 10
8, 2, 16, 10
8, 3, 16, 7
8, 4, 9, 6
8, 5, 33, 14
8, 6, 19, 10
8, 7, 6, 5
8, 8, 30, 11
8, 9, 9, 7
8, 15, 28, 12
8, 16, 9, 6
8, 18, 11, 9
8, 19, 9, 7
8, 22, 12, 8
8, 26, 15, 8
8, 27, 28, 12
8, 28, 20, 10
8, 29, 20, 11
8, 30, 16, 8
8, 31, 10, 7
8, 32, 7, 6
8, 33, 24, 12
8, 36, 6, 5
8, 39, 6, 5
8, 42, 15, 10
8, 43, 15, 9
8, 45, 8, 6
8, 46, 8, 6
8, 49, 14, 9
8, 53, 7, 6
8, 54, 11, 8
8, 55, 7, 5
8, 59, 6, 5
8, 60, 23, 11
8, 61, 10, 8
8, 63, 16, 9
8, 65, 10, 8
8, 70, 10, 7
8, 71, 13, 6
8, 73, 7, 6
8, 77, 10, 5
9, 2, 41, 16
9, 3, 21, 10
9, 6, 34, 15
9, 7, 35, 13
9, 8, 19, 9
9, 9, 52, 25
9, 11, 49, 20
9, 12, 12, 9
9, 14, 8, 5
9, 15, 58, 25
9, 17, 11, 7
9, 19, 22, 12
9, 21, 6, 5
9, 22, 10, 8
9, 29, 16, 8
9, 30, 26, 13
9, 32, 5, 5
9, 33, 11, 7
9, 34, 20, 13
9, 38, 15, 9
9, 42, 8, 7
9, 46, 18, 11
9, 49, 5, 5
9, 51, 68, 21
9, 52, 72, 22
9, 53, 18, 9
9, 55, 6, 5
9, 56, 13, 10
9, 61, 31, 13
9, 66, 30, 15
9, 67, 30, 14
9, 69, 16, 7
9, 70, 21, 11
9, 72, 16, 8
9, 74, 7, 5
9, 75, 6, 5
9, 76, 7, 5
9, 79, 13, 9
9, 80, 9, 6
9, 81, 7, 5
9, 82, 14, 8
9, 83, 5, 5
9, 84, 10, 7
9, 85, 10, 5
9, 86, 9, 6
9, 87, 23, 14
9, 88, 40, 20
9, 89, 53, 22
9, 91, 27, 10
9, 92, 8, 5
9, 93, 34, 17
9, 94, 7, 6
9, 95, 19, 9
9, 96, 12, 8
9, 97, 30, 15
9, 98, 24, 12
9, 99, 11, 7
9, 101, 18, 8
9, 102, 20, 12
9, 103, 8, 7
10, 3, 48, 21
10, 4, 6, 5
10, 5, 72, 22
10, 6, 15, 9
10, 7, 18, 9
10, 8, 6, 5
10, 10, 25, 10
10, 11, 19, 12
10, 12, 61, 27
10, 13, 71, 25
10, 14, 95, 38
10, 15, 43, 19
10, 17, 79, 28
10, 18, 13, 7
10, 20, 92, 35
10, 21, 17, 10
10, 22, 21, 8
10, 23, 19, 9
10, 25, 102, 33
10, 26, 93, 27
10, 27, 70, 26
10, 29, 11, 7
10, 30, 30, 17
10, 31, 16, 9
10, 32, 22, 13
10, 33, 23, 12
10, 34, 72, 30
10, 35, 109, 38
10, 38, 62, 21
10, 40, 9, 6
10, 41, 18, 10
10, 43, 78, 28
10, 44, 48, 19
10, 46, 30, 16
10, 47, 6, 5
10, 48, 9, 6
10, 51, 13, 9
10, 53, 8, 5
10, 55, 7, 6
10, 56, 11, 7
10, 57, 6, 5
10, 58, 37, 13
10, 59, 22, 10
10, 61, 18, 8
10, 62, 24, 15
10, 63, 16, 7
10, 64, 16, 9
10, 69, 79, 33
10, 70, 11, 8
