video_id, sentence_id, dep_length, total_length
3, 1, 60, 33
3, 2, 55, 27
3, 3, 17, 13
3, 5, 11, 9
3, 9, 32, 19
3, 10, 31, 17
4, 5, 69, 36
4, 6, 12, 9
4, 10, 14, 10
4, 11, 25, 17
6, 5, 70, 36
8, 1, 35, 20
8, 3, 50, 29
8, 5, 45, 24
8, 8, 11, 8
8, 10, 10, 9
8, 11, 17, 11
8, 12, 47, 23
8, 13, 16, 11
8, 14, 44, 21
8, 15, 42, 22
8, 17, 11, 10
8, 21, 46, 22
8, 22, 5, 5
8, 24, 19, 13
8, 25, 17, 12
8, 28, 26, 16
8, 29, 63, 32
8, 30, 30, 15
8, 31, 5, 5
8, 32, 26, 18
8, 34, 10, 8
8, 35, 12, 10
8, 36, 4, 5
8, 38, 10, 8
8, 40, 31, 20
8, 43, 52, 30
8, 44, 48, 24
8, 46, 82, 39
8, 47, 7, 6
9, 2, 27, 15
9, 5, 40, 22
9, 6, 68, 34
9, 7, 46, 24
9, 8, 53, 31
9, 10, 22, 15
9, 11, 10, 8
9, 12, 21, 13
9, 13, 15, 12
9, 14, 14, 9
9, 15, 22, 16
9, 16, 9, 7
9, 17, 24, 15
9, 18, 12, 9
9, 19, 17, 12
9, 20, 10, 9
9, 21, 42, 23
9, 22, 4, 5
9, 23, 11, 8
9, 25, 11, 9
9, 26, 11, 8
9, 27, 6, 6
9, 28, 62, 35
9, 29, 6, 6
9, 30, 47, 25
9, 32, 67, 31
9, 33, 63, 29
9, 34, 31, 19
9, 35, 15, 11
9, 36, 52, 26
9, 37, 20, 13
9, 38, 81, 38
9, 39, 84, 40
9, 40, 49, 28
9, 41, 26, 14
9, 42, 7, 7
10, 1, 52, 27
11, 2, 47, 27
11, 3, 10, 7
11, 6, 64, 36
11, 7, 40, 23
11, 10, 21, 15
11, 11, 23, 15
11, 12, 39, 21
11, 13, 27, 18
11, 15, 51, 28
11, 16, 10, 8
11, 18, 19, 13
11, 19, 4, 5
11, 20, 48, 23
11, 21, 23, 15
11, 22, 43, 25
11, 26, 31, 14
11, 27, 10, 8
11, 29, 25, 14
11, 32, 7, 6
11, 33, 20, 13
11, 34, 4, 5
11, 35, 16, 12
11, 36, 32, 19
11, 37, 8, 7
11, 39, 7, 6
11, 40, 47, 28
11, 41, 13, 10
11, 42, 28, 15
11, 43, 6, 5
11, 44, 16, 11
11, 45, 6, 6
11, 46, 5, 5
11, 47, 12, 9
11, 50, 24, 15
11, 52, 10, 7
11, 53, 21, 13
11, 54, 18, 13
11, 55, 11, 9
11, 56, 20, 15
11, 57, 37, 25
11, 58, 25, 15
11, 59, 27, 17
11, 60, 50, 27
11, 61, 53, 29
11, 63, 39, 22
11, 64, 58, 25
11, 65, 66, 34
11, 66, 9, 8
11, 67, 8, 7
11, 68, 16, 13
11, 70, 36, 21
11, 71, 62, 36
11, 72, 55, 31
11, 73, 17, 9
11, 77, 15, 10
11, 78, 9, 8
11, 79, 17, 9
11, 80, 13, 10
11, 81, 6, 5
11, 83, 26, 16
11, 86, 37, 21
11, 87, 14, 11
11, 89, 7, 6
11, 91, 12, 10
11, 93, 20, 13
11, 94, 11, 10
11, 96, 14, 11
11, 97, 13, 10
11, 98, 16, 12
12, 7, 7, 6
12, 12, 10, 8
12, 13, 8, 7
13, 1, 36, 22
13, 2, 55, 30
13, 4, 57, 27
15, 3, 52, 22
15, 4, 45, 24
16, 3, 40, 24
19, 2, 43, 28
19, 3, 17, 13
19, 4, 6, 6
19, 5, 59, 28
19, 6, 24, 15
19, 7, 58, 31
19, 8, 13, 10
19, 9, 23, 13
19, 10, 51, 30
19, 11, 27, 17
19, 12, 30, 20
19, 13, 23, 14
19, 14, 46, 25
19, 15, 43, 24
19, 16, 20, 14
19, 17, 9, 8
19, 18, 37, 22
19, 19, 13, 9
19, 21, 7, 6
19, 22, 18, 12
19, 23, 9, 8
19, 24, 38, 22
19, 25, 17, 13
19, 26, 28, 16
19, 27, 33, 17
19, 28, 28, 16
19, 29, 89, 38
19, 30, 26, 16
19, 31, 23, 15
19, 34, 30, 17
19, 35, 15, 11
19, 36, 18, 10
19, 37, 33, 19
19, 38, 31, 20
19, 39, 6, 6
19, 40, 65, 31
19, 42, 42, 24
19, 43, 11, 9
19, 44, 17, 12
19, 45, 17, 11
19, 48, 24, 16
19, 50, 38, 20
19, 51, 4, 5
19, 52, 5, 5
19, 53, 28, 14
19, 54, 36, 21
19, 55, 24, 16
19, 56, 10, 8
19, 57, 12, 9
19, 58, 12, 9
19, 61, 5, 5
19, 64, 28, 16
19, 65, 8, 7
19, 68, 51, 26
19, 69, 10, 8
19, 70, 14, 11
19, 71, 11, 9
19, 72, 48, 27
19, 74, 12, 8
19, 75, 31, 20
19, 76, 19, 14
19, 77, 15, 12
19, 78, 14, 11
19, 79, 21, 15
19, 81, 9, 8
19, 82, 9, 8
19, 83, 6, 5
19, 84, 23, 16
19, 85, 39, 20
19, 86, 11, 9
19, 87, 41, 24
19, 88, 20, 14
19, 89, 57, 29
19, 90, 24, 17
19, 91, 7, 7
19, 92, 5, 5
19, 94, 19, 13
19, 95, 20, 11
19, 98, 6, 6
19, 100, 18, 12
19, 101, 7, 6
19, 102, 5, 6
19, 106, 23, 13
19, 107, 16, 10
19, 108, 49, 29
19, 109, 21, 14
19, 110, 5, 5
19, 111, 19, 12
19, 113, 8, 7
19, 114, 19, 13
19, 117, 5, 5
20, 1, 13, 9
20, 3, 68, 33
20, 5, 27, 14
20, 7, 31, 21
20, 8, 61, 31
20, 10, 24, 15
20, 11, 13, 10
20, 13, 27, 18
20, 14, 32, 20
20, 15, 26, 17
20, 16, 46, 26
20, 17, 5, 5
20, 18, 19, 13
20, 22, 19, 12
20, 23, 41, 22
20, 25, 25, 15
20, 26, 49, 29
20, 27, 32, 17
20, 29, 33, 20
20, 30, 20, 11
20, 31, 90, 37
20, 32, 84, 40
20, 33, 53, 32
20, 34, 34, 22
20, 35, 27, 17
20, 37, 22, 16
20, 38, 6, 5
20, 39, 16, 11
20, 40, 55, 28
20, 41, 65, 33
20, 43, 7, 6
20, 44, 5, 6
20, 45, 41, 22
20, 46, 71, 33
20, 47, 42, 25
20, 48, 79, 40
20, 49, 64, 33
20, 52, 27, 15
20, 54, 22, 15
20, 55, 54, 30
20, 56, 70, 30
20, 57, 103, 39
20, 59, 33, 22
20, 61, 84, 34
20, 63, 33, 20
20, 64, 19, 15
20, 65, 6, 6
20, 68, 9, 8
20, 69, 9, 8
20, 70, 26, 17
20, 72, 39, 21
20, 73, 16, 10
20, 75, 41, 21
20, 76, 25, 15
20, 77, 14, 11
20, 78, 33, 20
20, 79, 38, 22
20, 80, 77, 40
20, 81, 80, 40
20, 82, 52, 27
20, 83, 28, 19
20, 84, 15, 10
20, 85, 48, 28
20, 87, 5, 5
20, 88, 20, 14
22, 3, 12, 9
22, 5, 12, 9
22, 8, 79, 37
22, 9, 17, 11
22, 10, 61, 32
22, 11, 10, 7
22, 14, 41, 21
22, 15, 31, 19
22, 16, 38, 26
22, 17, 5, 5
23, 2, 11, 9
23, 3, 19, 10
23, 4, 26, 16
23, 6, 8, 7
23, 7, 8, 7
23, 8, 30, 19
23, 9, 5, 5
23, 11, 6, 6
23, 13, 6, 6
23, 14, 8, 7
23, 15, 16, 10
23, 16, 8, 7
23, 18, 9, 6
23, 19, 7, 6
23, 20, 12, 9
23, 21, 7, 6
23, 22, 6, 6
23, 24, 8, 7
23, 25, 8, 7
23, 26, 20, 12
23, 28, 12, 7
23, 29, 10, 8
23, 30, 5, 5
23, 32, 8, 7
23, 33, 7, 6
23, 35, 12, 10
23, 36, 9, 7
23, 37, 14, 10
23, 41, 8, 7
23, 42, 11, 9
23, 43, 7, 6
23, 44, 5, 5
23, 45, 4, 5
23, 48, 10, 8
23, 49, 5, 5
23, 50, 5, 5
23, 51, 19, 13
23, 52, 4, 5
23, 53, 17, 9
23, 54, 6, 6
23, 55, 12, 10
23, 56, 5, 5
23, 57, 4, 5
23, 58, 10, 7
23, 59, 12, 8
23, 61, 4, 5
23, 62, 12, 10
23, 63, 19, 13
23, 65, 8, 7
23, 66, 15, 10
23, 67, 6, 6
23, 68, 6, 6
23, 72, 10, 7
23, 73, 6, 6
23, 75, 4, 5
23, 76, 26, 17
23, 80, 5, 6
23, 82, 14, 11
23, 84, 9, 6
23, 85, 5, 5
23, 87, 9, 8
23, 88, 5, 6
23, 89, 11, 8
23, 91, 10, 8
23, 92, 5, 5
23, 93, 7, 6
23, 94, 11, 8
23, 95, 27, 17
23, 97, 12, 9
23, 98, 24, 14
23, 99, 7, 6
