video_id, sentence_id, dep_length, total_length
3, 1, 195, 33
3, 2, 169, 27
3, 3, 40, 13
3, 5, 26, 9
3, 9, 73, 19
3, 10, 75, 17
4, 5, 197, 36
4, 6, 18, 9
4, 10, 20, 10
4, 11, 58, 17
6, 5, 163, 36
8, 1, 47, 20
8, 3, 107, 29
8, 5, 145, 24
8, 8, 24, 8
8, 10, 20, 9
8, 11, 28, 11
8, 12, 126, 23
8, 13, 22, 11
8, 14, 102, 21
8, 15, 71, 22
8, 17, 18, 10
8, 21, 111, 22
8, 22, 7, 5
8, 24, 22, 13
8, 25, 40, 12
8, 28, 51, 16
8, 29, 135, 32
8, 30, 42, 15
8, 31, 6, 5
8, 32, 69, 18
8, 34, 17, 8
8, 35, 23, 10
8, 36, 6, 5
8, 38, 17, 8
8, 40, 48, 20
8, 43, 113, 30
8, 44, 74, 24
8, 46, 299, 39
8, 47, 9, 6
9, 2, 49, 15
9, 5, 122, 22
9, 6, 203, 34
9, 7, 143, 24
9, 8, 217, 31
9, 10, 49, 15
9, 11, 12, 8
9, 12, 47, 13
9, 13, 24, 12
9, 14, 28, 9
9, 15, 36, 16
9, 16, 15, 7
9, 17, 30, 15
9, 18, 15, 9
9, 19, 25, 12
9, 20, 22, 9
9, 21, 68, 23
9, 22, 7, 5
9, 23, 19, 8
9, 25, 19, 9
9, 26, 25, 8
9, 27, 11, 6
9, 28, 250, 35
9, 29, 8, 6
9, 30, 69, 25
9, 32, 160, 31
9, 33, 146, 29
9, 34, 65, 19
9, 35, 36, 11
9, 36, 125, 26
9, 37, 30, 13
9, 38, 173, 38
9, 39, 179, 40
9, 40, 131, 28
9, 41, 51, 14
9, 42, 9, 7
10, 1, 76, 27
11, 2, 144, 27
11, 3, 18, 7
11, 6, 160, 36
11, 7, 64, 23
11, 10, 34, 15
11, 11, 61, 15
11, 12, 113, 21
11, 13, 54, 18
11, 15, 153, 28
11, 16, 16, 8
11, 18, 22, 13
11, 19, 8, 5
11, 20, 93, 23
11, 21, 40, 15
11, 22, 140, 25
11, 26, 49, 14
11, 27, 15, 8
11, 29, 32, 14
11, 32, 9, 6
11, 33, 27, 13
11, 34, 7, 5
11, 35, 26, 12
11, 36, 74, 19
11, 37, 11, 7
11, 39, 13, 6
11, 40, 156, 28
11, 41, 22, 10
11, 42, 43, 15
11, 43, 7, 5
11, 44, 21, 11
11, 45, 9, 6
11, 46, 6, 5
11, 47, 24, 9
11, 50, 40, 15
11, 52, 21, 7
11, 53, 41, 13
11, 54, 32, 13
11, 55, 19, 9
11, 56, 42, 15
11, 57, 119, 25
11, 58, 37, 15
11, 59, 70, 17
11, 60, 108, 27
11, 61, 152, 29
11, 63, 119, 22
11, 64, 78, 25
11, 65, 129, 34
11, 66, 14, 8
11, 67, 10, 7
11, 68, 39, 13
11, 70, 60, 21
11, 71, 161, 36
11, 72, 136, 31
11, 73, 26, 9
11, 77, 19, 10
11, 78, 12, 8
11, 79, 23, 9
