video_id, sentence_id, dep_length, total_length
1, 2, 6, 5
1, 8, 234, 31
1, 9, 14, 8
1, 11, 15, 7
1, 12, 9, 6
1, 14, 25, 9
1, 17, 7, 5
1, 18, 131, 31
1, 19, 7, 5
1, 20, 46, 20
1, 25, 19, 7
1, 27, 34, 12
1, 30, 25, 9
1, 32, 24, 10
1, 33, 10, 5
1, 34, 7, 6
1, 37, 27, 13
1, 39, 23, 10
1, 40, 10, 5
1, 42, 7, 6
1, 43, 7, 5
1, 46, 12, 6
1, 48, 13, 7
1, 61, 48, 12
1, 64, 38, 10
1, 67, 7, 6
1, 70, 16, 9
1, 77, 21, 9
2, 3, 5, 5
2, 5, 22, 8
2, 7, 9, 6
2, 9, 23, 8
2, 13, 11, 7
2, 14, 50, 11
2, 15, 8, 5
2, 16, 11, 6
2, 18, 21, 7
2, 20, 18, 8
2, 21, 30, 12
2, 22, 23, 11
2, 23, 12, 7
2, 25, 12, 6
2, 26, 11, 6
2, 27, 17, 9
2, 29, 14, 7
2, 30, 26, 11
2, 31, 22, 8
2, 33, 18, 7
2, 34, 8, 6
2, 35, 25, 10
2, 37, 7, 5
2, 38, 65, 19
2, 39, 47, 13
2, 42, 37, 15
2, 44, 9, 6
2, 45, 59, 17
2, 46, 12, 8
2, 49, 54, 14
2, 50, 26, 8
2, 53, 23, 10
2, 54, 6, 5
2, 56, 12, 6
2, 57, 60, 19
2, 59, 13, 6
2, 62, 21, 9
2, 63, 44, 15
2, 67, 44, 13
2, 69, 18, 8
2, 72, 8, 5
2, 74, 8, 5
2, 76, 116, 22
2, 81, 11, 6
2, 82, 21, 11
2, 84, 15, 7
2, 86, 29, 10
2, 89, 38, 12
2, 91, 12, 7
2, 92, 20, 8
3, 3, 66, 16
3, 5, 120, 27
3, 6, 28, 11
3, 9, 10, 5
3, 13, 9, 6
3, 14, 63, 19
3, 15, 15, 8
3, 16, 54, 13
3, 17, 7, 5
3, 18, 63, 20
3, 19, 32, 14
3, 24, 28, 8
3, 25, 11, 8
3, 26, 7, 5
3, 27, 22, 10
3, 28, 9, 7
3, 30, 11, 6
3, 32, 35, 11
3, 34, 16, 8
3, 35, 11, 6
3, 37, 15, 6
3, 40, 20, 9
3, 41, 14, 8
3, 42, 11, 6
3, 43, 14, 8
3, 45, 9, 6
3, 47, 6, 5
3, 48, 11, 6
3, 49, 16, 9
3, 53, 10, 6
3, 55, 7, 5
3, 56, 92, 24
3, 57, 22, 9
3, 58, 11, 7
3, 65, 13, 7
3, 72, 6, 5
3, 75, 30, 10
3, 81, 5, 5
3, 90, 6, 5
3, 91, 12, 8
3, 97, 6, 5
3, 98, 11, 6
3, 100, 18, 8
3, 106, 16, 8
3, 107, 6, 5
3, 113, 60, 18
3, 115, 13, 7
3, 116, 11, 6
3, 117, 11, 7
3, 119, 13, 6
3, 123, 10, 6
3, 126, 25, 9
3, 128, 31, 12
3, 129, 9, 7
3, 130, 28, 10
3, 132, 37, 15
4, 1, 13, 6
4, 2, 13, 8
4, 5, 18, 9
4, 6, 69, 18
4, 7, 44, 14
4, 8, 6, 5
4, 10, 31, 13
4, 11, 8, 6
4, 13, 35, 10
4, 14, 79, 17
4, 15, 17, 8
4, 16, 19, 7
4, 17, 10, 6
4, 18, 24, 12
4, 20, 7, 6
4, 21, 17, 9
4, 22, 65, 18
4, 23, 12, 9
4, 24, 43, 12
4, 26, 7, 6
4, 27, 16, 9
4, 28, 14, 10
4, 30, 52, 13
4, 31, 22, 9
5, 12, 9, 5
5, 13, 89, 19
5, 15, 29, 12
5, 18, 49, 18
5, 19, 49, 14
5, 20, 23, 13
5, 22, 23, 10
5, 26, 6, 5
5, 27, 17, 9
5, 28, 9, 7
5, 31, 7, 6
5, 32, 8, 5
5, 33, 39, 13
5, 40, 35, 12
5, 41, 12, 6
5, 43, 13, 6
5, 44, 17, 7
5, 45, 8, 5
5, 46, 14, 7
5, 48, 11, 6
5, 52, 7, 5
5, 54, 9, 7
5, 57, 5, 5
5, 61, 20, 10
5, 62, 73, 15
5, 66, 9, 7
5, 68, 29, 9
5, 70, 10, 5
5, 71, 10, 5
5, 74, 7, 5
5, 77, 8, 6
5, 79, 61, 17
5, 80, 21, 8
5, 82, 6, 5
5, 83, 7, 5
5, 86, 7, 6
5, 87, 8, 6
5, 88, 21, 9
5, 89, 10, 6
5, 90, 34, 11
5, 91, 17, 7
5, 92, 40, 14
5, 95, 32, 13
5, 100, 94, 23
5, 102, 9, 7
5, 103, 22, 8
5, 104, 10, 5
5, 105, 58, 15
5, 109, 11, 6
5, 110, 48, 13
5, 111, 20, 7
5, 112, 72, 21
6, 3, 29, 11
6, 4, 24, 11
6, 5, 27, 11
6, 7, 14, 8
6, 8, 10, 5
6, 12, 24, 9
6, 13, 7, 6
6, 14, 6, 5
6, 16, 43, 14
6, 18, 8, 5
6, 26, 99, 20
6, 27, 64, 17
6, 28, 15, 6
6, 29, 36, 17
6, 34, 29, 11
6, 35, 47, 14
7, 4, 33, 11
7, 7, 8, 5
7, 8, 10, 5
7, 9, 34, 12
7, 12, 33, 15
7, 14, 63, 17
7, 15, 23, 8
7, 17, 19, 7
7, 19, 6, 5
7, 20, 66, 16
7, 22, 7, 5
7, 25, 24, 10
7, 27, 6, 5
7, 29, 14, 8
7, 30, 9, 5
7, 31, 34, 13
7, 34, 28, 9
7, 35, 115, 28
7, 36, 34, 16
7, 39, 9, 7
7, 42, 9, 6
7, 44, 60, 16
7, 47, 11, 6
7, 49, 96, 20
7, 50, 7, 5
7, 53, 23, 9
7, 55, 10, 7
7, 59, 72, 16
7, 62, 15, 7
7, 63, 10, 6
7, 67, 124, 34
7, 68, 25, 11
7, 70, 8, 5
7, 71, 45, 13
7, 72, 24, 10
7, 73, 29, 11
7, 74, 20, 9
7, 85, 12, 7
7, 86, 31, 10
8, 1, 20, 10
8, 2, 21, 10
8, 3, 13, 7
8, 4, 14, 6
8, 5, 43, 14
8, 6, 26, 10
8, 7, 6, 5
8, 8, 30, 11
8, 9, 19, 7
8, 15, 28, 12
8, 16, 8, 6
8, 18, 17, 9
8, 19, 17, 7
8, 22, 13, 8
8, 26, 18, 8
8, 27, 28, 12
8, 28, 29, 10
8, 29, 20, 11
8, 30, 16, 8
8, 31, 17, 7
8, 32, 9, 6
8, 33, 37, 12
8, 36, 5, 5
8, 39, 6, 5
8, 42, 23, 10
8, 43, 23, 9
8, 45, 9, 6
8, 46, 9, 6
8, 49, 22, 9
8, 53, 7, 6
8, 54, 12, 8
8, 55, 6, 5
8, 59, 7, 5
8, 60, 29, 11
8, 61, 16, 8
8, 63, 23, 9
8, 65, 20, 8
8, 70, 15, 7
8, 71, 9, 6
8, 73, 10, 6
8, 77, 7, 5
9, 2, 81, 16
9, 3, 27, 10
9, 6, 50, 15
9, 7, 24, 13
9, 8, 18, 9
9, 9, 111, 25
9, 11, 68, 20
9, 12, 21, 9
9, 14, 7, 5
9, 15, 134, 25
9, 17, 19, 7
9, 19, 36, 12
9, 21, 10, 5
9, 22, 15, 8
9, 29, 16, 8
9, 30, 34, 13
9, 32, 7, 5
9, 33, 12, 7
9, 34, 27, 13
9, 38, 20, 9
9, 42, 14, 7
9, 46, 30, 11
9, 49, 8, 5
9, 51, 77, 21
9, 52, 107, 22
9, 53, 16, 9
9, 55, 7, 5
9, 56, 40, 10
9, 61, 34, 13
9, 66, 41, 15
9, 67, 42, 14
9, 69, 13, 7
9, 70, 26, 11
9, 72, 15, 8
9, 74, 6, 5
9, 75, 8, 5
9, 76, 10, 5
9, 79, 29, 9
9, 80, 8, 6
9, 81, 6, 5
9, 82, 23, 8
9, 83, 8, 5
9, 84, 12, 7
9, 85, 10, 5
9, 86, 11, 6
9, 87, 32, 14
9, 88, 59, 20
9, 89, 88, 22
9, 91, 22, 10
9, 92, 8, 5
9, 93, 78, 17
9, 94, 8, 6
9, 95, 20, 9
9, 96, 14, 8
9, 97, 47, 15
9, 98, 26, 12
9, 99, 13, 7
9, 101, 17, 8
9, 102, 22, 12
9, 103, 10, 7
10, 3, 88, 21
10, 4, 7, 5
10, 5, 67, 22
10, 6, 24, 9
10, 7, 26, 9
10, 8, 9, 5
10, 10, 23, 10
10, 11, 35, 12
10, 12, 207, 27
10, 13, 111, 25
10, 14, 363, 38
10, 15, 75, 19
10, 17, 143, 28
10, 18, 12, 7
10, 20, 215, 35
10, 21, 37, 10
10, 22, 26, 8
10, 23, 23, 9
10, 25, 168, 33
10, 26, 189, 27
10, 27, 191, 26
10, 29, 16, 7
10, 30, 56, 17
10, 31, 15, 9
10, 32, 46, 13
10, 33, 23, 12
10, 34, 160, 30
10, 35, 191, 38
10, 38, 71, 21
10, 40, 9, 6
10, 41, 40, 10
10, 43, 80, 28
10, 44, 75, 19
10, 46, 43, 16
10, 47, 8, 5
10, 48, 8, 6
10, 51, 23, 9
10, 53, 5, 5
10, 55, 12, 6
10, 56, 13, 7
10, 57, 6, 5
10, 58, 36, 13
10, 59, 25, 10
10, 61, 22, 8
10, 62, 61, 15
10, 63, 16, 7
10, 64, 26, 9
10, 69, 230, 33
10, 70, 19, 8
