video_id, sentence_id, dep_length, total_length
1, 2, 15, 8
1, 4, 6, 5
1, 6, 14, 6
1, 8, 13, 9
1, 10, 23, 8
1, 11, 40, 16
1, 14, 7, 5
1, 15, 13, 7
1, 16, 14, 7
1, 17, 10, 5
1, 18, 6, 5
1, 20, 10, 7
1, 21, 10, 5
1, 23, 8, 6
1, 24, 79, 19
1, 26, 51, 15
1, 27, 32, 10
1, 28, 13, 7
1, 29, 13, 7
1, 30, 5, 5
1, 31, 9, 7
1, 35, 9, 6
1, 36, 15, 7
1, 38, 145, 30
1, 39, 15, 10
1, 40, 5, 5
1, 42, 26, 12
1, 43, 11, 6
1, 44, 31, 13
1, 45, 18, 12
1, 46, 16, 9
1, 47, 6, 5
1, 48, 18, 9
1, 49, 7, 5
1, 50, 24, 11
1, 51, 133, 30
1, 52, 7, 5
1, 53, 26, 12
1, 55, 47, 13
1, 56, 129, 20
1, 59, 29, 14
1, 60, 27, 12
1, 61, 18, 9
1, 62, 19, 12
1, 63, 31, 10
1, 65, 27, 13
1, 66, 62, 18
1, 67, 13, 6
1, 68, 197, 33
1, 69, 157, 27
1, 72, 5, 5
1, 73, 22, 10
1, 74, 66, 17
1, 75, 22, 8
1, 76, 41, 15
1, 77, 21, 11
1, 78, 7, 6
1, 79, 12, 7
1, 80, 9, 6
1, 81, 6, 5
1, 82, 7, 5
1, 85, 19, 9
1, 86, 9, 7
1, 96, 20, 9
1, 97, 20, 11
1, 98, 23, 11
1, 99, 100, 20
1, 100, 7, 5
1, 101, 6, 5
1, 102, 57, 15
1, 104, 9, 7
1, 106, 49, 18
1, 107, 6, 5
1, 108, 30, 12
1, 109, 86, 16
1, 110, 9, 6
1, 111, 73, 20
1, 112, 26, 14
1, 113, 68, 23
1, 115, 56, 19
1, 116, 8, 5
1, 120, 14, 7
1, 121, 23, 13
1, 122, 60, 16
1, 123, 48, 15
1, 124, 37, 12
1, 125, 22, 10
1, 126, 40, 17
1, 130, 32, 13
1, 131, 76, 15
1, 133, 35, 15
1, 134, 7, 6
1, 135, 47, 13
1, 136, 48, 17
1, 137, 57, 14
1, 138, 13, 6
1, 139, 38, 15
1, 140, 36, 12
1, 141, 29, 13
1, 142, 17, 8
1, 143, 52, 14
1, 144, 15, 10
1, 145, 41, 12
1, 147, 13, 8
1, 148, 7, 5
2, 2, 138, 36
2, 3, 86, 18
2, 4, 46, 19
2, 5, 40, 12
2, 6, 16, 8
2, 8, 38, 12
2, 10, 9, 5
2, 11, 37, 17
2, 12, 20, 11
2, 13, 22, 11
2, 14, 17, 7
2, 16, 7, 5
2, 17, 8, 6
2, 19, 21, 12
2, 21, 20, 10
2, 23, 50, 19
2, 30, 12, 9
2, 31, 21, 9
2, 33, 17, 9
2, 34, 49, 17
2, 35, 14, 6
2, 36, 73, 25
2, 38, 15, 9
2, 43, 102, 27
2, 44, 7, 6
2, 45, 10, 5
2, 47, 15, 6
2, 48, 8, 5
2, 50, 8, 5
2, 53, 7, 5
2, 55, 16, 10
2, 56, 13, 6
2, 58, 5, 5
2, 60, 16, 9
2, 61, 14, 9
2, 63, 39, 11
2, 64, 33, 12
2, 65, 24, 8
2, 66, 5, 5
2, 67, 101, 20
2, 70, 29, 12
2, 71, 6, 6
2, 72, 12, 8
2, 73, 9, 6
2, 75, 44, 17
2, 76, 96, 23
2, 77, 145, 28
2, 78, 46, 13
2, 81, 76, 18
2, 82, 28, 12
2, 83, 11, 9
2, 84, 29, 15
2, 85, 45, 16
2, 86, 9, 6
2, 87, 122, 22
2, 88, 7, 5
2, 89, 13, 6
2, 90, 26, 13
2, 91, 14, 9
2, 92, 15, 7
2, 93, 34, 12
2, 94, 6, 6
2, 95, 10, 6
2, 97, 19, 7
2, 98, 103, 25
2, 99, 7, 5
2, 100, 66, 17
2, 102, 22, 11
2, 103, 102, 30
2, 106, 92, 32
2, 107, 67, 19
2, 108, 155, 38
2, 109, 6, 5
2, 110, 9, 6
2, 111, 53, 15
2, 113, 10, 6
2, 114, 39, 13
2, 117, 76, 22
4, 2, 16, 9
4, 3, 32, 12
4, 4, 82, 21
4, 6, 14, 7
4, 9, 15, 8
4, 10, 10, 5
4, 17, 9, 5
4, 19, 19, 7
4, 20, 11, 8
4, 21, 29, 12
4, 23, 25, 8
4, 24, 14, 9
4, 26, 23, 11
4, 27, 34, 12
4, 28, 85, 23
4, 29, 10, 5
4, 34, 9, 5
4, 35, 51, 17
4, 37, 38, 15
4, 39, 37, 12
4, 40, 7, 5
4, 41, 16, 8
4, 42, 11, 6
4, 43, 39, 11
4, 44, 17, 10
4, 47, 108, 19
4, 48, 18, 10
4, 49, 15, 6
