video_id, sentence_id, dep_length, total_length
1, 2, 16, 12
1, 3, 21, 14
1, 4, 6, 5
1, 8, 20, 14
1, 9, 26, 17
1, 11, 7, 6
1, 14, 7, 6
1, 15, 7, 6
1, 16, 17, 13
1, 17, 33, 18
1, 20, 12, 10
1, 22, 4, 5
1, 25, 9, 6
1, 27, 16, 11
1, 28, 6, 6
1, 29, 20, 13
1, 34, 20, 13
1, 38, 8, 7
1, 40, 9, 8
1, 42, 17, 11
1, 43, 5, 5
1, 44, 10, 7
1, 47, 8, 7
1, 56, 26, 16
1, 58, 6, 6
1, 59, 27, 17
1, 60, 10, 8
1, 63, 27, 15
1, 64, 6, 6
1, 67, 35, 20
1, 77, 13, 9
1, 79, 9, 6
1, 80, 39, 22
1, 85, 20, 13
1, 90, 18, 13
1, 92, 4, 5
1, 94, 14, 9
1, 97, 12, 9
1, 98, 6, 5
1, 99, 14, 11
1, 101, 14, 9
1, 102, 5, 5
1, 103, 13, 10
1, 109, 6, 6
1, 112, 20, 14
1, 122, 5, 5
1, 123, 5, 5
1, 129, 19, 13
1, 131, 18, 12
1, 132, 5, 5
1, 133, 5, 5
1, 136, 4, 5
1, 138, 18, 12
1, 141, 10, 9
1, 142, 33, 18
1, 144, 10, 8
1, 145, 9, 7
1, 146, 13, 11
1, 148, 9, 8
1, 150, 16, 11
1, 151, 12, 10
1, 152, 15, 12
2, 2, 7, 6
2, 4, 14, 10
2, 6, 10, 8
2, 8, 5, 5
2, 10, 9, 8
2, 11, 16, 11
2, 12, 9, 7
2, 14, 9, 7
2, 15, 5, 5
2, 16, 13, 9
2, 17, 8, 7
2, 19, 6, 6
2, 20, 13, 10
2, 21, 14, 10
2, 22, 18, 11
2, 24, 8, 7
2, 25, 7, 6
2, 29, 10, 7
2, 32, 9, 8
2, 34, 5, 5
2, 35, 20, 14
2, 36, 9, 8
2, 38, 8, 7
2, 39, 8, 7
2, 40, 30, 17
2, 43, 11, 8
2, 46, 11, 8
2, 48, 7, 6
2, 49, 6, 5
2, 50, 7, 6
2, 52, 6, 5
2, 54, 15, 11
2, 60, 15, 9
2, 62, 10, 8
2, 63, 7, 6
2, 66, 6, 6
2, 67, 9, 7
2, 68, 6, 5
2, 70, 5, 5
2, 75, 5, 5
2, 77, 6, 5
