video_id, sentence_id, dep_length, total_length
1, 0, 1.0, 2
1, 1, 0.0, 1
1, 2, 4.44, 4
1, 3, 5.14, 4
1, 4, 12.45, 7
1, 5, 7.63, 5
1, 6, 7.45, 5
1, 7, 0.0, 1
1, 8, 2.55, 3
1, 9, 1.0, 2
1, 10, 0.0, 1
1, 11, 0.0, 1
1, 12, 100.3, 24
1, 13, 2.7, 3
1, 14, 0.0, 1
1, 15, 13.21, 7
1, 16, 52.06, 15
1, 17, 16.32, 8
1, 18, 156.93, 30
1, 19, 20.64, 9
1, 20, 13.21, 7
1, 21, 83.4, 22
1, 22, 1.0, 2
1, 23, 25.43, 11
1, 24, 4.52, 4
1, 25, 4.41, 4
1, 26, 43.11, 13
1, 27, 9.08, 6
1, 28, 2.56, 3
1, 29, 45.76, 14
1, 30, 9.47, 6
1, 31, 1.0, 2
1, 32, 2.72, 3
1, 33, 18.13, 9
1, 34, 0.0, 1
2, 0, 1.0, 2
2, 1, 0.0, 1
2, 2, 1.0, 2
2, 3, 2.69, 3
2, 4, 9.91, 6
2, 5, 1.0, 2
2, 6, 8.02, 5
2, 7, 6.92, 5
2, 8, 0.0, 1
2, 9, 8.15, 5
2, 10, 13.1, 7
2, 11, 12.53, 7
2, 12, 2.68, 3
2, 13, 35.11, 13
2, 14, 42.47, 13
2, 15, 1.0, 2
2, 16, 11.78, 6
2, 17, 1.0, 2
2, 18, 0.0, 1
2, 19, 4.94, 4
2, 20, 19.36, 8
2, 21, 2.66, 3
2, 22, 10.04, 6
2, 23, 9.58, 6
2, 24, 0.0, 1
2, 25, 1.0, 2
2, 26, 1.0, 2
2, 27, 18.93, 9
2, 28, 1.0, 2
2, 29, 20.98, 9
2, 30, 10.29, 6
2, 31, 26.56, 10
2, 32, 1.0, 2
2, 33, 2.58, 3
2, 34, 110.39, 23
2, 35, 11.98, 7
2, 36, 8.38, 5
2, 37, 20.62, 9
2, 38, 1.0, 2
2, 39, 0.0, 1
2, 40, 1.0, 2
2, 41, 0.0, 1
2, 42, 6.81, 5
2, 43, 4.5, 4
2, 44, 2.7, 3
2, 45, 1.0, 2
2, 46, 1.0, 2
2, 47, 0.0, 1
2, 48, 1.0, 2
2, 49, 22.8, 9
2, 50, 7.47, 5
2, 51, 0.0, 1
2, 52, 9.7, 6
2, 53, 2.62, 3
2, 54, 2.79, 3
2, 55, 0.0, 1
2, 56, 6.82, 5
2, 57, 0.0, 1
2, 58, 0.0, 1
2, 59, 0.0, 1
2, 60, 7.31, 5
2, 61, 102.71, 21
2, 62, 2.56, 3
2, 63, 0.0, 1
2, 64, 18.56, 8
2, 65, 7.71, 5
2, 66, 8.01, 5
2, 67, 1.0, 2
2, 68, 11.84, 6
2, 69, 9.19, 6
2, 70, 4.84, 4
2, 71, 4.66, 4
2, 72, 4.6, 4
2, 73, 4.68, 4
2, 74, 27.68, 10
2, 75, 1.0, 2
2, 76, 4.58, 4
2, 77, 21.72, 9
2, 78, 8.09, 5
2, 79, 4.9, 4
2, 80, 0.0, 1
2, 81, 0.0, 1
2, 82, 36.3, 12
2, 83, 0.0, 1
2, 84, 0.0, 1
2, 85, 2.63, 3
2, 86, 1.0, 2
2, 87, 1.0, 2
2, 88, 18.28, 8
2, 89, 7.42, 5
2, 90, 10.76, 6
2, 91, 0.0, 1
2, 92, 7.19, 5
2, 93, 12.91, 7
2, 94, 4.92, 4
2, 95, 1.0, 2
2, 96, 0.0, 1
2, 97, 2.71, 3
2, 98, 2.62, 3
2, 99, 15.82, 8
2, 100, 2.59, 3
2, 101, 7.25, 5
2, 102, 6.89, 5
2, 103, 7.43, 5
2, 104, 2.61, 3
2, 105, 1.0, 2
2, 106, 28.25, 10
2, 107, 7.54, 5
2, 108, 2.45, 3
2, 109, 0.0, 1
2, 110, 4.96, 4
2, 111, 1.0, 2
2, 112, 2.63, 3
2, 113, 2.65, 3
2, 114, 0.0, 1
2, 115, 4.6, 4
2, 116, 5.02, 4
2, 117, 9.49, 6
2, 118, 19.59, 8
2, 119, 5.04, 4
2, 120, 1.0, 2
2, 121, 0.0, 1
2, 122, 1.0, 2
2, 123, 2.63, 3
2, 124, 8.2, 5
2, 125, 0.0, 1
2, 126, 0.0, 1
2, 127, 0.0, 1
2, 128, 17.29, 8
2, 129, 1.0, 2
2, 130, 8.14, 5
