video_id, sentence_id, dep_length, total_length
1, 0, 27, 12
1, 1, 22, 9
1, 2, 89, 27
1, 3, 26, 13
1, 4, 19, 9
1, 5, 4, 4
1, 6, 20, 10
1, 7, 31, 11
1, 8, 47, 20
1, 9, 1, 2
1, 10, 47, 20
1, 11, 27, 13
1, 12, 53, 14
2, 0, 1, 2
2, 1, 1, 2
2, 2, 3, 3
2, 3, 1, 2
2, 4, 0, 1
2, 5, 16, 7
2, 6, 0, 1
2, 7, 15, 6
2, 8, 2, 3
2, 9, 1, 2
2, 10, 0, 1
2, 11, 0, 1
2, 12, 1, 2
2, 13, 1, 2
2, 14, 1, 2
2, 15, 0, 1
2, 16, 7, 5
2, 17, 0, 1
2, 18, 4, 4
2, 19, 4, 4
2, 20, 7, 6
2, 21, 3, 4
2, 22, 1, 2
2, 23, 13, 8
2, 24, 14, 7
2, 25, 0, 1
2, 26, 40, 13
2, 27, 6, 5
2, 28, 24, 11
2, 29, 23, 10
2, 30, 24, 8
2, 31, 21, 11
2, 32, 19, 7
2, 33, 15, 7
2, 34, 3, 4
2, 35, 3, 3
2, 36, 20, 8
2, 37, 15, 8
2, 38, 26, 12
2, 39, 10, 6
2, 40, 2, 3
2, 41, 31, 13
2, 42, 0, 1
2, 43, 0, 1
2, 44, 12, 7
2, 45, 12, 8
2, 46, 16, 8
2, 47, 14, 8
2, 48, 3, 4
2, 49, 17, 9
2, 50, 6, 5
2, 51, 21, 11
2, 52, 1, 2
2, 53, 2, 3
2, 54, 1, 2
2, 55, 12, 7
2, 56, 18, 9
2, 57, 1, 2
2, 58, 13, 7
2, 59, 11, 6
2, 60, 161, 34
3, 0, 46, 19
3, 1, 6, 5
3, 2, 61, 17
3, 3, 2, 3
3, 4, 95, 30
3, 5, 1, 2
3, 6, 54, 18
3, 7, 4, 4
3, 8, 14, 8
3, 9, 35, 14
3, 10, 28, 12
3, 11, 36, 17
3, 12, 31, 12
3, 13, 9, 6
3, 14, 13, 8
3, 15, 59, 17
3, 16, 0, 1
3, 17, 16, 7
3, 18, 9, 6
3, 19, 10, 5
3, 20, 0, 1
3, 21, 24, 9
3, 22, 0, 1
3, 23, 1, 2
3, 24, 0, 1
3, 25, 8, 5
3, 26, 5, 4
3, 27, 14, 7
3, 28, 0, 1
3, 29, 18, 9
3, 30, 36, 15
3, 31, 53, 25
3, 32, 48, 21
3, 33, 51, 24
3, 34, 27, 15
3, 35, 57, 19
3, 36, 22, 12
3, 37, 2, 3
3, 38, 12, 7
3, 39, 39, 19
3, 40, 9, 6
3, 41, 25, 13
3, 42, 114, 36
3, 43, 9, 6
3, 44, 9, 6
3, 45, 33, 17
3, 46, 2, 3
3, 47, 56, 15
3, 48, 37, 15
3, 49, 14, 8
3, 50, 17, 10
3, 51, 4, 4
3, 52, 24, 13
3, 53, 26, 13
3, 54, 26, 12
3, 55, 14, 7
3, 56, 12, 7
3, 57, 0, 1
3, 58, 11, 7
3, 59, 15, 8
3, 60, 21, 11
3, 61, 17, 10
3, 62, 39, 10
3, 63, 9, 7
3, 64, 25, 12
3, 65, 51, 13
3, 66, 5, 4
3, 67, 42, 10
3, 68, 55, 14
3, 69, 3, 3
3, 70, 42, 19
3, 71, 17, 9
3, 72, 30, 15
3, 73, 39, 18
3, 74, 14, 8
3, 75, 46, 18
3, 76, 26, 13
3, 77, 24, 12
3, 78, 2, 3
3, 79, 12, 7
3, 80, 18, 8
3, 81, 9, 6
3, 82, 62, 20
3, 83, 42, 18
3, 84, 17, 8
3, 85, 15, 9
3, 86, 63, 20
3, 87, 16, 9
3, 88, 44, 20
3, 89, 34, 14
3, 90, 33, 14
3, 91, 29, 14
3, 92, 0, 1
3, 93, 12, 6
3, 94, 23, 14
3, 95, 81, 22
3, 96, 2, 3
3, 97, 0, 1
4, 0, 16, 9
4, 1, 21, 13
4, 2, 62, 22
4, 3, 36, 13
4, 4, 75, 26
4, 5, 70, 31
4, 6, 11, 6
5, 0, 1, 2
5, 1, 1, 2
5, 2, 72, 29
5, 3, 32, 14
5, 4, 14, 8
5, 5, 13, 9
5, 6, 2, 3
5, 7, 35, 14
5, 8, 23, 13
5, 9, 63, 22
5, 10, 1, 2
5, 11, 10, 8
5, 12, 40, 16
5, 13, 41, 16
5, 14, 15, 10
5, 15, 1, 2
5, 16, 0, 1
