video_id, sentence_id, dep_length, total_length
1, 0, 17, 12
1, 1, 11, 9
1, 2, 53, 27
1, 3, 19, 13
1, 4, 14, 9
1, 5, 4, 4
1, 6, 14, 10
1, 7, 16, 11
1, 8, 35, 20
1, 9, 1, 2
1, 10, 32, 20
1, 11, 18, 13
1, 12, 24, 14
2, 0, 1, 2
2, 1, 1, 2
2, 2, 2, 3
2, 3, 1, 2
2, 4, 0, 1
2, 5, 10, 7
2, 6, 0, 1
2, 7, 9, 6
2, 8, 2, 3
2, 9, 1, 2
2, 10, 0, 1
2, 11, 0, 1
2, 12, 1, 2
2, 13, 1, 2
2, 14, 1, 2
2, 15, 0, 1
2, 16, 5, 5
2, 17, 0, 1
2, 18, 4, 4
2, 19, 4, 4
2, 20, 7, 6
2, 21, 3, 4
2, 22, 1, 2
2, 23, 9, 8
2, 24, 7, 7
2, 25, 0, 1
2, 26, 21, 13
2, 27, 6, 5
2, 28, 14, 11
2, 29, 15, 10
2, 30, 13, 8
2, 31, 17, 11
2, 32, 8, 7
2, 33, 8, 7
2, 34, 3, 4
2, 35, 2, 3
2, 36, 12, 8
2, 37, 10, 8
2, 38, 19, 12
2, 39, 5, 6
2, 40, 2, 3
2, 41, 19, 13
2, 42, 0, 1
2, 43, 0, 1
2, 44, 9, 7
2, 45, 10, 8
2, 46, 11, 8
2, 47, 10, 8
2, 48, 3, 4
2, 49, 12, 9
2, 50, 5, 5
2, 51, 17, 11
2, 52, 1, 2
2, 53, 2, 3
2, 54, 1, 2
2, 55, 8, 7
2, 56, 13, 9
2, 57, 1, 2
2, 58, 9, 7
2, 59, 9, 6
2, 60, 76, 34
3, 0, 30, 19
3, 1, 5, 5
3, 2, 28, 17
3, 3, 2, 3
3, 4, 61, 30
3, 5, 1, 2
3, 6, 28, 18
3, 7, 4, 4
3, 8, 10, 8
3, 9, 22, 14
3, 10, 18, 12
3, 11, 27, 17
3, 12, 18, 12
3, 13, 5, 6
3, 14, 9, 8
3, 15, 25, 17
3, 16, 0, 1
3, 17, 12, 7
3, 18, 6, 6
3, 19, 6, 5
3, 20, 0, 1
3, 21, 20, 9
3, 22, 0, 1
3, 23, 1, 2
3, 24, 0, 1
3, 25, 5, 5
3, 26, 3, 4
3, 27, 8, 7
3, 28, 0, 1
3, 29, 11, 9
3, 30, 24, 15
3, 31, 43, 25
3, 32, 32, 21
3, 33, 42, 24
3, 34, 21, 15
3, 35, 33, 19
3, 36, 19, 12
3, 37, 2, 3
3, 38, 9, 7
3, 39, 37, 19
3, 40, 6, 6
3, 41, 19, 13
3, 42, 80, 36
3, 43, 6, 6
3, 44, 6, 6
3, 45, 25, 17
3, 46, 2, 3
3, 47, 26, 15
3, 48, 26, 15
3, 49, 9, 8
3, 50, 14, 10
3, 51, 3, 4
3, 52, 17, 13
3, 53, 17, 13
3, 54, 19, 12
3, 55, 8, 7
3, 56, 8, 7
3, 57, 0, 1
3, 58, 8, 7
3, 59, 8, 8
3, 60, 16, 11
3, 61, 12, 10
3, 62, 14, 10
3, 63, 9, 7
3, 64, 18, 12
3, 65, 25, 13
3, 66, 3, 4
3, 67, 21, 10
3, 68, 24, 14
3, 69, 2, 3
3, 70, 33, 19
3, 71, 11, 9
3, 72, 22, 15
3, 73, 30, 18
3, 74, 10, 8
3, 75, 29, 18
3, 76, 19, 13
3, 77, 16, 12
3, 78, 2, 3
3, 79, 9, 7
3, 80, 9, 8
3, 81, 7, 6
3, 82, 36, 20
3, 83, 29, 18
3, 84, 10, 8
3, 85, 12, 9
3, 86, 33, 20
3, 87, 11, 9
3, 88, 34, 20
3, 89, 23, 14
3, 90, 21, 14
3, 91, 21, 14
3, 92, 0, 1
3, 93, 6, 6
3, 94, 20, 14
3, 95, 46, 22
3, 96, 2, 3
3, 97, 0, 1
4, 0, 12, 9
4, 1, 17, 13
4, 2, 37, 22
4, 3, 18, 13
4, 4, 44, 26
4, 5, 55, 31
4, 6, 5, 6
5, 0, 1, 2
5, 1, 1, 2
5, 2, 52, 29
5, 3, 19, 14
5, 4, 11, 8
5, 5, 11, 9
5, 6, 2, 3
5, 7, 24, 14
5, 8, 19, 13
5, 9, 39, 22
5, 10, 1, 2
5, 11, 10, 8
5, 12, 27, 16
5, 13, 31, 16
5, 14, 12, 10
5, 15, 1, 2
5, 16, 0, 1
5, 17, 1, 2
5, 18, 3, 4
5, 19, 7, 7
5, 20, 13, 9
5, 21, 2, 3
5, 22, 7, 6
5, 23, 11, 8
5, 24, 1, 2
5, 25, 6, 5
5, 26, 27, 18
5, 27, 3, 4
5, 28, 4, 5
5, 29, 0, 1
5, 30, 11, 8
5, 31, 10, 8
5, 32, 8, 7
5, 33, 3, 4
5, 34, 0, 1
5, 35, 1, 2
5, 36, 12, 7
5, 37, 10, 8
5, 38, 0, 1
5, 39, 25, 15
5, 40, 18, 13
5, 41, 2, 3
5, 42, 0, 1
5, 43, 4, 5
5, 44, 2, 3
5, 45, 0, 1
5, 46, 8, 7
5, 47, 14, 10
5, 48, 4, 4
5, 49, 27, 17
5, 50, 0, 1
5, 51, 0, 1
5, 52, 2, 3
5, 53, 0, 1
5, 54, 3, 4
6, 0, 0, 1
6, 1, 12, 9
6, 2, 17, 12
6, 3, 23, 14
6, 4, 3, 4
6, 5, 10, 8
6, 6, 7, 6
6, 7, 1, 2
6, 8, 2, 3
6, 9, 1, 2
6, 10, 6, 5
6, 11, 13, 9
6, 12, 4, 4
6, 13, 6, 5
6, 14, 5, 5
6, 15, 13, 10
6, 16, 11, 9
6, 17, 2, 3
6, 18, 1, 2
6, 19, 2, 3
6, 20, 8, 7
6, 21, 23, 14
6, 22, 1, 2
6, 23, 10, 8
6, 24, 21, 13
6, 25, 8, 7
6, 26, 10, 7
6, 27, 9, 7
6, 28, 1, 2
6, 29, 15, 11
6, 30, 8, 7
6, 31, 4, 4
6, 32, 11, 9
6, 33, 9, 8
6, 34, 8, 7
6, 35, 9, 8
6, 36, 5, 5
6, 37, 7, 6
6, 38, 32, 17
6, 39, 4, 4
6, 40, 1, 2
6, 41, 18, 13
6, 42, 0, 1
6, 43, 0, 1
6, 44, 0, 1
6, 45, 2, 3
6, 46, 0, 1
6, 47, 8, 7
6, 48, 14, 11
6, 49, 12, 8
6, 50, 5, 5
6, 51, 2, 3
6, 52, 5, 5
6, 53, 22, 14
6, 54, 4, 4
6, 55, 0, 1
6, 56, 0, 1
6, 57, 6, 5
6, 58, 15, 11
6, 59, 15, 12
6, 60, 4, 4
6, 61, 9, 8
6, 62, 9, 6
6, 63, 10, 9
6, 64, 22, 12
6, 65, 5, 5
6, 66, 1, 2
6, 67, 7, 6
6, 68, 3, 4
6, 69, 2, 3
6, 70, 12, 9
6, 71, 6, 6
6, 72, 2, 3
6, 73, 1, 2
6, 74, 10, 8
6, 75, 7, 6
6, 76, 2, 3
6, 77, 20, 13
6, 78, 2, 3
6, 79, 7, 7
6, 80, 7, 6
6, 81, 21, 13
6, 82, 16, 11
6, 83, 11, 9
6, 84, 2, 3
6, 85, 29, 19
6, 86, 7, 7
6, 87, 6, 6
6, 88, 17, 11
6, 89, 0, 1
6, 90, 16, 10
6, 91, 7, 6
6, 92, 20, 12
6, 93, 1, 2
6, 94, 8, 7
6, 95, 6, 6
6, 96, 6, 5
6, 97, 6, 6
6, 98, 5, 5
6, 99, 3, 4
6, 100, 7, 6
6, 101, 17, 10
6, 102, 12, 10
6, 103, 2, 3
6, 104, 18, 13
6, 105, 23, 14
6, 106, 2, 3
6, 107, 3, 4
6, 108, 4, 5
6, 109, 7, 6
6, 110, 7, 6
6, 111, 11, 8
6, 112, 1, 2
6, 113, 12, 8
6, 114, 1, 2
6, 115, 1, 2
6, 116, 16, 12
6, 117, 5, 5
6, 118, 8, 7
6, 119, 17, 11
6, 120, 8, 8
6, 121, 55, 28
6, 122, 0, 1
6, 123, 18, 12
