video_id, sentence_id, dep_length, total_length
1, 0, 32.01, 12
1, 1, 19.74, 9
1, 2, 131.37, 27
1, 3, 35.17, 13
1, 4, 22.52, 9
1, 5, 5.16, 4
1, 6, 24.19, 10
1, 7, 30.65, 11
1, 8, 73.22, 20
1, 9, 1.0, 2
1, 10, 75.48, 20
1, 11, 32.8, 13
1, 12, 39.68, 14
2, 0, 1.0, 2
2, 1, 1.0, 2
2, 2, 2.51, 3
2, 3, 1.0, 2
2, 4, 0.0, 1
2, 5, 13.73, 7
2, 6, 0.0, 1
2, 7, 11.48, 6
2, 8, 2.72, 3
2, 9, 1.0, 2
2, 10, 0.0, 1
2, 11, 0.0, 1
2, 12, 1.0, 2
2, 13, 1.0, 2
2, 14, 1.0, 2
2, 15, 0.0, 1
2, 16, 6.92, 5
2, 17, 0.0, 1
2, 18, 5.08, 4
2, 19, 5.12, 4
2, 20, 9.96, 6
2, 21, 4.48, 4
2, 22, 1.0, 2
2, 23, 15.12, 8
2, 24, 11.64, 7
2, 25, 0.0, 1
2, 26, 38.58, 13
2, 27, 8.3, 5
2, 28, 27.26, 11
2, 29, 24.78, 10
2, 30, 19.04, 8
2, 31, 31.16, 11
2, 32, 13.37, 7
2, 33, 13.1, 7
2, 34, 4.45, 4
2, 35, 2.49, 3
2, 36, 18.72, 8
2, 37, 16.18, 8
2, 38, 29.16, 12
2, 39, 8.53, 6
2, 40, 2.46, 3
2, 41, 35.53, 13
2, 42, 0.0, 1
2, 43, 0.0, 1
2, 44, 13.71, 7
2, 45, 15.26, 8
2, 46, 17.36, 8
2, 47, 16.43, 8
2, 48, 4.56, 4
2, 49, 19.26, 9
2, 50, 7.37, 5
2, 51, 27.29, 11
2, 52, 1.0, 2
2, 53, 2.6, 3
2, 54, 1.0, 2
2, 55, 11.07, 7
2, 56, 21.41, 9
2, 57, 1.0, 2
2, 58, 13.9, 7
2, 59, 11.66, 6
2, 60, 186.73, 34
3, 0, 66.23, 19
3, 1, 7.18, 5
3, 2, 47.91, 17
3, 3, 2.66, 3
3, 4, 149.35, 30
3, 5, 1.0, 2
3, 6, 54.74, 18
3, 7, 4.74, 4
3, 8, 16.82, 8
3, 9, 43.18, 14
3, 10, 31.88, 12
3, 11, 54.66, 17
3, 12, 32.31, 12
3, 13, 8.55, 6
3, 14, 15.1, 8
3, 15, 53.97, 17
3, 16, 0.0, 1
3, 17, 14.76, 7
3, 18, 9.69, 6
3, 19, 7.54, 5
3, 20, 0.0, 1
3, 21, 26.31, 9
3, 22, 0.0, 1
3, 23, 1.0, 2
3, 24, 0.0, 1
3, 25, 6.87, 5
3, 26, 4.54, 4
3, 27, 13.91, 7
3, 28, 0.0, 1
3, 29, 19.22, 9
3, 30, 41.82, 15
3, 31, 109.3, 25
3, 32, 69.16, 21
3, 33, 96.59, 24
3, 34, 38.93, 15
3, 35, 61.39, 19
3, 36, 30.61, 12
3, 37, 2.59, 3
3, 38, 13.72, 7
3, 39, 67.01, 19
3, 40, 9.62, 6
3, 41, 39.87, 13
3, 42, 177.96, 36
3, 43, 9.49, 6
3, 44, 9.35, 6
3, 45, 53.15, 17
3, 46, 2.69, 3
3, 47, 47.97, 15
3, 48, 48.41, 15
3, 49, 16.52, 8
3, 50, 23.49, 10
3, 51, 4.43, 4
3, 52, 35.0, 13
3, 53, 32.15, 13
3, 54, 30.31, 12
3, 55, 13.59, 7
3, 56, 11.65, 7
3, 57, 0.0, 1
3, 58, 13.65, 7
3, 59, 13.73, 8
3, 60, 26.82, 11
3, 61, 22.41, 10
3, 62, 25.08, 10
3, 63, 13.87, 7
3, 64, 32.33, 12
3, 65, 43.71, 13
3, 66, 4.37, 4
3, 67, 29.92, 10
3, 68, 44.86, 14
3, 69, 2.43, 3
3, 70, 76.11, 19
3, 71, 19.38, 9
3, 72, 44.25, 15
3, 73, 58.79, 18
3, 74, 14.28, 8
3, 75, 55.48, 18
3, 76, 39.24, 13
3, 77, 28.36, 12
3, 78, 2.69, 3
3, 79, 13.32, 7
3, 80, 15.43, 8
3, 81, 9.82, 6
3, 82, 68.76, 20
3, 83, 61.94, 18
3, 84, 16.76, 8
3, 85, 19.16, 9
3, 86, 59.94, 20
3, 87, 19.52, 9
3, 88, 63.02, 20
3, 89, 40.61, 14
3, 90, 37.79, 14
3, 91, 40.69, 14
3, 92, 0.0, 1
3, 93, 8.77, 6
3, 94, 35.67, 14
3, 95, 83.6, 22
3, 96, 2.63, 3
3, 97, 0.0, 1
4, 0, 19.82, 9
4, 1, 30.53, 13
4, 2, 78.21, 22
4, 3, 32.41, 13
4, 4, 96.76, 26
4, 5, 145.06, 31
4, 6, 8.28, 6
5, 0, 1.0, 2
5, 1, 1.0, 2
5, 2, 117.98, 29
5, 3, 34.59, 14
5, 4, 17.48, 8
5, 5, 19.01, 9
5, 6, 2.65, 3
5, 7, 45.73, 14
5, 8, 39.37, 13
5, 9, 77.16, 22
5, 10, 1.0, 2
5, 11, 13.98, 8
5, 12, 49.19, 16
5, 13, 46.95, 16
5, 14, 23.1, 10
5, 15, 1.0, 2
5, 16, 0.0, 1
5, 17, 1.0, 2
5, 18, 4.47, 4
5, 19, 11.99, 7
5, 20, 21.08, 9
5, 21, 2.75, 3
5, 22, 10.39, 6
5, 23, 17.38, 8
5, 24, 1.0, 2
5, 25, 7.51, 5
5, 26, 52.3, 18
5, 27, 4.62, 4
5, 28, 6.56, 5
5, 29, 0.0, 1
5, 30, 18.09, 8
5, 31, 14.92, 8
5, 32, 12.86, 7
5, 33, 4.47, 4
5, 34, 0.0, 1
5, 35, 1.0, 2
5, 36, 16.05, 7
5, 37, 16.12, 8
5, 38, 0.0, 1
5, 39, 47.14, 15
5, 40, 35.53, 13
5, 41, 2.69, 3
5, 42, 0.0, 1
5, 43, 6.63, 5
5, 44, 2.48, 3
5, 45, 0.0, 1
5, 46, 13.15, 7
5, 47, 23.2, 10
5, 48, 4.54, 4
5, 49, 66.5, 17
5, 50, 0.0, 1
5, 51, 0.0, 1
5, 52, 2.53, 3
5, 53, 0.0, 1
5, 54, 4.39, 4
6, 0, 0.0, 1
6, 1, 22.11, 9
6, 2, 35.24, 12
6, 3, 39.53, 14
6, 4, 4.5, 4
6, 5, 17.29, 8
6, 6, 10.74, 6
6, 7, 1.0, 2
6, 8, 2.65, 3
6, 9, 1.0, 2
6, 10, 7.66, 5
6, 11, 21.58, 9
6, 12, 5.0, 4
6, 13, 8.15, 5
6, 14, 7.17, 5
6, 15, 23.22, 10
6, 16, 19.02, 9
6, 17, 2.73, 3
6, 18, 1.0, 2
6, 19, 2.49, 3
6, 20, 12.46, 7
6, 21, 40.67, 14
6, 22, 1.0, 2
6, 23, 15.43, 8
6, 24, 38.36, 13
6, 25, 12.47, 7
6, 26, 14.22, 7
6, 27, 13.33, 7
6, 28, 1.0, 2
6, 29, 30.84, 11
6, 30, 12.18, 7
6, 31, 4.86, 4
6, 32, 21.28, 9
6, 33, 15.51, 8
6, 34, 12.97, 7
6, 35, 17.26, 8
6, 36, 7.02, 5
6, 37, 10.1, 6
6, 38, 65.29, 17
6, 39, 5.08, 4
6, 40, 1.0, 2
6, 41, 36.73, 13
6, 42, 0.0, 1
6, 43, 0.0, 1
6, 44, 0.0, 1
6, 45, 2.63, 3
6, 46, 0.0, 1
6, 47, 13.6, 7
6, 48, 25.37, 11
6, 49, 16.92, 8
6, 50, 7.05, 5
6, 51, 2.45, 3
6, 52, 7.23, 5
6, 53, 46.05, 14
6, 54, 5.06, 4
6, 55, 0.0, 1
6, 56, 0.0, 1
6, 57, 8.03, 5
6, 58, 26.16, 11
6, 59, 30.58, 12
6, 60, 4.84, 4
6, 61, 16.52, 8
6, 62, 11.58, 6
6, 63, 18.25, 9
6, 64, 34.67, 12
6, 65, 7.22, 5
6, 66, 1.0, 2
6, 67, 10.34, 6
6, 68, 4.47, 4
6, 69, 2.76, 3
6, 70, 21.72, 9
