video_id, sentence_id, dep_length, total_length
1, 0, 51, 27
1, 1, 27, 15
1, 2, 24, 14
1, 3, 17, 11
1, 4, 21, 13
1, 5, 18, 12
1, 6, 11, 8
1, 7, 9, 6
1, 8, 20, 9
1, 9, 29, 17
1, 10, 8, 7
1, 11, 56, 21
1, 12, 22, 10
1, 13, 9, 7
1, 14, 22, 12
1, 15, 58, 19
1, 16, 71, 20
1, 17, 19, 12
1, 18, 25, 13
1, 19, 87, 29
1, 20, 115, 28
1, 21, 45, 24
1, 22, 26, 14
1, 23, 6, 6
1, 24, 6, 6
1, 25, 95, 38
1, 26, 17, 10
1, 27, 17, 10
1, 28, 19, 12
1, 29, 54, 23
1, 30, 29, 14
1, 31, 3, 3
1, 32, 14, 10
1, 33, 18, 9
1, 34, 6, 6
2, 0, 1, 2
2, 1, 55, 27
2, 2, 37, 16
2, 3, 17, 11
2, 4, 14, 10
2, 5, 2, 3
2, 6, 46, 20
2, 7, 26, 13
2, 8, 8, 5
2, 9, 72, 32
2, 10, 98, 29
2, 11, 20, 9
2, 12, 15, 9
2, 13, 49, 21
2, 14, 10, 7
2, 15, 43, 22
2, 16, 24, 13
2, 17, 23, 13
2, 18, 35, 13
2, 19, 13, 7
2, 20, 21, 12
2, 21, 68, 24
2, 22, 52, 23
2, 23, 51, 23
2, 24, 68, 25
2, 25, 65, 22
2, 26, 50, 19
2, 27, 23, 13
2, 28, 34, 18
2, 29, 5, 4
2, 30, 79, 26
2, 31, 21, 12
2, 32, 5, 5
2, 33, 29, 17
2, 34, 24, 11
2, 35, 20, 10
2, 36, 24, 11
2, 37, 66, 27
2, 38, 57, 20
2, 39, 32, 16
2, 40, 11, 8
2, 41, 48, 19
2, 42, 39, 17
2, 43, 16, 8
2, 44, 82, 29
2, 45, 26, 13
2, 46, 73, 26
2, 47, 7, 5
2, 48, 18, 8
2, 49, 5, 5
2, 50, 46, 17
2, 51, 11, 9
2, 52, 19, 9
2, 53, 6, 5
2, 54, 42, 12
2, 55, 69, 25
2, 56, 46, 20
2, 57, 12, 8
2, 58, 49, 18
2, 59, 41, 14
2, 60, 19, 9
2, 61, 46, 20
2, 62, 19, 10
2, 63, 18, 10
2, 64, 56, 24
2, 65, 67, 26
2, 66, 59, 16
2, 67, 8, 6
2, 68, 2, 3
2, 69, 43, 23
2, 70, 13, 7
2, 71, 19, 10
2, 72, 14, 8
2, 73, 10, 6
2, 74, 18, 10
2, 75, 3, 4
2, 76, 14, 8
2, 77, 24, 12
2, 78, 14, 8
2, 79, 12, 9
2, 80, 8, 7
2, 81, 27, 15
2, 82, 1, 2
2, 83, 23, 15
2, 84, 87, 27
2, 85, 55, 17
2, 86, 70, 29
2, 87, 33, 17
2, 88, 45, 14
2, 89, 46, 18
2, 90, 35, 12
2, 91, 19, 9
2, 92, 16, 8
2, 93, 28, 14
2, 94, 30, 13
2, 95, 60, 21
2, 96, 32, 14
2, 97, 1, 2
2, 98, 6, 4
2, 99, 97, 35
2, 100, 155, 35
2, 101, 56, 23
2, 102, 92, 28
2, 103, 41, 18
2, 104, 65, 26
2, 105, 29, 10
2, 106, 18, 11
2, 107, 20, 13
2, 108, 89, 31
2, 109, 45, 18
2, 110, 42, 24
2, 111, 15, 9
2, 112, 10, 8
2, 113, 61, 24
2, 114, 78, 30
2, 115, 23, 12
2, 116, 29, 14
2, 117, 59, 23
2, 118, 21, 13
2, 119, 13, 9
2, 120, 57, 22
2, 121, 83, 34
2, 122, 136, 32
2, 123, 88, 30
2, 124, 34, 20
2, 125, 5, 6
2, 126, 22, 11
2, 127, 82, 29
2, 128, 18, 12
2, 129, 86, 40
2, 130, 17, 9
2, 131, 40, 15
2, 132, 44, 19
2, 133, 13, 7
2, 134, 38, 11
2, 135, 47, 21
2, 136, 28, 13
2, 137, 33, 18
2, 138, 24, 15
2, 139, 26, 12
2, 140, 7, 6
