video_id, sentence_id, dep_length, total_length
1, 0, 109.47, 27
1, 1, 43.62, 15
1, 2, 46.18, 14
1, 3, 27.5, 11
1, 4, 30.46, 13
1, 5, 32.19, 12
1, 6, 15.4, 8
1, 7, 10.65, 6
1, 8, 19.94, 9
1, 9, 51.62, 17
1, 10, 12.48, 7
1, 11, 74.88, 21
1, 12, 22.09, 10
1, 13, 13.47, 7
1, 14, 31.8, 12
1, 15, 57.85, 19
1, 16, 64.14, 20
1, 17, 30.96, 12
1, 18, 31.17, 13
1, 19, 111.61, 29
1, 20, 120.33, 28
1, 21, 92.51, 24
1, 22, 38.28, 14
1, 23, 9.76, 6
1, 24, 8.74, 6
1, 25, 193.23, 38
1, 26, 20.97, 10
1, 27, 24.11, 10
1, 28, 30.85, 12
1, 29, 74.69, 23
1, 30, 37.38, 14
1, 31, 2.67, 3
1, 32, 23.14, 10
1, 33, 19.36, 9
1, 34, 9.39, 6
2, 0, 1.0, 2
2, 1, 139.28, 27
2, 2, 57.75, 16
2, 3, 26.43, 11
2, 4, 20.0, 10
2, 5, 2.68, 3
2, 6, 65.44, 20
2, 7, 34.51, 13
2, 8, 7.17, 5
2, 9, 196.51, 32
2, 10, 103.39, 29
2, 11, 19.09, 9
2, 12, 20.2, 9
2, 13, 77.57, 21
2, 14, 13.06, 7
2, 15, 93.5, 22
2, 16, 37.74, 13
2, 17, 31.52, 13
2, 18, 32.36, 13
2, 19, 13.56, 7
2, 20, 30.98, 12
2, 21, 91.47, 24
2, 22, 87.31, 23
2, 23, 79.57, 23
2, 24, 78.28, 25
2, 25, 66.87, 22
2, 26, 56.34, 19
2, 27, 36.61, 13
2, 28, 59.54, 18
2, 29, 4.42, 4
2, 30, 101.38, 26
2, 31, 32.93, 12
2, 32, 6.45, 5
2, 33, 61.32, 17
2, 34, 28.12, 11
2, 35, 22.9, 10
2, 36, 27.59, 11
2, 37, 119.21, 27
2, 38, 64.23, 20
2, 39, 57.71, 16
2, 40, 16.52, 8
2, 41, 62.09, 19
2, 42, 55.83, 17
2, 43, 15.0, 8
2, 44, 120.87, 29
2, 45, 37.6, 13
2, 46, 94.83, 26
2, 47, 6.78, 5
2, 48, 16.18, 8
2, 49, 6.35, 5
2, 50, 48.65, 17
2, 51, 17.87, 9
2, 52, 18.44, 9
2, 53, 6.92, 5
2, 54, 33.15, 12
2, 55, 85.8, 25
2, 56, 57.95, 20
2, 57, 16.43, 8
2, 58, 58.86, 18
2, 59, 37.75, 14
2, 60, 20.84, 9
2, 61, 62.12, 20
2, 62, 24.87, 10
2, 63, 24.96, 10
2, 64, 82.65, 24
2, 65, 93.19, 26
2, 66, 56.89, 16
2, 67, 9.83, 6
2, 68, 2.72, 3
2, 69, 101.73, 23
2, 70, 13.27, 7
2, 71, 23.17, 10
2, 72, 17.2, 8
2, 73, 9.46, 6
2, 74, 21.56, 10
2, 75, 4.51, 4
2, 76, 17.42, 8
2, 77, 30.43, 12
2, 78, 16.63, 8
2, 79, 19.44, 9
2, 80, 13.2, 7
2, 81, 43.4, 15
2, 82, 1.0, 2
2, 83, 46.64, 15
2, 84, 104.11, 27
2, 85, 57.42, 17
2, 86, 135.18, 29
2, 87, 46.01, 17
2, 88, 42.32, 14
2, 89, 62.52, 18
2, 90, 32.69, 12
2, 91, 21.47, 9
2, 92, 15.82, 8
2, 93, 42.03, 14
2, 94, 31.76, 13
2, 95, 66.62, 21
2, 96, 40.63, 14
2, 97, 1.0, 2
2, 98, 4.98, 4
2, 99, 180.95, 35
2, 100, 143.7, 35
2, 101, 91.61, 23
2, 102, 105.03, 28
2, 103, 63.4, 18
2, 104, 104.82, 26
2, 105, 25.68, 10
2, 106, 31.52, 11
2, 107, 35.23, 13
2, 108, 130.23, 31
2, 109, 56.21, 18
2, 110, 114.97, 24
2, 111, 18.72, 9
2, 112, 14.09, 8
2, 113, 84.06, 24
2, 114, 124.45, 30
2, 115, 27.3, 12
2, 116, 47.42, 14
2, 117, 75.32, 23
2, 118, 36.35, 13
2, 119, 16.99, 9
2, 120, 78.89, 22
2, 121, 137.58, 34
2, 122, 135.28, 32
2, 123, 142.92, 30
2, 124, 72.89, 20
2, 125, 8.69, 6
2, 126, 27.3, 11
2, 127, 133.12, 29
2, 128, 34.27, 12
2, 129, 257.33, 40
2, 130, 17.53, 9
2, 131, 41.55, 15
2, 132, 63.52, 19
2, 133, 11.72, 7
2, 134, 29.7, 11
2, 135, 61.08, 21
2, 136, 31.57, 13
2, 137, 59.75, 18
2, 138, 47.78, 15
2, 139, 32.39, 12
2, 140, 9.36, 6
2, 141, 10.48, 6
2, 142, 65.41, 20
2, 143, 52.49, 17
2, 144, 37.57, 13
2, 145, 15.55, 8
2, 146, 18.81, 9
2, 147, 28.82, 12
2, 148, 33.39, 13
2, 149, 15.09, 8
2, 150, 17.15, 8
2, 151, 0.0, 1
2, 152, 175.13, 37
2, 153, 195.77, 33
2, 154, 8.66, 6
2, 155, 6.67, 5
2, 156, 52.12, 18
2, 157, 82.9, 24
2, 158, 84.66, 23
2, 159, 26.26, 11
2, 160, 44.36, 16
2, 161, 24.12, 10
2, 162, 5.18, 4
2, 163, 7.35, 5
3, 0, 52.72, 16
3, 1, 26.95, 11
3, 2, 38.43, 14
3, 3, 29.59, 11
3, 4, 69.61, 23
3, 5, 92.13, 22
3, 6, 36.59, 15
3, 7, 32.97, 13
3, 8, 50.2, 16
3, 9, 71.18, 22
3, 10, 115.78, 29
3, 11, 35.32, 14
3, 12, 18.41, 9
3, 13, 204.92, 36
3, 14, 105.9, 28
3, 15, 17.81, 9
3, 16, 2.57, 3
3, 17, 7.09, 5
3, 18, 6.85, 5
3, 19, 12.01, 7
3, 20, 45.56, 15
3, 21, 13.05, 7
3, 22, 38.62, 13
3, 23, 137.14, 33
3, 24, 0.0, 1
3, 25, 85.88, 22
3, 26, 16.3, 8
3, 27, 17.2, 9
3, 28, 86.59, 24
3, 29, 101.8, 23
3, 30, 6.4, 5
3, 31, 45.4, 16
3, 32, 16.17, 8
3, 33, 43.73, 15
3, 34, 21.24, 10
3, 35, 118.44, 33
3, 36, 18.29, 9
3, 37, 17.42, 9
3, 38, 43.73, 14
3, 39, 34.63, 13
3, 40, 25.84, 10
3, 41, 11.55, 7
3, 42, 77.94, 22
3, 43, 30.31, 12
3, 44, 58.19, 18
3, 45, 44.5, 15
3, 46, 46.42, 17
3, 47, 9.36, 6
3, 48, 108.41, 26
3, 49, 77.72, 21
3, 50, 58.54, 18
3, 51, 62.46, 19
3, 52, 41.03, 14
3, 53, 23.28, 10
3, 54, 39.7, 14
3, 55, 12.3, 7
3, 56, 56.65, 17
3, 57, 54.07, 17
3, 58, 39.72, 13
3, 59, 67.43, 20
3, 60, 32.67, 11
3, 61, 30.1, 13
3, 62, 37.96, 13
3, 63, 9.69, 6
3, 64, 41.08, 14
3, 65, 40.35, 15
3, 66, 55.93, 18
3, 67, 29.56, 11
3, 68, 80.87, 23
3, 69, 82.32, 22
3, 70, 19.13, 9
3, 71, 7.34, 5
3, 72, 72.77, 22
3, 73, 31.45, 12
3, 74, 30.14, 11
3, 75, 31.42, 13
3, 76, 28.18, 11
3, 77, 7.45, 5
3, 78, 9.1, 6
3, 79, 148.29, 33
3, 80, 12.69, 7
3, 81, 41.9, 16
3, 82, 36.47, 14
3, 83, 21.72, 10
3, 84, 14.4, 8
3, 85, 16.66, 8
3, 86, 21.64, 10
3, 87, 86.25, 24
3, 88, 36.94, 13
3, 89, 70.26, 20
3, 90, 53.93, 17
3, 91, 54.34, 18
3, 92, 37.99, 15
3, 93, 98.92, 24
3, 94, 45.46, 16
3, 95, 86.11, 23
3, 96, 93.82, 27
3, 97, 17.44, 8
3, 98, 16.6, 8
3, 99, 22.71, 11
3, 100, 16.15, 8
3, 101, 89.49, 21
3, 102, 47.83, 17
3, 103, 38.74, 13
3, 104, 10.51, 6
3, 105, 10.21, 6
3, 106, 45.17, 16
3, 107, 4.51, 4
3, 108, 57.23, 18
3, 109, 34.62, 13
3, 110, 14.16, 8
3, 111, 51.06, 18
3, 112, 15.26, 7
3, 113, 32.4, 13
3, 114, 24.17, 11
3, 115, 1.0, 2
3, 116, 51.66, 15
3, 117, 24.88, 10
3, 118, 33.68, 13
