video_id, sentence_id, dep_length, total_length
1, 0, 19, 10
1, 1, 14, 8
1, 2, 1, 2
1, 3, 19, 12
1, 4, 4, 4
1, 5, 0, 1
1, 6, 0, 1
1, 7, 15, 8
1, 8, 3, 3
1, 9, 0, 1
1, 10, 17, 9
1, 11, 1, 2
1, 12, 15, 9
1, 13, 3, 4
1, 14, 3, 3
1, 15, 12, 7
1, 16, 3, 3
1, 17, 12, 6
1, 18, 6, 4
1, 19, 13, 9
1, 20, 4, 4
1, 21, 13, 7
1, 22, 6, 6
1, 23, 3, 3
1, 24, 37, 14
1, 25, 6, 5
1, 26, 7, 5
1, 27, 20, 12
1, 28, 34, 16
1, 29, 13, 10
1, 30, 17, 9
1, 31, 7, 6
1, 32, 72, 26
1, 33, 43, 15
1, 34, 0, 1
1, 35, 40, 17
1, 36, 15, 9
1, 37, 11, 7
1, 38, 1, 2
1, 39, 38, 17
1, 40, 13, 8
1, 41, 1, 2
1, 42, 0, 1
1, 43, 10, 8
1, 44, 4, 4
1, 45, 9, 6
1, 46, 1, 2
1, 47, 1, 2
1, 48, 18, 9
1, 49, 38, 18
1, 50, 0, 1
1, 51, 4, 4
1, 52, 0, 1
1, 53, 10, 7
1, 54, 0, 1
1, 55, 1, 2
1, 56, 14, 9
1, 57, 0, 1
1, 58, 0, 1
1, 59, 0, 1
1, 60, 0, 1
1, 61, 7, 6
1, 62, 30, 17
1, 63, 0, 1
1, 64, 15, 6
1, 65, 12, 6
1, 66, 14, 6
1, 67, 9, 6
1, 68, 22, 12
1, 69, 1, 2
1, 70, 25, 12
1, 71, 18, 9
1, 72, 0, 1
1, 73, 9, 6
1, 74, 6, 5
1, 75, 0, 1
1, 76, 40, 18
1, 77, 21, 7
1, 78, 0, 1
1, 79, 6, 6
1, 80, 6, 4
1, 81, 0, 1
1, 82, 1, 2
1, 83, 12, 6
1, 84, 49, 17
1, 85, 0, 1
1, 86, 10, 7
1, 87, 4, 4
1, 88, 12, 7
1, 89, 2, 3
1, 90, 6, 4
1, 91, 16, 9
1, 92, 12, 7
1, 93, 1, 2
1, 94, 1, 2
1, 95, 1, 2
1, 96, 2, 3
1, 97, 0, 1
1, 98, 0, 1
1, 99, 4, 4
1, 100, 1, 2
1, 101, 3, 3
1, 102, 0, 1
1, 103, 1, 2
1, 104, 3, 3
1, 105, 4, 4
1, 106, 0, 1
1, 107, 11, 7
1, 108, 20, 10
1, 109, 1, 2
1, 110, 3, 3
1, 111, 2, 3
1, 112, 18, 11
1, 113, 0, 1
1, 114, 3, 3
1, 115, 8, 6
1, 116, 10, 7
1, 117, 0, 1
1, 118, 1, 2
1, 119, 15, 7
1, 120, 0, 1
1, 121, 10, 7
1, 122, 0, 1
1, 123, 11, 8
1, 124, 10, 5
1, 125, 0, 1
1, 126, 12, 9
1, 127, 0, 1
1, 128, 1, 2
1, 129, 14, 8
1, 130, 9, 6
1, 131, 17, 9
1, 132, 10, 5
1, 133, 8, 5
1, 134, 0, 1
1, 135, 0, 1
1, 136, 1, 2
1, 137, 3, 3
1, 138, 5, 5
1, 139, 6, 4
1, 140, 1, 2
1, 141, 3, 3
1, 142, 3, 3
1, 143, 0, 1
1, 144, 6, 4
1, 145, 8, 5
1, 146, 28, 13
1, 147, 22, 11
1, 148, 27, 11
1, 149, 16, 9
1, 150, 9, 6
1, 151, 1, 2
1, 152, 2, 3
1, 153, 1, 2
1, 154, 3, 3
1, 155, 12, 8
1, 156, 2, 3
2, 0, 3, 3
2, 1, 3, 3
2, 2, 6, 4
2, 3, 18, 8
2, 4, 0, 1
2, 5, 0, 1
2, 6, 6, 4
2, 7, 0, 1
2, 8, 9, 6
2, 9, 28, 16
2, 10, 46, 14
2, 11, 1, 2
2, 12, 7, 5
2, 13, 25, 14
2, 14, 26, 14
2, 15, 2, 3
2, 16, 1, 2
2, 17, 30, 13
2, 18, 4, 4
2, 19, 19, 9
2, 20, 0, 1
2, 21, 12, 8
2, 22, 0, 1
2, 23, 18, 10
2, 24, 14, 7
2, 25, 5, 4
2, 26, 3, 3
