video_id, sentence_id, dep_length, total_length
1, 0, 16, 10
1, 1, 12, 8
1, 2, 1, 2
1, 3, 16, 12
1, 4, 4, 4
1, 5, 0, 1
1, 6, 0, 1
1, 7, 10, 8
1, 8, 2, 3
1, 9, 0, 1
1, 10, 12, 9
1, 11, 1, 2
1, 12, 12, 9
1, 13, 3, 4
1, 14, 2, 3
1, 15, 9, 7
1, 16, 2, 3
1, 17, 7, 6
1, 18, 3, 4
1, 19, 12, 9
1, 20, 4, 4
1, 21, 9, 7
1, 22, 6, 6
1, 23, 2, 3
1, 24, 23, 14
1, 25, 5, 5
1, 26, 6, 5
1, 27, 15, 12
1, 28, 23, 16
1, 29, 12, 10
1, 30, 13, 9
1, 31, 6, 6
1, 32, 46, 26
1, 33, 25, 15
1, 34, 0, 1
1, 35, 29, 17
1, 36, 12, 9
1, 37, 7, 7
1, 38, 1, 2
1, 39, 28, 17
1, 40, 10, 8
1, 41, 1, 2
1, 42, 0, 1
1, 43, 9, 8
1, 44, 3, 4
1, 45, 6, 6
1, 46, 1, 2
1, 47, 1, 2
1, 48, 14, 9
1, 49, 32, 18
1, 50, 0, 1
1, 51, 4, 4
1, 52, 0, 1
1, 53, 9, 7
1, 54, 0, 1
1, 55, 1, 2
1, 56, 11, 9
1, 57, 0, 1
1, 58, 0, 1
1, 59, 0, 1
1, 60, 0, 1
1, 61, 7, 6
1, 62, 25, 17
1, 63, 0, 1
1, 64, 9, 6
1, 65, 7, 6
1, 66, 7, 6
1, 67, 7, 6
1, 68, 15, 12
1, 69, 1, 2
1, 70, 21, 12
1, 71, 12, 9
1, 72, 0, 1
1, 73, 7, 6
1, 74, 5, 5
1, 75, 0, 1
1, 76, 31, 18
1, 77, 12, 7
1, 78, 0, 1
1, 79, 6, 6
1, 80, 4, 4
1, 81, 0, 1
1, 82, 1, 2
1, 83, 7, 6
1, 84, 27, 17
1, 85, 0, 1
1, 86, 8, 7
1, 87, 4, 4
1, 88, 9, 7
1, 89, 2, 3
1, 90, 4, 4
1, 91, 11, 9
1, 92, 7, 7
1, 93, 1, 2
1, 94, 1, 2
1, 95, 1, 2
1, 96, 2, 3
1, 97, 0, 1
1, 98, 0, 1
1, 99, 4, 4
1, 100, 1, 2
1, 101, 2, 3
1, 102, 0, 1
1, 103, 1, 2
1, 104, 2, 3
1, 105, 4, 4
1, 106, 0, 1
1, 107, 8, 7
1, 108, 13, 10
1, 109, 1, 2
1, 110, 2, 3
1, 111, 2, 3
1, 112, 15, 11
1, 113, 0, 1
1, 114, 2, 3
1, 115, 7, 6
1, 116, 9, 7
1, 117, 0, 1
1, 118, 1, 2
1, 119, 8, 7
1, 120, 0, 1
1, 121, 8, 7
1, 122, 0, 1
1, 123, 10, 8
1, 124, 5, 5
1, 125, 0, 1
1, 126, 11, 9
1, 127, 0, 1
1, 128, 1, 2
1, 129, 10, 8
1, 130, 7, 6
1, 131, 13, 9
1, 132, 5, 5
1, 133, 5, 5
1, 134, 0, 1
1, 135, 0, 1
1, 136, 1, 2
1, 137, 2, 3
1, 138, 4, 5
1, 139, 4, 4
1, 140, 1, 2
1, 141, 2, 3
1, 142, 2, 3
1, 143, 0, 1
1, 144, 4, 4
1, 145, 5, 5
1, 146, 20, 13
1, 147, 18, 11
1, 148, 17, 11
1, 149, 13, 9
1, 150, 7, 6
1, 151, 1, 2
1, 152, 2, 3
1, 153, 1, 2
1, 154, 2, 3
1, 155, 9, 8
1, 156, 2, 3
2, 0, 2, 3
2, 1, 2, 3
2, 2, 4, 4
2, 3, 13, 8
2, 4, 0, 1
2, 5, 0, 1
2, 6, 4, 4
2, 7, 0, 1
2, 8, 7, 6
2, 9, 23, 16
2, 10, 27, 14
2, 11, 1, 2
2, 12, 5, 5
2, 13, 22, 14
2, 14, 21, 14
2, 15, 2, 3
2, 16, 1, 2
2, 17, 20, 13
2, 18, 4, 4
2, 19, 12, 9
2, 20, 0, 1
2, 21, 9, 8
2, 22, 0, 1
2, 23, 13, 10
2, 24, 8, 7
2, 25, 3, 4
2, 26, 2, 3
2, 27, 4, 4
2, 28, 1, 2
2, 29, 14, 11
2, 30, 13, 9
2, 31, 60, 30
2, 32, 45, 25
2, 33, 0, 1
2, 34, 11, 9
2, 35, 4, 5
2, 36, 10, 8
2, 37, 0, 1
2, 38, 3, 4
2, 39, 2, 3
2, 40, 16, 11
2, 41, 2, 3
2, 42, 1, 2
2, 43, 0, 1
2, 44, 20, 13
2, 45, 18, 13
2, 46, 2, 3
2, 47, 39, 21
2, 48, 4, 4
2, 49, 11, 9
2, 50, 15, 11
2, 51, 4, 5
2, 52, 18, 12
2, 53, 36, 19
2, 54, 2, 3
2, 55, 0, 1
2, 56, 2, 3
2, 57, 5, 5
2, 58, 1, 2
2, 59, 3, 4
2, 60, 3, 4
2, 61, 0, 1
2, 62, 2, 3
2, 63, 0, 1
2, 64, 1, 2
2, 65, 2, 3
2, 66, 5, 5
2, 67, 4, 4
2, 68, 1, 2
2, 69, 1, 2
2, 70, 2, 3
2, 71, 2, 3
2, 72, 6, 6
2, 73, 2, 3
2, 74, 2, 3
2, 75, 2, 3
2, 76, 5, 5
4, 0, 14, 11
4, 1, 19, 11
4, 2, 7, 6
4, 3, 10, 7
4, 4, 16, 11
4, 5, 2, 3
4, 6, 0, 1
4, 7, 26, 19
4, 8, 21, 16
4, 9, 25, 17
4, 10, 23, 15
4, 11, 19, 12
4, 12, 2, 3
4, 13, 2, 3
4, 14, 1, 2
4, 15, 13, 9
4, 16, 33, 19
4, 17, 8, 7
4, 18, 36, 22
4, 19, 11, 8
4, 20, 13, 10
4, 21, 37, 20
4, 22, 7, 7
4, 23, 31, 17
4, 24, 28, 17
4, 25, 9, 7
4, 26, 15, 12
4, 27, 21, 15
4, 28, 31, 20
4, 29, 25, 15
4, 30, 35, 20
4, 31, 0, 1
4, 32, 0, 1
5, 0, 1, 2
5, 1, 1, 2
5, 2, 1, 2
5, 3, 1, 2
5, 4, 0, 1
5, 5, 1, 2
5, 6, 1, 2
5, 7, 0, 1
5, 8, 1, 2
5, 9, 1, 2
5, 10, 1, 2
5, 11, 4, 4
6, 0, 1, 2
