video_id, sentence_id, dep_length, total_length
1, 0, 27.49, 10
1, 1, 18.16, 8
1, 2, 1.0, 2
1, 3, 34.41, 12
1, 4, 5.04, 4
1, 5, 0.0, 1
1, 6, 0.0, 1
1, 7, 16.3, 8
1, 8, 2.69, 3
1, 9, 0.0, 1
1, 10, 18.96, 9
1, 11, 1.0, 2
1, 12, 20.29, 9
1, 13, 4.48, 4
1, 14, 2.62, 3
1, 15, 13.33, 7
1, 16, 2.72, 3
1, 17, 9.98, 6
1, 18, 4.44, 4
1, 19, 22.29, 9
1, 20, 5.02, 4
1, 21, 12.92, 7
1, 22, 9.13, 6
1, 23, 2.73, 3
1, 24, 43.59, 14
1, 25, 7.34, 5
1, 26, 8.23, 5
1, 27, 32.62, 12
1, 28, 54.5, 16
1, 29, 23.57, 10
1, 30, 21.65, 9
1, 31, 9.86, 6
1, 32, 104.7, 26
1, 33, 41.06, 15
1, 34, 0.0, 1
1, 35, 67.9, 17
1, 36, 22.62, 9
1, 37, 11.51, 7
1, 38, 1.0, 2
1, 39, 55.5, 17
1, 40, 16.43, 8
1, 41, 1.0, 2
1, 42, 0.0, 1
1, 43, 16.39, 8
1, 44, 4.54, 4
1, 45, 10.3, 6
1, 46, 1.0, 2
1, 47, 1.0, 2
1, 48, 21.65, 9
1, 49, 72.48, 18
1, 50, 0.0, 1
1, 51, 4.8, 4
1, 52, 0.0, 1
1, 53, 13.12, 7
1, 54, 0.0, 1
1, 55, 1.0, 2
1, 56, 20.37, 9
1, 57, 0.0, 1
1, 58, 0.0, 1
1, 59, 0.0, 1
1, 60, 0.0, 1
1, 61, 10.54, 6
1, 62, 57.54, 17
1, 63, 0.0, 1
1, 64, 11.84, 6
1, 65, 10.42, 6
1, 66, 10.38, 6
1, 67, 10.51, 6
1, 68, 35.19, 12
1, 69, 1.0, 2
1, 70, 35.36, 12
1, 71, 20.13, 9
1, 72, 0.0, 1
1, 73, 10.16, 6
1, 74, 7.31, 5
1, 75, 0.0, 1
1, 76, 75.12, 18
1, 77, 16.04, 7
1, 78, 0.0, 1
1, 79, 9.99, 6
1, 80, 5.06, 4
1, 81, 0.0, 1
1, 82, 1.0, 2
1, 83, 10.07, 6
1, 84, 45.67, 17
1, 85, 0.0, 1
1, 86, 12.99, 7
1, 87, 4.82, 4
1, 88, 12.91, 7
1, 89, 2.72, 3
1, 90, 5.02, 4
1, 91, 20.35, 9
1, 92, 11.16, 7
1, 93, 1.0, 2
1, 94, 1.0, 2
1, 95, 1.0, 2
1, 96, 2.64, 3
1, 97, 0.0, 1
1, 98, 0.0, 1
1, 99, 5.02, 4
1, 100, 1.0, 2
1, 101, 2.63, 3
1, 102, 0.0, 1
1, 103, 1.0, 2
1, 104, 2.49, 3
1, 105, 4.96, 4
1, 106, 0.0, 1
1, 107, 12.41, 7
1, 108, 25.1, 10
1, 109, 1.0, 2
1, 110, 2.63, 3
1, 111, 2.65, 3
1, 112, 29.9, 11
1, 113, 0.0, 1
1, 114, 2.54, 3
1, 115, 10.9, 6
1, 116, 13.54, 7
1, 117, 0.0, 1
1, 118, 1.0, 2
1, 119, 11.69, 7
1, 120, 0.0, 1
1, 121, 11.7, 7
1, 122, 0.0, 1
1, 123, 15.46, 8
1, 124, 7.18, 5
1, 125, 0.0, 1
1, 126, 18.24, 9
1, 127, 0.0, 1
1, 128, 1.0, 2
1, 129, 17.66, 8
1, 130, 10.71, 6
1, 131, 18.78, 9
1, 132, 7.04, 5
1, 133, 6.84, 5
1, 134, 0.0, 1
1, 135, 0.0, 1
1, 136, 1.0, 2
1, 137, 2.66, 3
1, 138, 6.85, 5
1, 139, 4.78, 4
1, 140, 1.0, 2
1, 141, 2.68, 3
1, 142, 2.62, 3
1, 143, 0.0, 1
1, 144, 5.02, 4
1, 145, 7.15, 5
1, 146, 34.9, 13
1, 147, 28.56, 11
1, 148, 26.9, 11
1, 149, 20.33, 9
1, 150, 10.62, 6
1, 151, 1.0, 2
1, 152, 2.7, 3
1, 153, 1.0, 2
1, 154, 2.68, 3
1, 155, 17.3, 8
1, 156, 2.49, 3
2, 0, 2.67, 3
2, 1, 2.7, 3
2, 2, 5.0, 4
2, 3, 19.18, 8
2, 4, 0.0, 1
2, 5, 0.0, 1
2, 6, 5.04, 4
2, 7, 0.0, 1
2, 8, 10.14, 6
2, 9, 44.37, 16
2, 10, 46.22, 14
2, 11, 1.0, 2
2, 12, 6.79, 5
2, 13, 40.73, 14
2, 14, 38.64, 14
2, 15, 2.65, 3
2, 16, 1.0, 2
2, 17, 36.93, 13
2, 18, 5.02, 4
2, 19, 18.95, 9
2, 20, 0.0, 1
2, 21, 14.96, 8
2, 22, 0.0, 1
2, 23, 24.54, 10
2, 24, 12.85, 7
2, 25, 4.36, 4
2, 26, 2.65, 3
2, 27, 5.14, 4
2, 28, 1.0, 2
2, 29, 26.19, 11
2, 30, 21.9, 9
2, 31, 123.23, 30
2, 32, 99.56, 25
2, 33, 0.0, 1
2, 34, 18.57, 9
2, 35, 6.82, 5
2, 36, 16.23, 8
2, 37, 0.0, 1
2, 38, 4.51, 4
2, 39, 2.6, 3
2, 40, 32.32, 11
2, 41, 2.71, 3
2, 42, 1.0, 2
2, 43, 0.0, 1
2, 44, 42.34, 13
2, 45, 39.64, 13
2, 46, 2.69, 3
2, 47, 72.64, 21
2, 48, 5.16, 4
2, 49, 21.37, 9
2, 50, 28.82, 11
2, 51, 6.77, 5
2, 52, 30.73, 12
2, 53, 70.37, 19
2, 54, 2.62, 3
2, 55, 0.0, 1
2, 56, 2.7, 3
2, 57, 7.35, 5
2, 58, 1.0, 2
2, 59, 4.48, 4
2, 60, 4.49, 4
2, 61, 0.0, 1
2, 62, 2.63, 3
2, 63, 0.0, 1
2, 64, 1.0, 2
2, 65, 2.5, 3
2, 66, 7.22, 5
2, 67, 5.08, 4
2, 68, 1.0, 2
2, 69, 1.0, 2
2, 70, 2.63, 3
2, 71, 2.63, 3
2, 72, 9.09, 6
2, 73, 2.51, 3
2, 74, 2.69, 3
2, 75, 2.7, 3
2, 76, 7.26, 5
4, 0, 25.34, 11
4, 1, 27.43, 11
4, 2, 10.22, 6
4, 3, 14.47, 7
4, 4, 28.6, 11
4, 5, 2.6, 3
4, 6, 0.0, 1
4, 7, 66.73, 19
4, 8, 45.17, 16
4, 9, 62.44, 17
4, 10, 49.86, 15
4, 11, 32.57, 12
4, 12, 2.74, 3
4, 13, 2.75, 3
4, 14, 1.0, 2
4, 15, 21.24, 9
4, 16, 76.27, 19
4, 17, 13.52, 7
4, 18, 96.19, 22
4, 19, 17.29, 8
4, 20, 22.39, 10
4, 21, 83.73, 20
4, 22, 11.83, 7
4, 23, 49.49, 17
4, 24, 49.29, 17
4, 25, 13.29, 7
4, 26, 30.85, 12
4, 27, 47.31, 15
4, 28, 78.77, 20
4, 29, 45.07, 15
4, 30, 75.32, 20
4, 31, 0.0, 1
4, 32, 0.0, 1
5, 0, 1.0, 2
5, 1, 1.0, 2
5, 2, 1.0, 2
5, 3, 1.0, 2
5, 4, 0.0, 1
5, 5, 1.0, 2
5, 6, 1.0, 2
5, 7, 0.0, 1
5, 8, 1.0, 2
5, 9, 1.0, 2
5, 10, 1.0, 2
5, 11, 5.04, 4
6, 0, 1.0, 2
6, 1, 5.0, 4
6, 2, 0.0, 1
6, 3, 20.98, 9
6, 4, 10.68, 6
6, 5, 2.51, 3
6, 6, 2.65, 3
6, 7, 24.02, 10
6, 8, 1.0, 2
6, 9, 1.0, 2
6, 10, 9.12, 6
6, 11, 0.0, 1
6, 12, 0.0, 1
6, 13, 0.0, 1
6, 14, 1.0, 2
6, 15, 1.0, 2
6, 16, 11.06, 6
6, 17, 1.0, 2
6, 18, 11.32, 6
6, 19, 0.0, 1
6, 20, 0.0, 1
6, 21, 5.14, 4
6, 22, 13.42, 7
6, 23, 6.84, 5
6, 24, 0.0, 1
6, 25, 37.18, 13
6, 26, 6.99, 5
6, 27, 1.0, 2
6, 28, 4.66, 4
6, 29, 16.11, 8
6, 30, 0.0, 1
6, 31, 1.0, 2
6, 32, 1.0, 2
6, 33, 9.52, 6
6, 34, 7.12, 5
6, 35, 10.08, 6
6, 36, 7.08, 5
6, 37, 1.0, 2
6, 38, 17.05, 9
6, 39, 30.04, 12
6, 40, 0.0, 1
6, 41, 9.89, 6
6, 42, 9.66, 6
6, 43, 7.37, 5
6, 44, 63.28, 14
6, 45, 2.71, 3
6, 46, 7.06, 5
6, 47, 8.63, 6
6, 48, 1.0, 2
6, 49, 1.0, 2
6, 50, 21.74, 9
6, 51, 0.0, 1
6, 52, 0.0, 1
6, 53, 0.0, 1
6, 54, 0.0, 1
6, 55, 0.0, 1
6, 56, 0.0, 1
6, 57, 2.62, 3
6, 58, 5.14, 4
6, 59, 1.0, 2
6, 60, 5.06, 4
6, 61, 0.0, 1
6, 62, 0.0, 1
6, 63, 0.0, 1
6, 64, 1.0, 2
6, 65, 1.0, 2
6, 66, 0.0, 1
6, 67, 26.63, 11
6, 68, 27.28, 11
6, 69, 4.62, 4
6, 70, 1.0, 2
6, 71, 15.88, 8
6, 72, 0.0, 1
6, 73, 1.0, 2
6, 74, 0.0, 1
6, 75, 0.0, 1
6, 76, 1.0, 2
6, 77, 23.21, 10
6, 78, 1.0, 2
6, 79, 0.0, 1
6, 80, 0.0, 1
6, 81, 0.0, 1
6, 82, 7.75, 5
6, 83, 2.5, 3
6, 84, 0.0, 1
6, 85, 4.45, 4
6, 86, 0.0, 1
6, 87, 2.6, 3
6, 88, 1.0, 2
6, 89, 0.0, 1
6, 90, 1.0, 2
6, 91, 2.48, 3
6, 92, 1.0, 2
6, 93, 0.0, 1
6, 94, 1.0, 2
6, 95, 0.0, 1
6, 96, 0.0, 1
6, 97, 0.0, 1
6, 98, 0.0, 1
6, 99, 31.79, 11
6, 100, 1.0, 2
6, 101, 1.0, 2
6, 102, 1.0, 2
6, 103, 4.57, 4
6, 104, 5.02, 4
6, 105, 2.72, 3
6, 106, 12.59, 7
6, 107, 22.1, 9
6, 108, 5.02, 4
6, 109, 1.0, 2
6, 110, 2.49, 3
6, 111, 11.6, 7
6, 112, 24.85, 11
6, 113, 16.8, 8
6, 114, 1.0, 2
6, 115, 8.53, 6
6, 116, 6.96, 5
6, 117, 2.69, 3
6, 118, 13.09, 7
6, 119, 12.22, 7
6, 120, 10.1, 6
6, 121, 9.76, 6
6, 122, 7.52, 5
6, 123, 8.2, 5
6, 124, 1.0, 2
6, 125, 1.0, 2
6, 126, 1.0, 2
6, 127, 2.69, 3
6, 128, 1.0, 2
6, 129, 9.66, 6
6, 130, 1.0, 2
6, 131, 2.65, 3
6, 132, 2.78, 3
6, 133, 2.51, 3
6, 134, 9.58, 6
6, 135, 0.0, 1
6, 136, 9.82, 6
6, 137, 0.0, 1
6, 138, 9.19, 6
6, 139, 1.0, 2
6, 140, 4.92, 4
6, 141, 0.0, 1
6, 142, 1.0, 2
6, 143, 9.26, 6
6, 144, 2.65, 3
6, 145, 2.62, 3
6, 146, 5.16, 4
6, 147, 1.0, 2
6, 148, 2.7, 3
6, 149, 0.0, 1
6, 150, 0.0, 1
6, 151, 0.0, 1
6, 152, 0.0, 1
6, 153, 1.0, 2
6, 154, 13.85, 7
6, 155, 2.67, 3
6, 156, 7.12, 5
6, 157, 7.69, 5
6, 158, 54.79, 16
6, 159, 42.23, 15
6, 160, 13.95, 7
6, 161, 7.19, 5
7, 0, 1.0, 2
7, 1, 1.0, 2
7, 2, 2.73, 3
7, 3, 2.72, 3
7, 4, 6.75, 5
7, 5, 5.1, 4
7, 6, 0.0, 1
7, 7, 24.04, 10
7, 8, 1.0, 2
7, 9, 0.0, 1
7, 10, 1.0, 2
7, 11, 10.21, 6
7, 12, 4.37, 4
7, 13, 4.92, 4
7, 14, 1.0, 2
7, 15, 2.65, 3
7, 16, 13.0, 7
7, 17, 1.0, 2
7, 18, 10.27, 6
7, 19, 0.0, 1
7, 20, 1.0, 2
7, 21, 20.93, 9
7, 22, 12.66, 7
7, 23, 9.29, 6
7, 24, 5.12, 4
7, 25, 18.06, 8
7, 26, 0.0, 1
7, 27, 6.95, 5
7, 28, 38.05, 13
7, 29, 7.15, 5
7, 30, 2.69, 3
7, 31, 1.0, 2
7, 32, 47.62, 15
7, 33, 1.0, 2
7, 34, 107.44, 23
7, 35, 2.65, 3
7, 36, 0.0, 1
7, 37, 0.0, 1
7, 38, 0.0, 1
