video_id, sentence_id, dep_length, total_length
1, 0, 4, 4
1, 1, 27, 13
1, 2, 39, 19
1, 3, 13, 7
1, 4, 11, 7
1, 5, 9, 5
1, 6, 9, 6
1, 7, 11, 7
1, 8, 16, 8
1, 9, 11, 7
1, 10, 2, 3
1, 11, 3, 4
1, 12, 10, 5
1, 13, 11, 7
1, 14, 1, 2
1, 15, 2, 3
1, 16, 3, 4
1, 17, 6, 5
1, 18, 11, 7
1, 19, 3, 3
1, 20, 1, 2
1, 21, 2, 3
1, 22, 3, 4
1, 23, 6, 5
1, 24, 11, 7
1, 25, 2, 3
1, 26, 3, 3
1, 27, 1, 2
1, 28, 2, 3
1, 29, 3, 4
1, 30, 6, 5
1, 31, 11, 7
1, 32, 1, 2
1, 33, 2, 3
1, 34, 3, 3
1, 35, 1, 2
1, 36, 2, 3
1, 37, 3, 4
1, 38, 6, 5
1, 39, 11, 7
1, 40, 1, 2
1, 41, 1, 2
1, 42, 2, 3
1, 43, 3, 3
1, 44, 1, 2
1, 45, 2, 3
1, 46, 3, 4
1, 47, 6, 5
1, 48, 11, 7
1, 49, 1, 2
1, 50, 1, 2
1, 51, 1, 2
1, 52, 2, 3
1, 53, 3, 3
1, 54, 1, 2
1, 55, 2, 3
1, 56, 3, 4
1, 57, 6, 5
1, 58, 11, 7
1, 59, 7, 5
1, 60, 1, 2
1, 61, 1, 2
1, 62, 2, 3
1, 63, 3, 3
1, 64, 1, 2
1, 65, 2, 3
1, 66, 3, 4
1, 67, 6, 5
1, 68, 11, 7
1, 69, 1, 2
1, 70, 7, 5
1, 71, 1, 2
1, 72, 1, 2
1, 73, 2, 3
1, 74, 3, 3
1, 75, 1, 2
1, 76, 2, 3
1, 77, 3, 4
1, 78, 6, 5
1, 79, 11, 7
1, 80, 4, 4
1, 81, 1, 2
1, 82, 7, 5
1, 83, 1, 2
1, 84, 1, 2
1, 85, 2, 3
1, 86, 3, 3
1, 87, 1, 2
1, 88, 2, 3
1, 89, 3, 4
1, 90, 6, 5
1, 91, 23, 12
1, 92, 33, 16
1, 93, 5, 5
1, 94, 3, 3
1, 95, 17, 10
1, 96, 9, 6
2, 0, 0, 1
2, 1, 2, 3
2, 2, 5, 5
2, 3, 22, 14
2, 4, 12, 6
2, 5, 3, 3
2, 6, 10, 7
2, 7, 38, 14
2, 8, 0, 1
2, 9, 20, 9
2, 10, 1, 2
2, 11, 12, 8
2, 12, 2, 3
2, 13, 26, 13
2, 14, 27, 13
2, 15, 2, 3
2, 16, 11, 6
2, 17, 21, 13
2, 18, 50, 23
2, 19, 38, 16
2, 20, 55, 22
2, 21, 3, 3
2, 22, 4, 4
2, 23, 23, 13
2, 24, 17, 9
2, 25, 3, 3
2, 26, 27, 13
2, 27, 31, 16
2, 28, 54, 20
2, 29, 3, 3
2, 30, 16, 8
2, 31, 1, 2
2, 32, 38, 16
2, 33, 53, 22
2, 34, 15, 10
2, 35, 38, 17
2, 36, 69, 27
2, 37, 11, 8
2, 38, 18, 8
2, 39, 52, 17
2, 40, 6, 4
2, 41, 41, 15
2, 42, 79, 28
2, 43, 90, 27
2, 44, 7, 5
2, 45, 15, 7
2, 46, 15, 8
2, 47, 25, 10
2, 48, 0, 1
2, 49, 74, 23
2, 50, 23, 13
3, 0, 0, 1
3, 1, 2, 3
3, 2, 9, 6
3, 3, 1, 2
3, 4, 14, 8
3, 5, 5, 4
3, 6, 22, 9
3, 7, 7, 5
3, 8, 9, 6
3, 9, 9, 6
3, 10, 20, 10
3, 11, 2, 3
3, 12, 5, 5
3, 13, 13, 8
3, 14, 59, 14
3, 15, 5, 4
3, 16, 9, 6
3, 17, 14, 8
3, 18, 0, 1
3, 19, 2, 3
3, 20, 20, 10
3, 21, 7, 6
3, 22, 4, 4
3, 23, 5, 4
3, 24, 10, 8
3, 25, 25, 11
3, 26, 65, 28
3, 27, 24, 13
3, 28, 74, 20
3, 29, 24, 14
3, 30, 21, 11
3, 31, 1, 2
3, 32, 0, 1
3, 33, 40, 20
3, 34, 11, 8
3, 35, 13, 8
3, 36, 18, 7
3, 37, 18, 9
3, 38, 7, 5
3, 39, 0, 1
3, 40, 0, 1
3, 41, 18, 10
3, 42, 12, 7
3, 43, 17, 7
3, 44, 8, 6
3, 45, 11, 7
3, 46, 0, 1
3, 47, 35, 17
3, 48, 1, 2
3, 49, 39, 15
3, 50, 17, 8
3, 51, 4, 4
3, 52, 0, 1
3, 53, 0, 1
3, 54, 34, 11
3, 55, 3, 3
3, 56, 5, 5
3, 57, 6, 5
3, 58, 7, 5
3, 59, 6, 5
3, 60, 6, 4
3, 61, 25, 10
3, 62, 1, 2
3, 63, 0, 1
3, 64, 0, 1
3, 65, 5, 5
3, 66, 6, 6
3, 67, 4, 4
3, 68, 18, 9
3, 69, 10, 7
3, 70, 52, 25
3, 71, 10, 7
3, 72, 2, 3
3, 73, 12, 6
3, 74, 21, 9
3, 75, 6, 5
3, 76, 14, 8
3, 77, 1, 2
3, 78, 4, 4
3, 79, 5, 5
3, 80, 0, 1
3, 81, 0, 1
3, 82, 1, 2
3, 83, 0, 1
3, 84, 0, 1
3, 85, 0, 1
3, 86, 6, 4
3, 87, 1, 2
3, 88, 16, 8
3, 89, 9, 5
3, 90, 3, 3
3, 91, 10, 6
3, 92, 12, 8
3, 93, 0, 1
3, 94, 1, 2
3, 95, 0, 1
3, 96, 1, 2
3, 97, 1, 2
3, 98, 2, 3
3, 99, 31, 16
3, 100, 8, 6
3, 101, 3, 3
3, 102, 4, 4
3, 103, 8, 5
3, 104, 0, 1
3, 105, 1, 2
3, 106, 1, 2
3, 107, 3, 3
3, 108, 18, 9
3, 109, 11, 7
3, 110, 1, 2
3, 111, 11, 7
3, 112, 4, 4
3, 113, 4, 4
3, 114, 3, 4
3, 115, 26, 13
3, 116, 6, 5
3, 117, 8, 5
3, 118, 4, 4
3, 119, 8, 5
3, 120, 0, 1
3, 121, 0, 1
3, 122, 0, 1
3, 123, 2, 3
3, 124, 11, 6
3, 125, 21, 10
3, 126, 8, 6
3, 127, 0, 1
3, 128, 0, 1
3, 129, 29, 13
3, 130, 3, 3
3, 131, 3, 3
3, 132, 3, 3
3, 133, 10, 7
3, 134, 7, 5
3, 135, 17, 10
3, 136, 5, 4
3, 137, 3, 3
3, 138, 7, 6
3, 139, 17, 8
3, 140, 0, 1
3, 141, 0, 1
3, 142, 4, 4
4, 0, 4, 4
4, 1, 45, 19
4, 2, 59, 23
4, 3, 18, 9
4, 4, 18, 9
4, 5, 12, 8
4, 6, 43, 19
