video_id, sentence_id, dep_length, total_length
1, 0, 4, 4
1, 1, 21, 13
1, 2, 31, 19
1, 3, 7, 7
1, 4, 8, 7
1, 5, 5, 5
1, 6, 7, 6
1, 7, 8, 7
1, 8, 10, 8
1, 9, 8, 7
1, 10, 2, 3
1, 11, 3, 4
1, 12, 5, 5
1, 13, 8, 7
1, 14, 1, 2
1, 15, 2, 3
1, 16, 3, 4
1, 17, 6, 5
1, 18, 8, 7
1, 19, 2, 3
1, 20, 1, 2
1, 21, 2, 3
1, 22, 3, 4
1, 23, 6, 5
1, 24, 8, 7
1, 25, 2, 3
1, 26, 2, 3
1, 27, 1, 2
1, 28, 2, 3
1, 29, 3, 4
1, 30, 6, 5
1, 31, 8, 7
1, 32, 1, 2
1, 33, 2, 3
1, 34, 2, 3
1, 35, 1, 2
1, 36, 2, 3
1, 37, 3, 4
1, 38, 6, 5
1, 39, 8, 7
1, 40, 1, 2
1, 41, 1, 2
1, 42, 2, 3
1, 43, 2, 3
1, 44, 1, 2
1, 45, 2, 3
1, 46, 3, 4
1, 47, 6, 5
1, 48, 8, 7
1, 49, 1, 2
1, 50, 1, 2
1, 51, 1, 2
1, 52, 2, 3
1, 53, 2, 3
1, 54, 1, 2
1, 55, 2, 3
1, 56, 3, 4
1, 57, 6, 5
1, 58, 8, 7
1, 59, 4, 5
1, 60, 1, 2
1, 61, 1, 2
1, 62, 2, 3
1, 63, 2, 3
1, 64, 1, 2
1, 65, 2, 3
1, 66, 3, 4
1, 67, 6, 5
1, 68, 8, 7
1, 69, 1, 2
1, 70, 4, 5
1, 71, 1, 2
1, 72, 1, 2
1, 73, 2, 3
1, 74, 2, 3
1, 75, 1, 2
1, 76, 2, 3
1, 77, 3, 4
1, 78, 6, 5
1, 79, 8, 7
1, 80, 3, 4
1, 81, 1, 2
1, 82, 4, 5
1, 83, 1, 2
1, 84, 1, 2
1, 85, 2, 3
1, 86, 2, 3
1, 87, 1, 2
1, 88, 2, 3
1, 89, 3, 4
1, 90, 6, 5
1, 91, 16, 12
1, 92, 27, 16
1, 93, 5, 5
1, 94, 2, 3
1, 95, 13, 10
1, 96, 6, 6
2, 0, 0, 1
2, 1, 2, 3
2, 2, 5, 5
2, 3, 20, 14
2, 4, 7, 6
2, 5, 2, 3
2, 6, 9, 7
2, 7, 20, 14
2, 8, 0, 1
2, 9, 12, 9
2, 10, 1, 2
2, 11, 9, 8
2, 12, 2, 3
2, 13, 20, 13
2, 14, 22, 13
2, 15, 2, 3
2, 16, 6, 6
2, 17, 19, 13
2, 18, 38, 23
2, 19, 26, 16
2, 20, 41, 22
2, 21, 2, 3
2, 22, 3, 4
2, 23, 19, 13
2, 24, 11, 9
2, 25, 2, 3
2, 26, 18, 13
2, 27, 25, 16
2, 28, 35, 20
2, 29, 2, 3
2, 30, 12, 8
2, 31, 1, 2
2, 32, 31, 16
2, 33, 39, 22
2, 34, 13, 10
2, 35, 28, 17
2, 36, 52, 27
2, 37, 10, 8
2, 38, 13, 8
2, 39, 30, 17
2, 40, 4, 4
2, 41, 23, 15
2, 42, 49, 28
2, 43, 61, 27
2, 44, 5, 5
2, 45, 8, 7
2, 46, 10, 8
2, 47, 16, 10
2, 48, 0, 1
2, 49, 57, 23
2, 50, 16, 13
3, 0, 0, 1
3, 1, 2, 3
3, 2, 7, 6
3, 3, 1, 2
3, 4, 10, 8
3, 5, 3, 4
3, 6, 12, 9
3, 7, 5, 5
3, 8, 6, 6
3, 9, 7, 6
3, 10, 15, 10
3, 11, 2, 3
3, 12, 5, 5
3, 13, 11, 8
3, 14, 34, 14
3, 15, 3, 4
3, 16, 6, 6
3, 17, 10, 8
3, 18, 0, 1
3, 19, 2, 3
3, 20, 16, 10
3, 21, 7, 6
3, 22, 3, 4
3, 23, 3, 4
3, 24, 10, 8
3, 25, 15, 11
3, 26, 53, 28
3, 27, 20, 13
3, 28, 35, 20
3, 29, 20, 14
3, 30, 18, 11
3, 31, 1, 2
3, 32, 0, 1
3, 33, 32, 20
3, 34, 9, 8
3, 35, 10, 8
3, 36, 10, 7
3, 37, 14, 9
3, 38, 4, 5
3, 39, 0, 1
3, 40, 0, 1
3, 41, 15, 10
3, 42, 9, 7
3, 43, 10, 7
3, 44, 7, 6
3, 45, 9, 7
3, 46, 0, 1
3, 47, 26, 17
3, 48, 1, 2
3, 49, 24, 15
3, 50, 9, 8
3, 51, 3, 4
3, 52, 0, 1
3, 53, 0, 1
3, 54, 15, 11
3, 55, 2, 3
3, 56, 4, 5
3, 57, 5, 5
3, 58, 5, 5
3, 59, 5, 5
3, 60, 3, 4
3, 61, 17, 10
3, 62, 1, 2
3, 63, 0, 1
3, 64, 0, 1
3, 65, 5, 5
3, 66, 6, 6
3, 67, 3, 4
3, 68, 13, 9
3, 69, 8, 7
3, 70, 47, 25
3, 71, 7, 7
3, 72, 2, 3
3, 73, 7, 6
3, 74, 11, 9
3, 75, 5, 5
3, 76, 9, 8
3, 77, 1, 2
3, 78, 3, 4
3, 79, 4, 5
3, 80, 0, 1
3, 81, 0, 1
3, 82, 1, 2
3, 83, 0, 1
3, 84, 0, 1
3, 85, 0, 1
3, 86, 4, 4
3, 87, 1, 2
3, 88, 10, 8
3, 89, 5, 5
3, 90, 2, 3
3, 91, 7, 6
3, 92, 12, 8
3, 93, 0, 1
3, 94, 1, 2
3, 95, 0, 1
3, 96, 1, 2
3, 97, 1, 2
3, 98, 2, 3
3, 99, 27, 16
3, 100, 6, 6
3, 101, 2, 3
3, 102, 4, 4
3, 103, 4, 5
3, 104, 0, 1
3, 105, 1, 2
3, 106, 1, 2
3, 107, 2, 3
3, 108, 11, 9
3, 109, 9, 7
3, 110, 1, 2
3, 111, 7, 7
3, 112, 4, 4
3, 113, 4, 4
3, 114, 3, 4
3, 115, 19, 13
3, 116, 5, 5
3, 117, 5, 5
3, 118, 4, 4
3, 119, 4, 5
3, 120, 0, 1
3, 121, 0, 1
3, 122, 0, 1
3, 123, 2, 3
3, 124, 6, 6
3, 125, 15, 10
3, 126, 6, 6
3, 127, 0, 1
3, 128, 0, 1
3, 129, 21, 13
3, 130, 2, 3
3, 131, 2, 3
3, 132, 2, 3
3, 133, 8, 7
3, 134, 4, 5
3, 135, 14, 10
3, 136, 3, 4
3, 137, 2, 3
3, 138, 7, 6
3, 139, 11, 8
3, 140, 0, 1
3, 141, 0, 1
3, 142, 3, 4
4, 0, 4, 4
4, 1, 33, 19
4, 2, 42, 23
4, 3, 11, 9
4, 4, 13, 9
4, 5, 11, 8
4, 6, 32, 19
4, 7, 32, 19
4, 8, 63, 34
4, 9, 47, 26
4, 10, 17, 11
4, 11, 19, 13
4, 12, 14, 11
4, 13, 13, 9
4, 14, 3, 4
4, 15, 19, 12
4, 16, 6, 5
4, 17, 1, 2
4, 18, 16, 13
4, 19, 37, 23
4, 20, 36, 21
4, 21, 18, 11
4, 22, 1, 2
4, 23, 3, 4
4, 24, 0, 1
4, 25, 17, 11
4, 26, 10, 8
4, 27, 8, 7
4, 28, 17, 9
4, 29, 3, 4
4, 30, 3, 4
4, 31, 38, 19
4, 32, 7, 6
4, 33, 16, 10
4, 34, 0, 1
4, 35, 54, 28
4, 36, 37, 19
4, 37, 3, 4
4, 38, 25, 15
4, 39, 0, 1
4, 40, 25, 16
4, 41, 20, 13
4, 42, 18, 12
4, 43, 1, 2
4, 44, 28, 18
4, 45, 39, 22
4, 46, 10, 7
4, 47, 10, 9
4, 48, 22, 12
4, 49, 14, 10
4, 50, 11, 9
4, 51, 2, 3
4, 52, 15, 11
4, 53, 3, 4
4, 54, 5, 5
4, 55, 2, 3
4, 56, 21, 15
4, 57, 5, 5
4, 58, 13, 10
4, 59, 2, 3
4, 60, 13, 9
4, 61, 30, 19
4, 62, 11, 9
4, 63, 7, 6
4, 64, 4, 4
4, 65, 7, 7
4, 66, 30, 16
4, 67, 2, 3
4, 68, 25, 15
4, 69, 21, 12
4, 70, 8, 8
4, 71, 1, 2
