video_id, sentence_id, dep_length, total_length
1, 0, 4.74, 4
1, 1, 33.04, 13
1, 2, 67.4, 19
1, 3, 12.73, 7
1, 4, 12.93, 7
1, 5, 7.32, 5
1, 6, 9.86, 6
1, 7, 12.96, 7
1, 8, 17.67, 8
1, 9, 12.52, 7
1, 10, 2.69, 3
1, 11, 4.43, 4
1, 12, 7.37, 5
1, 13, 13.58, 7
1, 14, 1.0, 2
1, 15, 2.68, 3
1, 16, 4.57, 4
1, 17, 8.23, 5
1, 18, 12.9, 7
1, 19, 2.51, 3
1, 20, 1.0, 2
1, 21, 2.75, 3
1, 22, 4.5, 4
1, 23, 7.83, 5
1, 24, 13.26, 7
1, 25, 2.67, 3
1, 26, 2.49, 3
1, 27, 1.0, 2
1, 28, 2.64, 3
1, 29, 4.56, 4
1, 30, 8.3, 5
1, 31, 12.74, 7
1, 32, 1.0, 2
1, 33, 2.66, 3
1, 34, 2.51, 3
1, 35, 1.0, 2
1, 36, 2.63, 3
1, 37, 4.5, 4
1, 38, 7.97, 5
1, 39, 12.87, 7
1, 40, 1.0, 2
1, 41, 1.0, 2
1, 42, 2.7, 3
1, 43, 2.51, 3
1, 44, 1.0, 2
1, 45, 2.69, 3
1, 46, 4.53, 4
1, 47, 7.97, 5
1, 48, 13.04, 7
1, 49, 1.0, 2
1, 50, 1.0, 2
1, 51, 1.0, 2
1, 52, 2.66, 3
1, 53, 2.55, 3
1, 54, 1.0, 2
1, 55, 2.71, 3
1, 56, 4.41, 4
1, 57, 7.96, 5
1, 58, 12.71, 7
1, 59, 6.24, 5
1, 60, 1.0, 2
1, 61, 1.0, 2
1, 62, 2.66, 3
1, 63, 2.49, 3
1, 64, 1.0, 2
1, 65, 2.7, 3
1, 66, 4.35, 4
1, 67, 7.7, 5
1, 68, 13.32, 7
1, 69, 1.0, 2
1, 70, 6.33, 5
1, 71, 1.0, 2
1, 72, 1.0, 2
1, 73, 2.68, 3
1, 74, 2.51, 3
1, 75, 1.0, 2
1, 76, 2.67, 3
1, 77, 4.71, 4
1, 78, 7.91, 5
1, 79, 12.95, 7
1, 80, 4.36, 4
1, 81, 1.0, 2
1, 82, 6.47, 5
1, 83, 1.0, 2
1, 84, 1.0, 2
1, 85, 2.61, 3
1, 86, 2.51, 3
1, 87, 1.0, 2
1, 88, 2.66, 3
1, 89, 4.52, 4
1, 90, 8.18, 5
1, 91, 29.68, 12
1, 92, 51.73, 16
1, 93, 7.18, 5
1, 94, 2.7, 3
1, 95, 23.36, 10
1, 96, 8.89, 6
2, 0, 0.0, 1
2, 1, 2.48, 3
2, 2, 7.1, 5
2, 3, 40.02, 14
2, 4, 10.4, 6
2, 5, 2.67, 3
2, 6, 13.97, 7
2, 7, 40.19, 14
2, 8, 0.0, 1
2, 9, 21.27, 9
2, 10, 1.0, 2
2, 11, 14.72, 8
2, 12, 2.72, 3
2, 13, 38.64, 13
2, 14, 41.08, 13
2, 15, 2.6, 3
2, 16, 8.86, 6
2, 17, 41.68, 13
2, 18, 92.57, 23
2, 19, 54.19, 16
2, 20, 110.8, 22
2, 21, 2.69, 3
2, 22, 4.37, 4
2, 23, 39.52, 13
2, 24, 17.09, 9
2, 25, 2.53, 3
2, 26, 33.86, 13
2, 27, 47.11, 16
2, 28, 67.8, 20
2, 29, 2.68, 3
2, 30, 17.92, 8
2, 31, 1.0, 2
2, 32, 54.6, 16
2, 33, 80.88, 22
2, 34, 23.75, 10
2, 35, 57.07, 17
2, 36, 107.92, 27
2, 37, 15.38, 8
2, 38, 19.33, 8
2, 39, 59.0, 17
2, 40, 4.56, 4
2, 41, 44.26, 15
2, 42, 143.58, 28
2, 43, 123.45, 27
2, 44, 6.75, 5
2, 45, 13.87, 7
2, 46, 17.11, 8
2, 47, 25.75, 10
2, 48, 0.0, 1
2, 49, 97.06, 23
2, 50, 33.59, 13
3, 0, 0.0, 1
3, 1, 2.63, 3
3, 2, 10.34, 6
3, 3, 1.0, 2
3, 4, 15.99, 8
3, 5, 4.52, 4
3, 6, 20.69, 9
3, 7, 6.76, 5
3, 8, 9.09, 6
3, 9, 10.61, 6
3, 10, 22.83, 10
3, 11, 2.72, 3
3, 12, 7.27, 5
3, 13, 17.05, 8
3, 14, 54.47, 14
3, 15, 4.54, 4
3, 16, 9.45, 6
3, 17, 16.09, 8
3, 18, 0.0, 1
3, 19, 2.6, 3
3, 20, 26.79, 10
3, 21, 9.9, 6
3, 22, 4.57, 4
3, 23, 4.41, 4
3, 24, 16.38, 8
3, 25, 27.46, 11
3, 26, 144.06, 28
3, 27, 38.59, 13
3, 28, 64.84, 20
3, 29, 42.15, 14
3, 30, 32.7, 11
3, 31, 1.0, 2
3, 32, 0.0, 1
3, 33, 61.07, 20
3, 34, 16.63, 8
3, 35, 15.27, 8
3, 36, 13.78, 7
3, 37, 22.65, 9
3, 38, 6.85, 5
3, 39, 0.0, 1
3, 40, 0.0, 1
3, 41, 23.9, 10
3, 42, 13.2, 7
3, 43, 13.98, 7
3, 44, 10.29, 6
3, 45, 13.6, 7
3, 46, 0.0, 1
3, 47, 59.01, 17
3, 48, 1.0, 2
3, 49, 43.06, 15
3, 50, 14.91, 8
3, 51, 4.56, 4
3, 52, 0.0, 1
3, 53, 0.0, 1
3, 54, 26.83, 11
3, 55, 2.63, 3
3, 56, 6.31, 5
3, 57, 6.94, 5
