video_id, sentence_id, dep_length, total_length
1, 0, 5, 4
1, 1, 31, 14
2, 0, 50, 14
2, 1, 39, 15
2, 2, 9, 7
2, 3, 86, 31
2, 4, 18, 10
2, 5, 33, 16
2, 6, 2, 3
2, 7, 36, 13
2, 8, 25, 12
2, 9, 60, 27
2, 10, 10, 6
2, 11, 16, 11
2, 12, 1, 2
2, 13, 9, 6
2, 14, 45, 22
2, 15, 10, 8
2, 16, 9, 6
2, 17, 26, 13
2, 18, 6, 5
2, 19, 4, 4
2, 20, 5, 4
2, 21, 9, 6
2, 22, 0, 1
2, 23, 0, 1
2, 24, 40, 18
2, 25, 0, 1
2, 26, 5, 5
2, 27, 48, 26
2, 28, 1, 2
2, 29, 3, 4
2, 30, 13, 8
2, 31, 79, 32
2, 32, 130, 32
2, 33, 21, 10
2, 34, 91, 25
2, 35, 0, 1
4, 0, 0, 1
4, 1, 0, 1
4, 2, 0, 1
4, 3, 1, 2
4, 4, 4, 4
4, 5, 72, 25
4, 6, 32, 14
4, 7, 20, 11
4, 8, 12, 7
4, 9, 37, 15
4, 10, 27, 17
4, 11, 20, 11
4, 12, 59, 25
4, 13, 57, 19
4, 14, 83, 29
4, 15, 18, 9
4, 16, 78, 27
4, 17, 23, 13
4, 18, 16, 10
4, 19, 103, 31
4, 20, 19, 8
4, 21, 15, 11
4, 22, 41, 19
4, 23, 69, 21
4, 24, 0, 1
4, 25, 45, 16
4, 26, 17, 7
4, 27, 102, 35
4, 28, 15, 8
4, 29, 34, 14
4, 30, 28, 13
4, 31, 0, 1
4, 32, 84, 26
4, 33, 131, 38
4, 34, 9, 6
4, 35, 15, 8
4, 36, 70, 19
4, 37, 1, 2
4, 38, 43, 14
4, 39, 9, 6
4, 40, 9, 6
4, 41, 42, 18
4, 42, 26, 11
4, 43, 41, 19
4, 44, 37, 17
4, 45, 15, 8
4, 46, 30, 16
4, 47, 64, 27
4, 48, 0, 1
4, 49, 45, 24
4, 50, 90, 39
4, 51, 96, 36
4, 52, 39, 16
4, 53, 1, 2
4, 54, 62, 24
4, 55, 0, 1
4, 56, 68, 29
4, 57, 37, 17
4, 58, 92, 36
4, 59, 79, 28
4, 60, 56, 20
4, 61, 16, 10
4, 62, 91, 32
4, 63, 132, 35
4, 64, 34, 12
4, 65, 74, 26
4, 66, 67, 27
4, 67, 76, 31
4, 68, 33, 13
4, 69, 55, 24
4, 70, 67, 25
4, 71, 33, 14
4, 72, 5, 5
4, 73, 28, 17
4, 74, 40, 16
4, 75, 10, 6
4, 76, 0, 1
5, 0, 4, 4
5, 1, 13, 7
5, 2, 10, 7
5, 3, 24, 12
5, 4, 64, 24
5, 5, 41, 16
5, 6, 8, 5
5, 7, 0, 1
5, 8, 65, 24
