video_id, sentence_id, dep_length, total_length
1, 0, 3, 4
1, 1, 24, 14
2, 0, 21, 14
2, 1, 26, 15
2, 2, 9, 7
2, 3, 64, 31
2, 4, 13, 10
2, 5, 24, 16
2, 6, 2, 3
2, 7, 20, 13
2, 8, 16, 12
2, 9, 48, 27
2, 10, 6, 6
2, 11, 13, 11
2, 12, 1, 2
2, 13, 5, 6
2, 14, 34, 22
2, 15, 8, 8
2, 16, 6, 6
2, 17, 18, 13
2, 18, 5, 5
2, 19, 3, 4
2, 20, 3, 4
2, 21, 7, 6
2, 22, 0, 1
2, 23, 0, 1
2, 24, 35, 18
2, 25, 0, 1
2, 26, 5, 5
2, 27, 43, 26
2, 28, 1, 2
2, 29, 3, 4
2, 30, 8, 8
2, 31, 58, 32
2, 32, 68, 32
2, 33, 14, 10
2, 34, 52, 25
2, 35, 0, 1
4, 0, 0, 1
4, 1, 0, 1
4, 2, 0, 1
4, 3, 1, 2
4, 4, 4, 4
4, 5, 43, 25
4, 6, 22, 14
4, 7, 16, 11
4, 8, 8, 7
4, 9, 29, 15
4, 10, 27, 17
4, 11, 18, 11
4, 12, 42, 25
4, 13, 34, 19
4, 14, 56, 29
4, 15, 11, 9
4, 16, 55, 27
4, 17, 21, 13
4, 18, 13, 10
4, 19, 60, 31
4, 20, 11, 8
4, 21, 14, 11
4, 22, 31, 19
4, 23, 35, 21
4, 24, 0, 1
4, 25, 35, 16
4, 26, 8, 7
4, 27, 69, 35
4, 28, 10, 8
4, 29, 23, 14
4, 30, 20, 13
4, 31, 0, 1
4, 32, 54, 26
4, 33, 78, 38
4, 34, 7, 6
4, 35, 9, 8
4, 36, 39, 19
4, 37, 1, 2
4, 38, 24, 14
4, 39, 7, 6
4, 40, 6, 6
4, 41, 28, 18
4, 42, 13, 11
4, 43, 32, 19
4, 44, 27, 17
4, 45, 10, 8
4, 46, 25, 16
4, 47, 51, 27
4, 48, 0, 1
4, 49, 41, 24
4, 50, 71, 39
4, 51, 76, 36
4, 52, 26, 16
4, 53, 1, 2
4, 54, 46, 24
4, 55, 0, 1
4, 56, 61, 29
4, 57, 30, 17
4, 58, 66, 36
4, 59, 53, 28
4, 60, 34, 20
4, 61, 14, 10
4, 62, 65, 32
4, 63, 72, 35
4, 64, 16, 12
4, 65, 46, 26
4, 66, 47, 27
4, 67, 50, 31
4, 68, 19, 13
4, 69, 42, 24
4, 70, 51, 25
4, 71, 23, 14
4, 72, 5, 5
4, 73, 26, 17
4, 74, 24, 16
4, 75, 6, 6
4, 76, 0, 1
5, 0, 4, 4
5, 1, 8, 7
5, 2, 8, 7
5, 3, 17, 12
5, 4, 40, 24
5, 5, 29, 16
5, 6, 5, 5
5, 7, 0, 1
5, 8, 39, 24
5, 9, 19, 13
5, 10, 59, 30
5, 11, 43, 24
5, 12, 23, 16
5, 13, 27, 17
5, 14, 4, 4
5, 15, 22, 14
5, 16, 16, 12
5, 17, 17, 12
5, 18, 0, 1
5, 19, 10, 8
5, 20, 0, 1
5, 21, 23, 16
5, 22, 16, 11
5, 23, 24, 15
5, 24, 28, 17
5, 25, 8, 7
5, 26, 9, 7
5, 27, 29, 18
5, 28, 15, 10
5, 29, 50, 27
5, 30, 67, 31
5, 31, 12, 7
5, 32, 50, 28
5, 33, 2, 3
5, 34, 20, 14
5, 35, 7, 6
5, 36, 10, 7
5, 37, 58, 30
5, 38, 25, 18
5, 39, 6, 5
5, 40, 12, 9
5, 41, 35, 20
5, 42, 51, 26
5, 43, 22, 15
5, 44, 34, 22
5, 45, 0, 1
5, 46, 42, 24
5, 47, 42, 25
5, 48, 11, 9
5, 49, 62, 30
5, 50, 82, 35
6, 0, 0, 1
6, 1, 12, 9
6, 2, 4, 4
6, 3, 12, 10
6, 4, 4, 5
6, 5, 31, 17
6, 6, 3, 4
6, 7, 30, 19
6, 8, 5, 5
6, 9, 14, 11
6, 10, 2, 3
6, 11, 8, 7
6, 12, 22, 14
6, 13, 9, 7
6, 14, 9, 8
6, 15, 0, 1
6, 16, 23, 13
6, 17, 0, 1
6, 18, 19, 13
6, 19, 7, 6
6, 20, 5, 5
6, 21, 5, 5
6, 22, 17, 12
6, 23, 16, 13
6, 24, 21, 15
6, 25, 13, 10
6, 26, 10, 7
6, 27, 15, 11
6, 28, 11, 8
6, 29, 4, 4
6, 30, 12, 10
6, 31, 13, 8
6, 32, 12, 10
7, 0, 37, 23
7, 1, 66, 31
8, 0, 20, 14
8, 1, 37, 22
8, 2, 0, 1
8, 3, 11, 9
8, 4, 59, 31
8, 5, 1, 2
8, 6, 36, 23
8, 7, 3, 4
8, 8, 7, 6
8, 9, 4, 4
8, 10, 58, 31
8, 11, 17, 12
8, 12, 4, 4
8, 13, 30, 21
8, 14, 7, 6
8, 15, 13, 10
8, 16, 43, 25
8, 17, 33, 18
8, 18, 13, 10
8, 19, 4, 4
8, 20, 29, 17
8, 21, 26, 17
8, 22, 6, 5
8, 23, 14, 11
8, 24, 24, 15
8, 25, 63, 34
8, 26, 3, 4
8, 27, 28, 18
8, 28, 67, 33
8, 29, 4, 4
8, 30, 21, 13
8, 31, 21, 15
8, 32, 9, 7
8, 33, 15, 10
8, 34, 3, 4
8, 35, 47, 25
8, 36, 22, 15
8, 37, 0, 1
9, 0, 15, 11
9, 1, 75, 33
9, 2, 6, 6
9, 3, 20, 14
9, 4, 10, 8
9, 5, 3, 4
9, 6, 31, 16
10, 0, 0, 1
10, 1, 3, 4
10, 2, 1, 2
10, 3, 2, 3
10, 4, 6, 6
10, 5, 8, 7
10, 6, 1, 2
10, 7, 2, 3
10, 8, 2, 3
10, 9, 4, 4
10, 10, 10, 8
10, 11, 6, 6
10, 12, 0, 1
11, 0, 18, 13
11, 1, 4, 4
11, 2, 4, 4
11, 3, 14, 10
11, 4, 11, 8
11, 5, 6, 6
11, 6, 94, 40
11, 7, 0, 1
11, 8, 2, 3
11, 9, 13, 9
11, 10, 6, 6
11, 11, 16, 11
11, 12, 7, 6
11, 13, 8, 7
11, 14, 14, 9
11, 15, 0, 1
11, 16, 55, 28
11, 17, 21, 13
11, 18, 7, 6
11, 19, 79, 33
11, 20, 16, 10
11, 21, 4, 4
11, 22, 3, 4
11, 23, 1, 2
11, 24, 1, 2
11, 25, 34, 19
11, 26, 1, 2
11, 27, 24, 13
11, 28, 5, 5
11, 29, 12, 7
11, 30, 30, 18
11, 31, 15, 10
11, 32, 2, 3
11, 33, 2, 3
11, 34, 7, 6
11, 35, 0, 1
11, 36, 6, 5
11, 37, 1, 2
