video_id, sentence_id, dep_length, total_length
1, 0, 4.61, 4
1, 1, 44.85, 14
2, 0, 41.67, 14
2, 1, 48.77, 15
2, 2, 12.07, 7
2, 3, 149.12, 31
2, 4, 22.3, 10
2, 5, 56.6, 16
2, 6, 2.74, 3
2, 7, 39.85, 13
2, 8, 31.19, 12
2, 9, 114.6, 27
2, 10, 10.07, 6
2, 11, 27.28, 11
2, 12, 1.0, 2
2, 13, 8.44, 6
2, 14, 95.85, 22
2, 15, 14.65, 8
2, 16, 9.03, 6
2, 17, 34.3, 13
2, 18, 6.96, 5
2, 19, 4.55, 4
2, 20, 4.49, 4
2, 21, 10.24, 6
2, 22, 0.0, 1
2, 23, 0.0, 1
2, 24, 60.46, 18
2, 25, 0.0, 1
2, 26, 6.85, 5
2, 27, 125.42, 26
2, 28, 1.0, 2
2, 29, 4.43, 4
2, 30, 14.17, 8
2, 31, 143.47, 32
2, 32, 132.74, 32
2, 33, 23.99, 10
2, 34, 82.81, 25
2, 35, 0.0, 1
4, 0, 0.0, 1
4, 1, 0.0, 1
4, 2, 0.0, 1
4, 3, 1.0, 2
4, 4, 5.04, 4
4, 5, 89.04, 25
4, 6, 38.71, 14
4, 7, 28.01, 11
4, 8, 11.92, 7
4, 9, 53.77, 15
4, 10, 54.06, 17
4, 11, 32.13, 11
4, 12, 110.07, 25
4, 13, 65.91, 19
4, 14, 116.1, 29
4, 15, 17.59, 9
4, 16, 103.69, 27
4, 17, 41.52, 13
4, 18, 23.42, 10
4, 19, 126.13, 31
4, 20, 16.42, 8
4, 21, 30.08, 11
4, 22, 73.02, 19
4, 23, 78.25, 21
4, 24, 0.0, 1
4, 25, 61.33, 16
4, 26, 13.15, 7
4, 27, 199.77, 35
4, 28, 16.53, 8
4, 29, 35.0, 14
4, 30, 34.99, 13
4, 31, 0.0, 1
4, 32, 117.48, 26
4, 33, 164.98, 38
4, 34, 10.39, 6
4, 35, 14.27, 8
4, 36, 70.23, 19
4, 37, 1.0, 2
4, 38, 45.05, 14
4, 39, 10.53, 6
4, 40, 9.22, 6
4, 41, 60.31, 18
4, 42, 25.83, 11
4, 43, 72.84, 19
4, 44, 51.9, 17
4, 45, 16.71, 8
4, 46, 53.34, 16
4, 47, 147.21, 27
4, 48, 0.0, 1
4, 49, 117.3, 24
4, 50, 213.97, 39
4, 51, 195.0, 36
4, 52, 54.12, 16
4, 53, 1.0, 2
4, 54, 107.77, 24
4, 55, 0.0, 1
4, 56, 153.12, 29
4, 57, 55.44, 17
4, 58, 209.98, 36
4, 59, 89.61, 28
4, 60, 67.02, 20
4, 61, 24.11, 10
4, 62, 130.47, 32
4, 63, 157.25, 35
4, 64, 37.42, 12
