video_id, sentence_id, dep_total_original, dep_total_random, total_words
1, 1, 7, 8, 5
1, 1, 1, 1, 1
1, 1, 5, 7, 4
1, 1, 1, 1, 1
1, 1, 3, 3, 2
1, 1, 1, 1, 1
1, 1, 6, 6, 4
1, 1, 4, 5, 4
1, 1, 7, 13, 6
1, 1, 11, 14, 8
1, 1, 30, 31, 11
1, 1, 7, 14, 5
1, 1, 5, 6, 4
1, 1, 8, 9, 5
1, 1, 4, 5, 4
1, 1, 3, 4, 3
1, 1, 11, 11, 6
1, 1, 2, 4, 3
1, 1, 3, 3, 3
1, 1, 3, 3, 2
1, 1, 3, 5, 3
1, 1, 9, 9, 5
1, 1, 4, 5, 5
1, 1, 10, 6, 5
1, 1, 3, 3, 3
1, 1, 13, 11, 7
1, 1, 15, 11, 6
1, 1, 11, 20, 7
1, 1, 19, 19, 9
1, 1, 8, 15, 6
1, 1, 8, 12, 5
1, 1, 32, 37, 11
1, 1, 11, 12, 6
1, 1, 4, 6, 5
1, 1, 13, 19, 7
1, 1, 9, 15, 6
1, 1, 26, 42, 12
1, 1, 9, 18, 6
1, 1, 6, 6, 5
1, 1, 18, 24, 9
1, 1, 18, 25, 8
1, 1, 4, 9, 4
1, 1, 17, 23, 7
1, 1, 28, 72, 13
1, 1, 4, 7, 4
1, 1, 20, 29, 9
1, 1, 9, 11, 6
1, 1, 2, 2, 3
1, 1, 14, 12, 6
1, 1, 4, 6, 4
1, 1, 6, 9, 4
1, 1, 8, 9, 5
1, 1, 5, 4, 4
1, 1, 10, 14, 6
1, 1, 11, 15, 7
1, 1, 9, 12, 6
1, 1, 12, 19, 8
1, 1, 6, 9, 4
1, 1, 10, 13, 5
1, 1, 4, 4, 4
1, 1, 19, 25, 8
1, 1, 14, 14, 7
1, 1, 15, 15, 6
1, 1, 7, 10, 5
1, 1, 23, 34, 10
1, 1, 33, 37, 12
1, 1, 1, 2, 3
1, 1, 2, 1, 3
1, 1, 17, 27, 7
1, 1, 9, 18, 6
1, 1, 2, 1, 3
1, 1, 3, 3, 3
1, 1, 40, 55, 14
1, 1, 8, 6, 5
1, 1, 11, 11, 7
1, 1, 16, 19, 8
1, 1, 18, 15, 7
1, 1, 51, 86, 19
1, 1, 20, 28, 11
1, 1, 16, 38, 9
1, 1, 3, 5, 3
1, 1, 4, 6, 4
1, 1, 6, 5, 4
1, 1, 1, 2, 2
1, 1, 23, 29, 10
2, 1, 18, 17, 8
2, 1, 9, 10, 6
2, 1, 6, 7, 5
2, 1, 2, 3, 3
2, 1, 4, 5, 4
2, 1, 6, 8, 5
2, 1, 25, 30, 10
2, 1, 16, 19, 9
2, 1, 7, 8, 5
2, 1, 15, 18, 7
2, 1, 18, 18, 8
2, 1, 15, 10, 7
2, 1, 41, 90, 16
2, 1, 16, 27, 9
2, 1, 3, 5, 3
2, 1, 4, 5, 4
2, 1, 15, 16, 6
3, 1, 9, 4, 6
3, 1, 12, 8, 7
3, 1, 27, 27, 11
3, 1, 24, 20, 9
3, 1, 33, 49, 12
3, 1, 5, 4, 4
3, 1, 7, 8, 5
3, 1, 7, 7, 5
3, 1, 12, 15, 6
3, 1, 30, 42, 12
3, 1, 29, 61, 12
3, 1, 41, 78, 15
3, 1, 6, 6, 5
3, 1, 11, 19, 7
3, 1, 64, 122, 19
3, 1, 25, 33, 11
3, 1, 11, 15, 7
3, 1, 41, 62, 15
3, 1, 4, 4, 4
3, 1, 11, 15, 7
3, 1, 14, 25, 8
3, 1, 11, 12, 7
3, 1, 34, 52, 12
3, 1, 21, 35, 10
3, 1, 19, 33, 9
3, 1, 25, 33, 10
3, 1, 6, 4, 5
3, 1, 11, 10, 6
3, 1, 24, 40, 10
3, 1, 26, 32, 10
3, 1, 34, 49, 12
3, 1, 42, 44, 15
3, 1, 4, 4, 4
3, 1, 33, 54, 13
3, 1, 22, 30, 10
3, 1, 20, 31, 9
3, 1, 11, 15, 7
3, 1, 9, 18, 6
3, 1, 11, 23, 7
3, 1, 4, 8, 4
3, 1, 20, 30, 9
3, 1, 3, 3, 3
3, 1, 2, 4, 3
3, 1, 23, 23, 9
3, 1, 12, 12, 7
3, 1, 21, 30, 10
3, 1, 28, 35, 11
3, 1, 25, 40, 10
3, 1, 17, 14, 7
3, 1, 18, 26, 8
3, 1, 24, 46, 11
3, 1, 18, 27, 9
3, 1, 8, 12, 6
3, 1, 36, 65, 14
3, 1, 18, 20, 8
3, 1, 18, 37, 9
3, 1, 17, 17, 7
3, 1, 8, 6, 5
3, 1, 5, 3, 4
3, 1, 9, 11, 6
3, 1, 50, 94, 16
3, 1, 17, 31, 9
3, 1, 23, 50, 11
3, 1, 9, 8, 6
3, 1, 8, 9, 5
3, 1, 9, 12, 6
3, 1, 9, 19, 6
3, 1, 13, 14, 7
3, 1, 9, 11, 6
3, 1, 9, 15, 6
3, 1, 2, 2, 3
3, 1, 29, 32, 11
3, 1, 30, 39, 10
3, 1, 4, 4, 4
3, 1, 22, 31, 10
