video_id, sentence_id, dep_total_original, dep_total_random, total_words
1, 1, 8, 6, 5
1, 2, 50, 106, 17
1, 3, 39, 103, 16
1, 4, 26, 34, 10
1, 5, 21, 40, 10
1, 6, 11, 9, 6
1, 7, 25, 28, 9
1, 8, 14, 28, 8
1, 9, 22, 44, 11
1, 10, 18, 19, 8
1, 12, 49, 73, 15
1, 13, 12, 21, 7
1, 16, 21, 55, 11
1, 17, 23, 18, 8
1, 18, 24, 26, 9
1, 19, 18, 22, 10
1, 22, 16, 22, 8
1, 23, 9, 12, 6
1, 24, 46, 112, 17
1, 25, 26, 37, 9
1, 26, 6, 13, 5
1, 27, 14, 24, 8
1, 29, 27, 27, 10
1, 30, 14, 17, 8
1, 31, 22, 30, 10
1, 33, 23, 32, 9
1, 34, 15, 25, 8
1, 36, 8, 9, 5
1, 40, 10, 13, 5
1, 41, 9, 14, 6
1, 44, 13, 16, 7
1, 47, 21, 37, 9
1, 50, 33, 66, 14
1, 51, 41, 80, 14
1, 52, 13, 32, 8
1, 54, 6, 6, 5
1, 55, 16, 15, 7
1, 57, 9, 20, 6
1, 59, 12, 14, 7
1, 61, 14, 24, 8
1, 62, 14, 34, 8
1, 63, 24, 40, 10
1, 65, 18, 17, 9
1, 68, 7, 5, 5
1, 71, 11, 10, 6
1, 72, 7, 9, 5
1, 73, 13, 13, 7
1, 74, 10, 11, 6
1, 75, 12, 26, 7
1, 77, 11, 19, 7
1, 78, 52, 108, 17
1, 79, 6, 10, 5
2, 1, 10, 10, 5
2, 2, 12, 9, 6
2, 3, 10, 7, 5
2, 4, 25, 37, 10
2, 6, 11, 14, 6
2, 7, 31, 44, 13
2, 8, 18, 22, 8
2, 9, 9, 9, 6
2, 12, 18, 38, 9
2, 13, 10, 13, 6
2, 14, 17, 31, 9
2, 15, 7, 8, 5
2, 16, 23, 44, 10
2, 18, 27, 48, 11
2, 19, 10, 8, 5
2, 21, 38, 44, 13
2, 23, 33, 55, 12
2, 24, 59, 88, 18
2, 25, 16, 21, 8
2, 34, 14, 23, 7
2, 36, 13, 17, 7
2, 41, 9, 19, 6
2, 42, 12, 18, 6
2, 43, 32, 36, 12
2, 44, 11, 18, 6
2, 50, 18, 22, 9
2, 51, 11, 12, 6
2, 52, 10, 9, 6
2, 53, 9, 16, 6
2, 54, 14, 20, 7
2, 55, 14, 17, 7
2, 60, 13, 22, 7
2, 61, 6, 9, 5
2, 62, 17, 20, 7
2, 63, 14, 16, 7
2, 64, 12, 15, 6
2, 65, 14, 20, 7
2, 66, 7, 8, 5
3, 1, 8, 6, 5
3, 2, 8, 9, 5
3, 4, 6, 8, 5
3, 10, 8, 9, 5
3, 12, 16, 38, 8
3, 13, 18, 15, 8
3, 14, 20, 46, 10
3, 15, 24, 30, 10
3, 16, 30, 35, 12
3, 17, 6, 7, 5
3, 18, 13, 12, 7
3, 19, 7, 10, 5
3, 21, 13, 19, 7
3, 22, 19, 39, 8
3, 24, 21, 19, 7
3, 26, 12, 15, 6
3, 27, 9, 10, 6
3, 28, 16, 14, 8
3, 29, 22, 27, 8
3, 34, 7, 7, 5
3, 37, 12, 15, 7
3, 39, 9, 8, 5
4, 3, 9, 13, 6
4, 4, 11, 13, 6
4, 5, 10, 11, 6
4, 6, 7, 8, 5
4, 7, 24, 54, 12
4, 8, 15, 24, 8
4, 9, 11, 15, 6
4, 11, 7, 8, 5
4, 14, 12, 10, 7
4, 16, 19, 25, 9
4, 19, 21, 40, 10
4, 22, 15, 17, 7
4, 23, 24, 44, 11
4, 25, 12, 23, 7
4, 26, 16, 26, 9
4, 27, 9, 12, 6
4, 28, 14, 19, 7
4, 29, 11, 22, 7
4, 30, 13, 16, 7
4, 31, 55, 99, 16
4, 32, 25, 31, 11
4, 34, 11, 12, 6
4, 35, 46, 49, 14
4, 40, 7, 3, 5
4, 42, 20, 19, 9
4, 47, 9, 11, 6
4, 48, 11, 19, 7
4, 51, 22, 45, 10
4, 53, 33, 40, 10
4, 65, 12, 16, 8
4, 67, 13, 17, 7
4, 68, 18, 23, 9
4, 73, 7, 7, 5
4, 77, 26, 72, 12
4, 80, 11, 11, 7
4, 87, 8, 8, 5
4, 99, 14, 18, 7
4, 100, 16, 37, 8
4, 101, 19, 33, 10
4, 102, 6, 6, 5
4, 103, 19, 19, 9
4, 104, 9, 19, 6
4, 105, 15, 19, 6
4, 109, 34, 62, 12
5, 1, 8, 7, 5
5, 7, 7, 12, 5
5, 9, 20, 25, 9
5, 12, 28, 52, 11
5, 13, 29, 45, 11
5, 14, 16, 21, 9
5, 15, 48, 102, 18
5, 16, 13, 12, 6
5, 17, 9, 13, 6
5, 19, 35, 62, 14
5, 20, 25, 23, 9
5, 21, 11, 15, 6
5, 22, 21, 41, 10
5, 26, 8, 6, 5
5, 34, 10, 13, 6
5, 35, 11, 10, 6
5, 36, 32, 49, 11
5, 37, 21, 51, 10
5, 38, 8, 10, 5
5, 39, 29, 58, 12
5, 42, 17, 19, 8
5, 44, 32, 50, 12
5, 45, 20, 17, 8
5, 47, 33, 34, 11
5, 49, 37, 68, 14
5, 50, 10, 6, 5
5, 52, 27, 31, 10
5, 53, 20, 54, 10
5, 54, 15, 22, 8
5, 55, 26, 45, 10
5, 58, 10, 12, 6
5, 61, 10, 12, 6
5, 62, 12, 21, 7
5, 63, 17, 18, 7
5, 64, 18, 24, 9
5, 65, 28, 24, 10
5, 66, 20, 36, 10
5, 67, 16, 19, 8
5, 68, 18, 26, 9
5, 69, 50, 75, 17
5, 70, 29, 35, 11
5, 71, 13, 23, 7
5, 72, 13, 15, 6
5, 74, 17, 24, 8
5, 76, 13, 17, 7
5, 77, 18, 32, 9
5, 79, 8, 10, 5
5, 81, 15, 15, 7
5, 82, 23, 40, 11
5, 89, 10, 11, 6
5, 90, 18, 23, 7
5, 92, 10, 10, 6
5, 93, 12, 18, 7
5, 94, 39, 77, 15
5, 95, 10, 6, 5
5, 96, 13, 20, 7
5, 98, 16, 14, 9
6, 1, 9, 13, 7
6, 3, 11, 16, 7
6, 9, 22, 24, 8
6, 18, 16, 23, 8
6, 21, 20, 35, 9
6, 23, 24, 40, 12
6, 24, 22, 24, 8
6, 29, 41, 50, 14
6, 32, 27, 39, 10
6, 40, 8, 16, 6
6, 45, 21, 40, 10
6, 46, 12, 11, 6
6, 47, 10, 12, 6
6, 49, 28, 39, 10
6, 66, 11, 10, 6
6, 67, 19, 28, 8
6, 68, 6, 7, 5
6, 72, 9, 9, 6
6, 75, 6, 8, 5
7, 1, 9, 21, 7
7, 3, 39, 90, 16
7, 4, 10, 10, 6
7, 6, 30, 61, 13
7, 7, 22, 14, 8
7, 9, 29, 52, 13
7, 11, 16, 20, 8
7, 12, 27, 50, 12
7, 13, 42, 77, 15
7, 15, 15, 19, 7
7, 26, 25, 41, 11
7, 27, 13, 15, 6
7, 32, 13, 16, 6
7, 51, 29, 29, 11
7, 53, 8, 11, 5
7, 55, 27, 29, 10
7, 58, 9, 9, 6
7, 59, 9, 7, 6
7, 68, 8, 9, 6
7, 83, 11, 12, 6
7, 96, 51, 50, 13
7, 97, 10, 10, 5
7, 99, 7, 9, 5
7, 101, 12, 20, 7
7, 114, 27, 32, 10
7, 120, 12, 24, 7
8, 1, 13, 27, 7
8, 3, 23, 52, 11
8, 5, 10, 11, 5
8, 6, 11, 12, 6
8, 10, 11, 15, 6
8, 11, 11, 18, 6
8, 12, 9, 11, 6
8, 13, 11, 10, 6
8, 15, 21, 44, 11
8, 16, 22, 31, 11
8, 17, 13, 22, 7
8, 18, 12, 24, 7
8, 19, 38, 36, 10
8, 21, 6, 9, 5
8, 22, 9, 13, 6
8, 23, 9, 10, 6
8, 24, 9, 12, 6
8, 28, 21, 39, 11
8, 29, 15, 15, 9
8, 31, 11, 13, 6
8, 32, 11, 20, 6
8, 34, 11, 16, 6
8, 35, 11, 16, 6
8, 39, 7, 9, 5
8, 41, 11, 14, 6
8, 42, 11, 12, 6
8, 43, 11, 15, 6
8, 44, 10, 8, 7
8, 45, 11, 15, 6
8, 46, 11, 20, 6
8, 47, 20, 16, 8
8, 48, 11, 13, 6
8, 49, 11, 15, 6
