video_id, dep_total_original, dep_total_random, total_words
1, 36, 58, 14
1, 21, 32, 10
1, 17, 37, 9
1, 9, 15, 6
1, 45, 78, 16
1, 12, 22, 7
1, 27, 36, 11
1, 9, 13, 6
1, 42, 66, 15
1, 24, 30, 9
1, 16, 32, 9
1, 14, 16, 7
1, 28, 42, 12
1, 10, 12, 5
1, 14, 22, 8
1, 21, 26, 9
1, 29, 48, 12
1, 33, 65, 13
1, 12, 15, 7
1, 22, 40, 10
1, 23, 35, 11
1, 36, 61, 15
1, 18, 17, 8
1, 19, 30, 10
1, 14, 25, 8
1, 12, 18, 7
1, 39, 42, 13
1, 24, 24, 9
1, 28, 56, 12
1, 24, 29, 9
1, 32, 54, 12
1, 13, 19, 7
1, 25, 38, 11
1, 6, 5, 4
1, 19, 31, 10
1, 13, 25, 7
1, 38, 70, 14
1, 21, 28, 9
1, 58, 79, 16
1, 9, 10, 6
1, 14, 30, 8
1, 12, 16, 7
1, 31, 46, 13
1, 23, 46, 11
1, 36, 60, 13
1, 9, 16, 6
1, 24, 59, 12
1, 16, 21, 8
1, 23, 40, 10
1, 27, 48, 12
1, 26, 37, 11
1, 51, 50, 13
1, 23, 41, 11
1, 44, 83, 15
1, 21, 26, 9
1, 14, 21, 8
1, 18, 24, 7
2, 75, 149, 22
2, 14, 12, 7
2, 50, 142, 17
2, 46, 98, 17
2, 25, 31, 10
2, 20, 17, 8
2, 42, 94, 16
2, 49, 49, 15
2, 18, 26, 9
2, 26, 55, 12
2, 40, 76, 16
2, 30, 75, 13
2, 18, 20, 8
2, 72, 146, 22
2, 13, 17, 7
2, 14, 22, 7
2, 16, 14, 8
2, 47, 125, 19
2, 22, 35, 10
2, 11, 13, 6
2, 32, 64, 13
2, 53, 105, 18
2, 36, 67, 15
2, 9, 14, 6
2, 9, 16, 6
2, 16, 25, 8
2, 28, 70, 13
2, 8, 7, 5
2, 18, 30, 9
2, 15, 15, 8
2, 17, 19, 9
2, 26, 43, 11
2, 36, 54, 14
2, 9, 10, 6
2, 13, 19, 7
2, 35, 52, 13
2, 65, 94, 20
2, 28, 44, 11
2, 11, 22, 7
2, 22, 41, 11
2, 72, 130, 20
2, 7, 9, 5
2, 11, 13, 6
2, 22, 42, 10
2, 22, 44, 11
2, 29, 49, 10
2, 31, 60, 12
2, 4, 6, 4
2, 9, 10, 6
2, 40, 71, 14
2, 21, 37, 11
2, 21, 42, 11
2, 50, 79, 17
2, 11, 17, 6
2, 36, 70, 15
2, 57, 156, 21
2, 60, 152, 20
2, 14, 20, 7
2, 23, 51, 11
2, 58, 86, 15
2, 23, 40, 11
2, 9, 9, 6
2, 18, 20, 7
3, 24, 43, 11
3, 14, 17, 7
3, 13, 18, 7
3, 9, 13, 6
3, 18, 22, 9
3, 25, 30, 11
3, 21, 23, 9
3, 7, 10, 5
3, 17, 29, 8
3, 16, 19, 8
3, 13, 27, 7
3, 16, 20, 8
3, 6, 5, 4
3, 16, 26, 8
3, 46, 70, 15
3, 33, 53, 14
3, 12, 18, 7
3, 20, 21, 8
3, 17, 18, 8
3, 20, 23, 8
3, 33, 43, 13
3, 40, 90, 15
3, 4, 4, 4
3, 17, 23, 9
3, 26, 39, 11
3, 40, 71, 14
3, 28, 29, 10
3, 32, 35, 11
3, 42, 86, 17
3, 15, 31, 9
3, 17, 18, 8
3, 18, 25, 8
3, 23, 42, 12
3, 19, 41, 8
3, 16, 13, 8
3, 11, 17, 7
3, 39, 66, 13
3, 23, 27, 10
3, 14, 17, 8
3, 9, 6, 5
3, 11, 20, 7
3, 68, 73, 16
3, 23, 44, 11
3, 44, 66, 15
3, 21, 25, 9
3, 16, 24, 8
3, 18, 25, 7
4, 35, 50, 13
4, 28, 50, 12
4, 15, 22, 8
4, 7, 6, 5
4, 26, 44, 11
4, 28, 43, 12
4, 11, 23, 7
4, 16, 20, 8
4, 5, 8, 5
4, 21, 24, 9
4, 12, 15, 7
4, 16, 35, 8
4, 16, 21, 8
4, 9, 12, 6
4, 34, 59, 13
4, 39, 59, 14
4, 16, 22, 8
4, 30, 35, 11
4, 25, 40, 11
4, 16, 21, 8
4, 6, 10, 5
4, 12, 19, 7
4, 23, 21, 8
4, 11, 10, 6
4, 19, 19, 9
4, 15, 12, 7
4, 8, 8, 6
4, 11, 19, 7
4, 30, 35, 12
4, 15, 21, 8
4, 7, 4, 6
4, 7, 10, 5
4, 13, 20, 7
4, 21, 19, 9
4, 9, 14, 6
4, 33, 65, 12
4, 12, 24, 7
4, 27, 47, 12
4, 7, 7, 5
4, 10, 11, 7
4, 37, 49, 14
4, 13, 21, 8
4, 39, 41, 14
4, 29, 43, 11
4, 36, 58, 13
4, 35, 67, 12
4, 16, 21, 8
4, 13, 21, 7
4, 4, 4, 4
4, 30, 51, 13
4, 16, 30, 9
4, 23, 47, 9
4, 24, 30, 10
4, 13, 13, 7
4, 6, 8, 5
4, 30, 55, 12
4, 13, 19, 8
4, 9, 9, 6
4, 8, 9, 6
4, 23, 33, 11
4, 21, 33, 9
4, 21, 24, 9
4, 12, 19, 7
4, 43, 54, 13
4, 9, 13, 6
4, 31, 60, 14
4, 30, 58, 12
4, 59, 130, 18
4, 11, 12, 7
4, 20, 47, 10
4, 27, 40, 12
4, 17, 24, 8
4, 12, 20, 7
4, 14, 19, 8
4, 11, 13, 6
4, 9, 9, 7
4, 14, 23, 9
4, 25, 35, 11
4, 7, 9, 5
4, 19, 28, 9
4, 12, 18, 7
4, 15, 18, 8
4, 20, 34, 9
4, 16, 29, 9
4, 23, 35, 10
4, 17, 31, 9
4, 17, 30, 9
4, 36, 71, 14
4, 29, 52, 12
4, 30, 39, 11
4, 17, 24, 9
4, 20, 38, 10
4, 29, 47, 12
4, 4, 6, 4
4, 68, 91, 16
4, 23, 54, 11
4, 44, 79, 15
4, 21, 39, 9
4, 16, 29, 8
4, 18, 17, 7
5, 9, 19, 6
5, 49, 98, 16
5, 29, 88, 14
5, 18, 26, 9
5, 51, 57, 15
5, 22, 27, 9
5, 20, 33, 10
5, 10, 10, 6
5, 16, 24, 8
5, 14, 23, 8
5, 12, 18, 7
5, 42, 139, 19
5, 7, 10, 5
5, 22, 22, 9
5, 12, 16, 7
5, 8, 12, 6
5, 15, 16, 8
5, 18, 18, 8
5, 15, 22, 8
5, 18, 27, 9
5, 35, 45, 13
5, 27, 42, 12
5, 19, 19, 8
5, 19, 36, 10
5, 21, 34, 9
5, 20, 26, 10
5, 27, 32, 10
5, 10, 10, 6
5, 12, 22, 7
5, 9, 13, 6
5, 15, 12, 7
5, 14, 18, 8
5, 17, 25, 9
5, 10, 15, 6
5, 9, 15, 6
5, 16, 16, 8
5, 12, 25, 7
5, 4, 8, 4
5, 23, 28, 10
5, 16, 36, 8
5, 6, 7, 5
5, 38, 68, 14
5, 14, 29, 8
5, 15, 20, 8
5, 10, 11, 6
5, 21, 26, 9
5, 24, 37, 9
5, 21, 27, 9
5, 24, 28, 9
5, 23, 37, 10
5, 16, 15, 7
5, 22, 27, 10
5, 11, 19, 7
5, 9, 20, 6
5, 13, 28, 8
5, 54, 95, 17
5, 26, 31, 11
5, 11, 12, 7
5, 32, 54, 12
5, 22, 46, 11
5, 26, 24, 10
5, 7, 7, 5
5, 9, 15, 6
5, 68, 81, 16
5, 23, 35, 11
5, 9, 14, 6
5, 18, 23, 7
6, 30, 60, 11
6, 46, 81, 14
6, 61, 197, 20
6, 38, 54, 14
6, 42, 73, 15
6, 20, 33, 9
6, 55, 139, 19
6, 18, 29, 9
6, 26, 45, 11
6, 9, 7, 6
6, 44, 73, 16
6, 61, 186, 21
6, 44, 121, 19
6, 40, 49, 14
6, 26, 52, 11
6, 9, 17, 6
6, 21, 30, 10
6, 19, 36, 9
6, 50, 84, 15
6, 21, 36, 9
6, 35, 77, 13
6, 39, 100, 16
6, 22, 40, 10
6, 34, 67, 14
6, 20, 28, 10
6, 13, 14, 7
6, 47, 94, 18
6, 13, 14, 8
6, 4, 5, 4
6, 14, 28, 8
6, 18, 33, 9
6, 30, 44, 12
6, 12, 13, 7
6, 30, 63, 13
6, 49, 35, 16
6, 18, 19, 8
6, 20, 35, 10
6, 15, 36, 9
6, 22, 32, 9
6, 29, 66, 12
6, 21, 33, 10
6, 10, 14, 6
6, 20, 15, 8
6, 33, 60, 13
6, 19, 19, 8
6, 22, 23, 8
6, 14, 25, 8
6, 12, 12, 7
6, 20, 24, 9
6, 14, 20, 8
6, 27, 50, 11
6, 23, 30, 9
6, 33, 67, 13
6, 26, 29, 9
6, 28, 38, 12
6, 23, 33, 10
6, 6, 7, 4
6, 29, 32, 11
6, 15, 25, 8
6, 24, 53, 12
6, 28, 50, 12
6, 54, 47, 14
6, 40, 62, 15
6, 17, 19, 9
6, 32, 59, 13
6, 11, 14, 6
6, 31, 57, 13
6, 9, 13, 6
6, 18, 23, 9
6, 50, 99, 17
6, 12, 24, 7
6, 20, 38, 9
6, 35, 38, 11
6, 45, 72, 17
6, 30, 28, 11
6, 79, 146, 19
6, 23, 48, 11
6, 44, 64, 15
6, 21, 25, 9
6, 14, 19, 8
6, 18, 25, 7
7, 22, 24, 9
7, 14, 20, 8
7, 58, 105, 19
7, 32, 60, 13
7, 16, 26, 8
7, 15, 19, 7
7, 12, 15, 7
7, 9, 14, 6
7, 33, 49, 12
7, 24, 46, 12
7, 60, 114, 19
7, 13, 17, 7
7, 12, 15, 7
7, 13, 17, 8
7, 9, 11, 6
7, 14, 25, 8
7, 11, 13, 6
7, 19, 32, 9
7, 19, 27, 10
7, 21, 39, 10
7, 29, 36, 11
7, 12, 21, 7
7, 23, 31, 10
7, 32, 44, 12
7, 14, 19, 7
7, 9, 15, 6
7, 20, 26, 9
7, 11, 12, 7
7, 20, 55, 11
7, 13, 11, 7
7, 17, 26, 8
7, 26, 46, 12
7, 25, 40, 10
7, 15, 20, 8
7, 28, 52, 12
7, 16, 18, 8
7, 21, 30, 9
7, 14, 24, 8
7, 34, 56, 11
7, 6, 10, 5
7, 16, 39, 9
7, 67, 76, 17
7, 23, 23, 10
7, 19, 38, 10
7, 24, 45, 12
7, 16, 20, 7
7, 46, 58, 14
7, 14, 35, 8
7, 20, 21, 8
7, 7, 6, 5
7, 18, 28, 9
7, 11, 23, 7
7, 6, 6, 4
7, 18, 25, 9
7, 30, 52, 11
7, 21, 28, 9
7, 16, 16, 8
7, 13, 25, 7
7, 9, 13, 6
7, 8, 8, 5
7, 43, 84, 17
7, 27, 28, 10
7, 13, 10, 7
7, 12, 14, 7
7, 16, 19, 8
7, 8, 11, 6
7, 11, 23, 7
7, 7, 8, 5
7, 24, 47, 11
7, 19, 34, 9
7, 42, 51, 14
7, 22, 29, 9
7, 32, 58, 12
7, 29, 43, 12
7, 14, 15, 7
7, 11, 11, 6
7, 6, 14, 5
7, 11, 19, 7
7, 18, 33, 9
7, 21, 44, 11
7, 32, 53, 10
7, 13, 18, 7
7, 18, 21, 9
7, 27, 30, 11
7, 21, 33, 10
7, 38, 85, 16
7, 26, 72, 12
7, 12, 14, 7
7, 9, 11, 6
7, 34, 50, 12
7, 25, 38, 10
7, 17, 19, 8
7, 9, 17, 6
7, 43, 87, 16
7, 16, 15, 7
7, 17, 29, 8
7, 14, 25, 8
7, 45, 92, 17
7, 28, 49, 12
7, 28, 43, 11
7, 25, 52, 10
7, 6, 7, 4
7, 11, 18, 6
7, 21, 36, 10
7, 9, 17, 6
7, 21, 55, 11
7, 16, 29, 9
7, 30, 56, 12
7, 21, 31, 9
7, 28, 73, 13
7, 27, 32, 11
7, 29, 64, 13
7, 36, 46, 14
7, 48, 86, 17
7, 16, 20, 9
7, 11, 17, 7
7, 58, 100, 15
7, 23, 40, 11
7, 44, 73, 15
7, 21, 29, 9
7, 14, 19, 8
7, 18, 32, 7
8, 47, 90, 17
8, 16, 17, 8
8, 36, 66, 13
8, 18, 25, 9
8, 13, 12, 7
8, 26, 41, 11
8, 39, 49, 14
8, 9, 4, 5
8, 25, 39, 11
8, 36, 63, 12
8, 24, 33, 9
8, 10, 13, 6
8, 28, 59, 12
8, 16, 26, 8
8, 14, 21, 8
8, 23, 28, 10
8, 8, 17, 6
8, 28, 56, 13
8, 25, 31, 11
8, 9, 15, 6
8, 38, 51, 13
8, 9, 11, 6
8, 21, 31, 10
8, 4, 8, 4
8, 19, 32, 9
8, 16, 24, 7
8, 31, 66, 12
8, 16, 25, 8
8, 20, 21, 9
8, 18, 15, 7
8, 14, 32, 8
8, 15, 26, 8
8, 7, 7, 5
8, 18, 35, 10
8, 23, 44, 11
8, 18, 15, 8
8, 39, 52, 14
8, 9, 14, 6
8, 27, 62, 12
8, 13, 17, 7
8, 22, 37, 10
8, 25, 43, 12
8, 42, 61, 14
8, 9, 9, 6
8, 11, 13, 7
8, 32, 54, 12
8, 36, 51, 13
8, 16, 19, 8
8, 14, 12, 7
8, 6, 7, 5
8, 13, 21, 8
8, 6, 6, 5
8, 9, 12, 6
8, 12, 20, 7
8, 12, 19, 7
8, 24, 44, 11
8, 11, 13, 7
8, 40, 81, 14
8, 16, 18, 8
8, 26, 51, 11
8, 12, 28, 7
8, 13, 23, 7
8, 16, 25, 8
8, 20, 24, 9
8, 24, 33, 10
8, 23, 45, 10
8, 9, 16, 6
8, 13, 17, 8
8, 31, 32, 11
8, 14, 15, 7
8, 20, 25, 9
8, 28, 28, 11
8, 9, 15, 6
8, 16, 14, 7
8, 9, 13, 6
8, 14, 13, 8
8, 24, 43, 10
8, 9, 6, 5
8, 13, 17, 7
