total_dep_len, sent_len
36, 14
21, 10
17, 9
9, 6
45, 16
12, 7
27, 11
9, 6
42, 15
24, 9
16, 9
14, 7
28, 12
10, 5
14, 8
21, 9
29, 12
33, 13
12, 7
22, 10
23, 11
36, 15
18, 8
19, 10
14, 8
12, 7
39, 13
24, 9
28, 12
24, 9
32, 12
13, 7
25, 11
6, 4
19, 10
13, 7
38, 14
21, 9
58, 16
9, 6
14, 8
12, 7
31, 13
23, 11
36, 13
9, 6
24, 12
16, 8
23, 10
27, 12
26, 11
51, 13
23, 11
44, 15
21, 9
14, 8
18, 7
75, 22
14, 7
50, 17
46, 17
25, 10
20, 8
42, 16
49, 15
18, 9
26, 12
40, 16
30, 13
18, 8
72, 22
13, 7
14, 7
16, 8
47, 19
22, 10
11, 6
32, 13
53, 18
36, 15
9, 6
9, 6
16, 8
28, 13
8, 5
18, 9
15, 8
17, 9
26, 11
36, 14
9, 6
13, 7
35, 13
65, 20
28, 11
11, 7
22, 11
72, 20
7, 5
11, 6
22, 10
22, 11
29, 10
31, 12
4, 4
9, 6
40, 14
21, 11
21, 11
50, 17
11, 6
36, 15
57, 21
60, 20
14, 7
23, 11
58, 15
23, 11
9, 6
18, 7
24, 11
14, 7
13, 7
9, 6
18, 9
25, 11
21, 9
7, 5
17, 8
16, 8
13, 7
16, 8
6, 4
16, 8
46, 15
33, 14
12, 7
20, 8
17, 8
20, 8
33, 13
40, 15
4, 4
17, 9
26, 11
40, 14
28, 10
32, 11
42, 17
15, 9
17, 8
18, 8
23, 12
19, 8
16, 8
11, 7
39, 13
23, 10
14, 8
9, 5
11, 7
68, 16
23, 11
44, 15
21, 9
16, 8
18, 7
35, 13
28, 12
15, 8
7, 5
26, 11
28, 12
11, 7
16, 8
5, 5
21, 9
12, 7
16, 8
16, 8
9, 6
34, 13
39, 14
16, 8
30, 11
25, 11
16, 8
6, 5
12, 7
23, 8
11, 6
19, 9
15, 7
8, 6
11, 7
30, 12
15, 8
7, 6
7, 5
13, 7
21, 9
9, 6
33, 12
12, 7
27, 12
7, 5
10, 7
37, 14
13, 8
39, 14
29, 11
36, 13
35, 12
16, 8
13, 7
4, 4
30, 13
16, 9
23, 9
24, 10
13, 7
6, 5
30, 12
13, 8
9, 6
8, 6
23, 11
21, 9
21, 9
12, 7
43, 13
9, 6
31, 14
30, 12
59, 18
11, 7
20, 10
27, 12
17, 8
12, 7
14, 8
11, 6
9, 7
14, 9
25, 11
7, 5
19, 9
12, 7
15, 8
20, 9
16, 9
23, 10
17, 9
17, 9
36, 14
29, 12
30, 11
17, 9
20, 10
29, 12
4, 4
68, 16
23, 11
44, 15
21, 9
16, 8
18, 7
9, 6
49, 16
29, 14
18, 9
51, 15
22, 9
20, 10
10, 6
16, 8
14, 8
12, 7
42, 19
7, 5
22, 9
12, 7
8, 6
15, 8
18, 8
15, 8
18, 9
35, 13
27, 12
19, 8
19, 10
21, 9
20, 10
27, 10
10, 6
12, 7
9, 6
15, 7
14, 8
17, 9
10, 6
9, 6
16, 8
12, 7
4, 4
23, 10
16, 8
6, 5
38, 14
14, 8
15, 8
10, 6
21, 9
24, 9
21, 9
24, 9
23, 10
16, 7
22, 10
11, 7
9, 6
13, 8
54, 17
26, 11
11, 7
32, 12
22, 11
26, 10
7, 5
9, 6
68, 16
23, 11
9, 6
18, 7
30, 11
46, 14
61, 20
38, 14
42, 15
20, 9
55, 19
18, 9
26, 11
9, 6
44, 16
61, 21
44, 19
40, 14
26, 11
9, 6
21, 10
19, 9
50, 15
21, 9
35, 13
39, 16
22, 10
34, 14
20, 10
13, 7
47, 18
13, 8
4, 4
14, 8
18, 9
30, 12
12, 7
30, 13
