video_id, sentence_id, dep_length, total_length
1, 2, 5, 5
1, 8, 54, 31
1, 9, 10, 8
1, 11, 10, 7
1, 12, 7, 6
1, 14, 13, 9
1, 17, 5, 5
1, 18, 62, 31
1, 19, 4, 5
1, 20, 36, 20
1, 25, 9, 7
1, 27, 16, 12
1, 30, 11, 9
1, 32, 14, 10
1, 33, 6, 5
1, 34, 7, 6
1, 37, 20, 13
1, 39, 13, 10
1, 40, 6, 5
1, 42, 6, 6
1, 43, 6, 5
1, 46, 6, 6
1, 48, 10, 7
1, 61, 22, 12
1, 64, 16, 10
1, 67, 7, 6
1, 70, 13, 9
1, 77, 17, 9
2, 3, 5, 5
2, 5, 9, 8
2, 7, 7, 6
2, 9, 11, 8
2, 13, 8, 7
2, 14, 16, 11
2, 15, 4, 5
2, 16, 7, 6
2, 18, 12, 7
2, 20, 10, 8
2, 21, 20, 12
2, 22, 17, 11
2, 23, 9, 7
2, 25, 7, 6
2, 26, 9, 6
2, 27, 14, 9
2, 29, 8, 7
2, 30, 15, 11
2, 31, 16, 8
2, 33, 9, 7
2, 34, 7, 6
2, 35, 19, 10
2, 37, 6, 5
2, 38, 29, 19
2, 39, 23, 13
2, 42, 24, 15
2, 44, 7, 6
2, 45, 26, 17
2, 46, 9, 8
2, 49, 20, 14
2, 50, 10, 8
2, 53, 19, 10
2, 54, 5, 5
2, 56, 6, 6
2, 57, 35, 19
2, 59, 7, 6
2, 62, 20, 9
2, 63, 31, 15
2, 67, 19, 13
2, 69, 16, 8
2, 72, 5, 5
2, 74, 5, 5
2, 76, 40, 22
2, 81, 7, 6
2, 82, 15, 11
2, 84, 9, 7
2, 86, 15, 10
2, 89, 18, 12
2, 91, 12, 7
2, 92, 10, 8
3, 3, 24, 16
3, 5, 46, 27
3, 6, 14, 11
3, 9, 6, 5
3, 13, 7, 6
3, 14, 39, 19
3, 15, 10, 8
3, 16, 22, 13
3, 17, 6, 5
3, 18, 29, 20
3, 19, 21, 14
3, 24, 16, 8
3, 25, 10, 8
3, 26, 4, 5
3, 27, 15, 10
3, 28, 8, 7
3, 30, 9, 6
3, 32, 18, 11
3, 34, 10, 8
3, 35, 7, 6
3, 37, 7, 6
3, 40, 12, 9
3, 41, 10, 8
3, 42, 7, 6
3, 43, 10, 8
3, 45, 7, 6
3, 47, 5, 5
3, 48, 9, 6
3, 49, 12, 9
3, 53, 6, 6
3, 55, 6, 5
3, 56, 41, 24
3, 57, 13, 9
3, 58, 8, 7
3, 65, 12, 7
3, 72, 4, 5
3, 75, 14, 10
3, 81, 5, 5
3, 90, 5, 5
3, 91, 11, 8
3, 97, 4, 5
3, 98, 7, 6
3, 100, 10, 8
3, 106, 10, 8
3, 107, 5, 5
3, 113, 27, 18
3, 115, 8, 7
3, 116, 7, 6
3, 117, 8, 7
3, 119, 7, 6
3, 123, 6, 6
3, 126, 10, 9
3, 128, 16, 12
3, 129, 9, 7
3, 130, 16, 10
3, 132, 27, 15
4, 1, 7, 6
4, 2, 10, 8
4, 5, 11, 9
4, 6, 30, 18
4, 7, 19, 14
4, 8, 5, 5
4, 10, 20, 13
4, 11, 6, 6
4, 13, 13, 10
4, 14, 27, 17
4, 15, 10, 8
4, 16, 9, 7
4, 17, 6, 6
4, 18, 18, 12
4, 20, 7, 6
4, 21, 13, 9
4, 22, 27, 18
4, 23, 11, 9
4, 24, 18, 12
4, 26, 7, 6
4, 27, 13, 9
4, 28, 12, 10
4, 30, 20, 13
4, 31, 11, 9
5, 12, 5, 5
5, 13, 33, 19
5, 15, 19, 12
5, 18, 37, 18
5, 19, 22, 14
5, 20, 18, 13
5, 22, 12, 10
5, 26, 5, 5
5, 27, 11, 9
5, 28, 9, 7
5, 31, 6, 6
5, 32, 5, 5
5, 33, 21, 13
5, 40, 19, 12
5, 41, 7, 6
5, 43, 7, 6
5, 44, 9, 7
5, 45, 5, 5
5, 46, 8, 7
5, 48, 9, 6
5, 52, 6, 5
5, 54, 8, 7
5, 57, 5, 5
5, 61, 13, 10
5, 62, 31, 15
5, 66, 9, 7
5, 68, 12, 9
5, 70, 6, 5
5, 71, 6, 5
5, 74, 6, 5
5, 77, 6, 6
5, 79, 30, 17
5, 80, 10, 8
5, 82, 6, 5
5, 83, 6, 5
5, 86, 7, 6
5, 87, 7, 6
5, 88, 20, 9
5, 89, 6, 6
5, 90, 14, 11
5, 91, 9, 7
5, 92, 23, 14
5, 95, 20, 13
5, 100, 43, 23
5, 102, 9, 7
5, 103, 9, 8
5, 104, 6, 5
5, 105, 25, 15
5, 109, 9, 6
5, 110, 23, 13
5, 111, 10, 7
5, 112, 36, 21
6, 3, 15, 11
6, 4, 15, 11
6, 5, 14, 11
6, 7, 10, 8
6, 8, 5, 5
6, 12, 11, 9
6, 13, 6, 6
6, 14, 5, 5
6, 16, 30, 14
6, 18, 5, 5
6, 26, 35, 20
6, 27, 28, 17
6, 28, 9, 6
6, 29, 34, 17
6, 34, 18, 11
6, 35, 23, 14
7, 4, 17, 11
7, 7, 5, 5
7, 8, 6, 5
7, 9, 20, 12
7, 12, 26, 15
7, 14, 26, 17
7, 15, 10, 8
7, 17, 10, 7
7, 19, 6, 5
7, 20, 32, 16
7, 22, 5, 5
7, 25, 15, 10
7, 27, 5, 5
7, 29, 11, 8
7, 30, 5, 5
7, 31, 21, 13
7, 34, 17, 9
7, 35, 46, 28
7, 36, 24, 16
7, 39, 9, 7
7, 42, 7, 6
7, 44, 31, 16
7, 47, 7, 6
7, 49, 34, 20
7, 50, 6, 5
7, 53, 13, 9
7, 55, 8, 7
7, 59, 26, 16
7, 62, 8, 7
7, 63, 7, 6
7, 67, 61, 34
7, 68, 16, 11
7, 70, 5, 5
7, 71, 20, 13
7, 72, 13, 10
7, 73, 14, 11
7, 74, 13, 9
7, 85, 12, 7
7, 86, 13, 10
8, 1, 16, 10
8, 2, 13, 10
8, 3, 12, 7
8, 4, 7, 6
8, 5, 25, 14
8, 6, 12, 10
8, 7, 5, 5
8, 8, 16, 11
8, 9, 8, 7
8, 15, 18, 12
8, 16, 6, 6
8, 18, 10, 9
8, 19, 8, 7
8, 22, 9, 8
8, 26, 10, 8
8, 27, 19, 12
8, 28, 15, 10
8, 29, 15, 11
8, 30, 13, 8
8, 31, 10, 7
8, 32, 6, 6
8, 33, 17, 12
8, 36, 5, 5
8, 39, 5, 5
8, 42, 13, 10
8, 43, 13, 9
8, 45, 6, 6
8, 46, 7, 6
8, 49, 11, 9
8, 53, 6, 6
8, 54, 9, 8
8, 55, 6, 5
8, 59, 6, 5
8, 60, 17, 11
8, 61, 10, 8
8, 63, 13, 9
8, 65, 9, 8
8, 70, 9, 7
8, 71, 6, 6
8, 73, 6, 6
8, 77, 6, 5
9, 2, 37, 16
9, 3, 16, 10
9, 6, 28, 15
9, 7, 22, 13
9, 8, 14, 9
9, 9, 41, 25
9, 11, 35, 20
9, 12, 11, 9
9, 14, 4, 5
9, 15, 42, 25
9, 17, 10, 7
9, 19, 19, 12
9, 21, 6, 5
9, 22, 9, 8
9, 29, 10, 8
9, 30, 21, 13
9, 32, 5, 5
9, 33, 8, 7
9, 34, 17, 13
9, 38, 12, 9
9, 42, 8, 7
9, 46, 18, 11
9, 49, 5, 5
9, 51, 34, 21
9, 52, 40, 22
9, 53, 12, 9
9, 55, 5, 5
9, 56, 12, 10
9, 61, 21, 13
9, 66, 24, 15
9, 67, 20, 14
9, 69, 12, 7
9, 70, 16, 11
9, 72, 13, 8
9, 74, 6, 5
9, 75, 5, 5
9, 76, 6, 5
9, 79, 11, 9
9, 80, 6, 6
9, 81, 6, 5
9, 82, 10, 8
9, 83, 5, 5
9, 84, 9, 7
9, 85, 6, 5
9, 86, 9, 6
9, 87, 21, 14
9, 88, 33, 20
9, 89, 46, 22
9, 91, 15, 10
9, 92, 5, 5
9, 93, 30, 17
9, 94, 7, 6
9, 95, 15, 9
9, 96, 10, 8
9, 97, 24, 15
9, 98, 17, 12
9, 99, 10, 7
9, 101, 13, 8
9, 102, 16, 12
9, 103, 7, 7
10, 3, 35, 21
10, 4, 6, 5
10, 5, 54, 22
10, 6, 13, 9
10, 7, 14, 9
10, 8, 5, 5
10, 10, 19, 10
10, 11, 17, 12
10, 12, 57, 27
10, 13, 55, 25
10, 14, 84, 38
10, 15, 29, 19
10, 17, 58, 28
10, 18, 12, 7
10, 20, 73, 35
10, 21, 17, 10
10, 22, 13, 8
10, 23, 13, 9
10, 25, 69, 33
10, 26, 59, 27
10, 27, 59, 26
10, 29, 8, 7
10, 30, 27, 17
10, 31, 13, 9
10, 32, 20, 13
10, 33, 18, 12
10, 34, 63, 30
10, 35, 74, 38
10, 38, 41, 21
10, 40, 7, 6
10, 41, 16, 10
10, 43, 56, 28
10, 44, 38, 19
10, 46, 25, 16
10, 47, 5, 5
10, 48, 7, 6
10, 51, 12, 9
10, 53, 5, 5
10, 55, 7, 6
10, 56, 10, 7
10, 57, 5, 5
10, 58, 28, 13
10, 59, 13, 10
10, 61, 16, 8
10, 62, 24, 15
10, 63, 12, 7
10, 64, 13, 9
10, 69, 62, 33
10, 70, 10, 8
