video_id, sentence_id, dep_length, total_length
1, 2, 20, 8
1, 4, 5, 5
1, 6, 9, 6
1, 8, 16, 9
1, 10, 17, 8
1, 11, 46, 16
1, 14, 10, 5
1, 15, 14, 7
1, 16, 13, 7
1, 17, 10, 5
1, 18, 10, 5
1, 20, 13, 7
1, 21, 7, 5
1, 23, 8, 6
1, 24, 48, 19
1, 26, 35, 15
1, 27, 28, 10
1, 28, 10, 7
1, 29, 9, 7
1, 30, 7, 5
1, 31, 10, 7
1, 35, 7, 6
1, 36, 13, 7
1, 38, 105, 30
1, 39, 27, 10
1, 40, 5, 5
1, 42, 42, 12
1, 43, 9, 6
1, 44, 28, 13
1, 45, 19, 12
1, 46, 24, 9
1, 47, 7, 5
1, 48, 20, 9
1, 49, 7, 5
1, 50, 23, 11
1, 51, 89, 30
1, 52, 7, 5
1, 53, 36, 12
1, 55, 36, 13
1, 56, 58, 20
1, 59, 36, 14
1, 60, 34, 12
1, 61, 15, 9
1, 62, 22, 12
1, 63, 22, 10
1, 65, 21, 13
1, 66, 65, 18
1, 67, 7, 6
1, 68, 71, 33
1, 69, 61, 27
1, 72, 6, 5
1, 73, 13, 10
1, 74, 36, 17
1, 75, 13, 8
1, 76, 39, 15
1, 77, 22, 11
1, 78, 13, 6
1, 79, 17, 7
1, 80, 15, 6
1, 81, 10, 5
1, 82, 6, 5
1, 85, 19, 9
1, 86, 10, 7
1, 96, 26, 9
1, 97, 15, 11
1, 98, 34, 11
1, 99, 48, 20
1, 100, 6, 5
1, 101, 7, 5
1, 102, 45, 15
1, 104, 10, 7
1, 106, 41, 18
1, 107, 6, 5
1, 108, 20, 12
1, 109, 46, 16
1, 110, 15, 6
1, 111, 53, 20
1, 112, 32, 14
1, 113, 55, 23
1, 115, 53, 19
1, 116, 8, 5
1, 120, 11, 7
1, 121, 30, 13
1, 122, 42, 16
1, 123, 34, 15
1, 124, 29, 12
1, 125, 17, 10
1, 126, 41, 17
1, 130, 25, 13
1, 131, 39, 15
1, 133, 28, 15
1, 134, 8, 6
1, 135, 37, 13
1, 136, 37, 17
1, 137, 35, 14
1, 138, 11, 6
1, 139, 39, 15
1, 140, 24, 12
1, 141, 42, 13
1, 142, 13, 8
1, 143, 26, 14
1, 144, 21, 10
1, 145, 21, 12
1, 147, 19, 8
1, 148, 6, 5
2, 2, 124, 36
2, 3, 37, 18
2, 4, 42, 19
2, 5, 29, 12
2, 6, 11, 8
2, 8, 26, 12
2, 10, 5, 5
2, 11, 52, 17
2, 12, 26, 11
2, 13, 29, 11
2, 14, 11, 7
