video_id, sentence_id, dep_length, total_length
1, 2, 11, 8
1, 4, 4, 5
1, 6, 7, 6
1, 8, 11, 9
1, 10, 10, 8
1, 11, 25, 16
1, 14, 6, 5
1, 15, 8, 7
1, 16, 9, 7
1, 17, 6, 5
1, 18, 6, 5
1, 20, 8, 7
1, 21, 6, 5
1, 23, 6, 6
1, 24, 36, 19
1, 26, 23, 15
1, 27, 13, 10
1, 28, 7, 7
1, 29, 8, 7
1, 30, 4, 5
1, 31, 8, 7
1, 35, 6, 6
1, 36, 8, 7
1, 38, 64, 30
1, 39, 15, 10
1, 40, 5, 5
1, 42, 21, 12
1, 43, 7, 6
1, 44, 19, 13
1, 45, 16, 12
1, 46, 12, 9
1, 47, 4, 5
1, 48, 11, 9
1, 49, 6, 5
1, 50, 17, 11
1, 51, 56, 30
1, 52, 4, 5
1, 53, 17, 12
1, 55, 21, 13
1, 56, 36, 20
1, 59, 22, 14
1, 60, 18, 12
1, 61, 12, 9
1, 62, 16, 12
1, 63, 17, 10
1, 65, 20, 13
1, 66, 33, 18
1, 67, 7, 6
1, 68, 52, 33
1, 69, 47, 27
1, 72, 5, 5
1, 73, 11, 10
1, 74, 29, 17
1, 75, 10, 8
1, 76, 24, 15
1, 77, 16, 11
1, 78, 6, 6
1, 79, 8, 7
1, 80, 9, 6
1, 81, 6, 5
1, 82, 5, 5
1, 85, 11, 9
1, 86, 8, 7
1, 96, 13, 9
1, 97, 13, 11
1, 98, 17, 11
1, 99, 36, 20
1, 100, 4, 5
1, 101, 5, 5
1, 102, 25, 15
1, 104, 8, 7
1, 106, 26, 18
1, 107, 5, 5
1, 108, 17, 12
1, 109, 31, 16
1, 110, 9, 6
1, 111, 38, 20
1, 112, 20, 14
1, 113, 39, 23
1, 115, 33, 19
1, 116, 5, 5
1, 120, 7, 7
1, 121, 19, 13
1, 122, 26, 16
1, 123, 26, 15
1, 124, 19, 12
1, 125, 12, 10
1, 126, 27, 17
1, 130, 20, 13
1, 131, 27, 15
1, 133, 23, 15
1, 134, 6, 6
1, 135, 19, 13
1, 136, 28, 17
1, 137, 23, 14
1, 138, 7, 6
1, 139, 27, 15
1, 140, 19, 12
1, 141, 25, 13
1, 142, 10, 8
1, 143, 20, 14
1, 144, 13, 10
1, 145, 17, 12
1, 147, 11, 8
1, 148, 5, 5
2, 2, 64, 36
2, 3, 28, 18
2, 4, 30, 19
2, 5, 19, 12
2, 6, 9, 8
2, 8, 19, 12
2, 10, 5, 5
2, 11, 30, 17
2, 12, 12, 11
2, 13, 16, 11
2, 14, 7, 7
2, 16, 6, 5
2, 17, 6, 6
2, 19, 19, 12
2, 21, 14, 10
2, 23, 35, 19
2, 30, 10, 9
2, 31, 11, 9
2, 33, 13, 9
2, 34, 27, 17
2, 35, 6, 6
2, 36, 45, 25
2, 38, 14, 9
2, 43, 45, 27
2, 44, 7, 6
2, 45, 6, 5
2, 47, 9, 6
2, 48, 5, 5
2, 50, 5, 5
2, 53, 6, 5
2, 55, 13, 10
2, 56, 7, 6
2, 58, 5, 5
2, 60, 11, 9
2, 61, 12, 9
2, 63, 16, 11
2, 64, 19, 12
2, 65, 13, 8
2, 66, 5, 5
2, 67, 37, 20
2, 70, 15, 12
2, 71, 6, 6
2, 72, 10, 8
2, 73, 7, 6
2, 75, 25, 17
2, 76, 44, 23
2, 77, 65, 28
2, 78, 22, 13
2, 81, 33, 18
2, 82, 15, 12
2, 83, 10, 9
2, 84, 24, 15
2, 85, 23, 16
2, 86, 7, 6
2, 87, 36, 22
2, 88, 5, 5
2, 89, 7, 6
2, 90, 18, 13
2, 91, 13, 9
2, 92, 9, 7
2, 93, 19, 12
2, 94, 5, 6
2, 95, 5, 6
2, 97, 10, 7
2, 98, 43, 25
2, 99, 5, 5
2, 100, 38, 17
2, 102, 14, 11
2, 103, 67, 30
2, 106, 57, 32
2, 107, 35, 19
2, 108, 85, 38
2, 109, 5, 5
2, 110, 7, 6
2, 111, 25, 15
2, 113, 7, 6
2, 114, 20, 13
2, 117, 35, 22
4, 2, 12, 9
4, 3, 18, 12
4, 4, 37, 21
4, 6, 10, 7
4, 9, 11, 8
4, 10, 6, 5
4, 17, 5, 5
4, 19, 9, 7
4, 20, 10, 8
4, 21, 17, 12
4, 23, 13, 8
4, 24, 12, 9
4, 26, 16, 11
4, 27, 20, 12
4, 28, 39, 23
4, 29, 6, 5
4, 34, 5, 5
4, 35, 28, 17
4, 37, 22, 15
4, 39, 20, 12
4, 40, 5, 5
4, 41, 9, 8
4, 42, 5, 6
4, 43, 17, 11
4, 44, 13, 10
4, 47, 36, 19
4, 48, 12, 10
4, 49, 9, 6
4, 50, 18, 13
4, 51, 7, 7
4, 52, 11, 8
4, 53, 11, 9
4, 55, 13, 8
4, 56, 9, 8
4, 57, 5, 5
4, 58, 9, 7
4, 59, 5, 5
4, 62, 31, 19
4, 63, 5, 6
4, 64, 6, 5
4, 67, 16, 13
4, 68, 14, 11
4, 70, 6, 6
4, 73, 28, 18
4, 74, 4, 5
4, 75, 20, 12
4, 76, 55, 29
4, 77, 24, 14
4, 79, 9, 8
4, 80, 6, 5
4, 84, 7, 6
4, 86, 10, 8
4, 87, 13, 9
4, 90, 33, 19
4, 91, 7, 6
4, 92, 32, 19
