video_id, sentence_id, dep_length, total_length
1, 2, 23, 12
1, 3, 24, 14
1, 4, 10, 5
1, 8, 25, 14
1, 9, 27, 17
1, 11, 14, 6
1, 14, 8, 6
1, 15, 9, 6
1, 16, 21, 13
1, 17, 51, 18
1, 20, 17, 10
1, 22, 5, 5
1, 25, 11, 6
1, 27, 19, 11
1, 28, 9, 6
1, 29, 32, 13
1, 34, 22, 13
1, 38, 9, 7
1, 40, 10, 8
1, 42, 25, 11
1, 43, 8, 5
1, 44, 11, 7
1, 47, 9, 7
1, 56, 35, 16
1, 58, 9, 6
1, 59, 33, 17
1, 60, 14, 8
1, 63, 49, 15
1, 64, 8, 6
1, 67, 53, 20
1, 77, 21, 9
1, 79, 11, 6
1, 80, 48, 22
1, 85, 25, 13
1, 90, 22, 13
1, 92, 8, 5
1, 94, 27, 9
1, 97, 17, 9
1, 98, 10, 5
1, 99, 23, 11
1, 101, 20, 9
1, 102, 7, 5
1, 103, 17, 10
1, 109, 13, 6
1, 112, 23, 14
1, 122, 6, 5
1, 123, 9, 5
1, 129, 26, 13
1, 131, 19, 12
1, 132, 8, 5
1, 133, 7, 5
1, 136, 6, 5
1, 138, 25, 12
1, 141, 10, 9
1, 142, 41, 18
1, 144, 10, 8
1, 145, 11, 7
1, 146, 15, 11
1, 148, 13, 8
1, 150, 20, 11
1, 151, 16, 10
1, 152, 21, 12
2, 2, 7, 6
2, 4, 18, 10
2, 6, 12, 8
2, 8, 8, 5
2, 10, 16, 8
2, 11, 17, 11
2, 12, 13, 7
2, 14, 10, 7
2, 15, 8, 5
2, 16, 15, 9
2, 17, 10, 7
2, 19, 6, 6
2, 20, 27, 10
2, 21, 22, 10
2, 22, 22, 11
2, 24, 11, 7
2, 25, 7, 6
2, 29, 15, 7
2, 32, 16, 8
2, 34, 7, 5
2, 35, 27, 14
2, 36, 10, 8
2, 38, 9, 7
2, 39, 9, 7
2, 40, 52, 17
2, 43, 14, 8
2, 46, 15, 8
2, 48, 9, 6
2, 49, 7, 5
2, 50, 7, 6
2, 52, 10, 5
2, 54, 22, 11
2, 60, 19, 9
2, 62, 13, 8
2, 63, 7, 6
2, 66, 6, 6
2, 67, 11, 7
2, 68, 7, 5
2, 70, 6, 5
2, 75, 5, 5
2, 77, 6, 5
2, 80, 6, 5
2, 83, 8, 6
2, 84, 7, 6
2, 90, 47, 18
2, 91, 72, 17
2, 95, 16, 11
2, 96, 95, 24
2, 100, 23, 11
2, 101, 6, 5
2, 108, 32, 12
2, 109, 10, 5
2, 111, 47, 13
2, 112, 18, 10
2, 115, 56, 12
2, 116, 14, 6
2, 118, 6, 5
2, 119, 16, 9
2, 120, 17, 9
2, 122, 11, 8
2, 123, 82, 24
2, 124, 18, 11
2, 125, 31, 13
2, 126, 14, 11
3, 1, 8, 6
3, 3, 8, 6
3, 4, 11, 6
3, 5, 26, 12
3, 7, 15, 6
3, 8, 16, 11
3, 9, 18, 11
3, 10, 24, 13
3, 11, 52, 23
3, 12, 23, 12
3, 14, 13, 8
3, 15, 7, 5
3, 16, 25, 11
3, 17, 66, 23
3, 18, 12, 7
3, 19, 12, 8
3, 21, 24, 13
3, 22, 7, 5
3, 23, 39, 16
3, 24, 24, 13
3, 25, 53, 20
3, 26, 59, 21
3, 28, 42, 14
3, 29, 33, 14
3, 32, 15, 6
3, 33, 10, 7
3, 34, 35, 16
3, 35, 47, 16
3, 36, 71, 22
3, 38, 28, 16
3, 42, 31, 17
3, 43, 14, 6
3, 44, 61, 21
3, 45, 67, 21
3, 46, 6, 5
3, 47, 49, 17
3, 49, 33, 17
3, 53, 48, 12
3, 54, 78, 24
3, 55, 31, 13
3, 56, 29, 15
4, 1, 8, 5
4, 2, 18, 8
4, 4, 10, 5
4, 5, 14, 8
4, 7, 5, 5
4, 10, 9, 6
4, 11, 13, 10
4, 12, 25, 12
4, 13, 24, 10
4, 14, 6, 5
4, 16, 38, 12
4, 17, 14, 8
4, 20, 9, 5
4, 21, 48, 18
4, 26, 9, 6
4, 30, 12, 6
4, 31, 14, 10
4, 33, 12, 7
4, 34, 6, 5
4, 35, 30, 14
4, 39, 72, 21
4, 40, 22, 9
4, 41, 9, 6
4, 43, 21, 10
4, 48, 17, 11
4, 50, 10, 7
4, 54, 20, 10
4, 55, 23, 11
4, 57, 9, 5
4, 59, 41, 19
4, 60, 21, 10
4, 61, 26, 11
4, 62, 10, 6
4, 63, 14, 8
4, 64, 9, 6
4, 66, 14, 9
4, 67, 20, 11
4, 69, 32, 18
4, 70, 13, 9
4, 74, 6, 5
4, 76, 16, 7
4, 78, 7, 6
4, 79, 30, 13
4, 81, 12, 6
4, 87, 36, 19
4, 88, 6, 5
5, 1, 15, 9
5, 2, 12, 7
5, 3, 8, 6
5, 4, 11, 7
5, 5, 7, 6
5, 6, 16, 8
5, 7, 71, 21
5, 9, 11, 8
5, 10, 22, 11
5, 11, 14, 8
5, 14, 18, 9
5, 15, 39, 17
5, 17, 13, 9
5, 19, 47, 12
5, 23, 6, 5
5, 24, 25, 12
5, 25, 61, 22
5, 28, 28, 12
5, 33, 32, 13
5, 34, 9, 7
5, 36, 84, 29
5, 38, 36, 18
5, 39, 40, 20
5, 41, 21, 10
5, 42, 16, 10
5, 46, 12, 9
5, 47, 12, 9
5, 49, 7, 5
5, 51, 16, 9
5, 52, 9, 7
5, 55, 15, 7
5, 60, 25, 13
5, 61, 12, 7
5, 62, 7, 5
5, 63, 9, 7
5, 64, 7, 5
5, 66, 15, 6
5, 67, 25, 12
5, 69, 16, 9
5, 71, 17, 9
5, 73, 15, 8
5, 76, 26, 11
6, 1, 9, 6
6, 2, 8, 6
6, 4, 25, 10
6, 8, 11, 6
6, 11, 12, 6
6, 12, 13, 9
6, 13, 15, 10
6, 15, 17, 9
6, 19, 5, 5
6, 20, 7, 6
6, 22, 18, 11
6, 24, 15, 9
6, 25, 7, 6
6, 26, 18, 10
6, 31, 15, 9
6, 33, 13, 9
6, 38, 5, 5
6, 40, 18, 10
6, 42, 14, 8
6, 43, 15, 8
6, 45, 67, 18
6, 48, 13, 9
6, 49, 60, 18
6, 51, 7, 5
6, 55, 35, 19
6, 56, 11, 7
6, 59, 8, 5
6, 60, 10, 7
6, 63, 10, 6
6, 64, 19, 11
6, 65, 15, 8
7, 2, 20, 10
7, 3, 24, 10
7, 4, 26, 14
7, 5, 13, 7
7, 11, 16, 10
7, 16, 34, 12
7, 19, 16, 8
7, 21, 6, 5
7, 29, 8, 7
7, 32, 17, 7
7, 34, 12, 6
7, 36, 13, 6
7, 41, 4, 5
7, 42, 9, 6
7, 44, 10, 5
7, 45, 9, 6
7, 47, 41, 15
7, 48, 10, 6
7, 50, 11, 8
7, 54, 5, 5
7, 55, 6, 5
7, 57, 44, 17
7, 62, 5, 5
7, 66, 15, 6
7, 67, 5, 5
7, 68, 13, 9
7, 69, 12, 8
7, 70, 9, 6
7, 73, 55, 19
7, 76, 5, 5
7, 78, 10, 7
7, 82, 13, 8
7, 83, 10, 6
7, 93, 7, 5
7, 94, 20, 11
7, 96, 39, 17
7, 98, 25, 13
7, 101, 5, 5
7, 105, 8, 7
7, 107, 15, 10
7, 109, 15, 7
7, 112, 12, 9
7, 115, 14, 6
7, 117, 29, 13
7, 121, 9, 5
7, 127, 13, 9
7, 128, 64, 25
8, 1, 10, 6
8, 4, 26, 11
8, 5, 7, 5
8, 6, 9, 6
8, 8, 11, 8
8, 9, 25, 13
8, 10, 12, 8
8, 11, 15, 8
8, 12, 38, 12
8, 16, 4, 5
8, 17, 8, 5
8, 19, 15, 9
8, 20, 10, 8
8, 21, 36, 18
8, 22, 19, 10
8, 23, 18, 10
8, 24, 43, 16
8, 26, 7, 6
8, 28, 17, 7
8, 30, 17, 10
8, 31, 15, 9
8, 32, 16, 8
8, 36, 8, 5
8, 42, 5, 5
8, 43, 62, 20
8, 45, 30, 15
8, 46, 18, 8
8, 47, 12, 7
8, 50, 9, 6
8, 51, 20, 11
8, 52, 19, 10
8, 56, 27, 11
8, 57, 6, 5
8, 59, 10, 7
8, 60, 9, 6
8, 61, 16, 9
8, 64, 35, 15
8, 67, 11, 7
8, 69, 13, 8
8, 70, 7, 5
8, 75, 11, 8
8, 78, 19, 9
8, 80, 58, 16
8, 82, 21, 11
8, 84, 15, 9
8, 86, 11, 6
8, 87, 64, 24
8, 88, 11, 7
8, 89, 5, 5
8, 90, 36, 14
8, 93, 32, 16
8, 94, 26, 11
8, 95, 24, 10
9, 1, 5, 5
9, 2, 18, 10
9, 4, 127, 31
9, 6, 7, 5
9, 7, 26, 15
9, 9, 5, 5
9, 11, 8, 6
9, 14, 27, 15
9, 15, 37, 21
9, 17, 104, 36
9, 20, 10, 7
9, 26, 15, 9
9, 28, 22, 11
9, 30, 14, 9
9, 33, 9, 6
9, 36, 41, 16
9, 39, 109, 30
9, 41, 12, 7
10, 1, 5, 5
10, 3, 15, 9
10, 4, 11, 7
10, 7, 51, 22
10, 12, 26, 13
10, 13, 10, 7
10, 14, 13, 6
10, 15, 9, 5
