video_id, sentence_id, dep_length, total_length
1, 2, 30, 12
1, 3, 46, 14
1, 4, 10, 5
1, 8, 39, 14
1, 9, 35, 17
1, 11, 12, 6
1, 14, 11, 6
1, 15, 11, 6
1, 16, 28, 13
1, 17, 67, 18
1, 20, 25, 10
1, 22, 5, 5
1, 25, 9, 6
1, 27, 34, 11
1, 28, 15, 6
1, 29, 29, 13
1, 34, 54, 13
1, 38, 14, 7
1, 40, 12, 8
1, 42, 21, 11
1, 43, 9, 5
1, 44, 15, 7
1, 47, 9, 7
1, 56, 54, 16
1, 58, 12, 6
1, 59, 61, 17
1, 60, 23, 8
1, 63, 56, 15
1, 64, 8, 6
1, 67, 52, 20
1, 77, 16, 9
1, 79, 9, 6
1, 80, 77, 22
1, 85, 43, 13
1, 90, 40, 13
1, 92, 8, 5
1, 94, 27, 9
1, 97, 21, 9
1, 98, 10, 5
1, 99, 23, 11
1, 101, 21, 9
1, 102, 10, 5
1, 103, 22, 10
1, 109, 11, 6
1, 112, 41, 14
1, 122, 8, 5
1, 123, 6, 5
1, 129, 25, 13
1, 131, 39, 12
1, 132, 5, 5
1, 133, 8, 5
1, 136, 7, 5
1, 138, 30, 12
1, 141, 21, 9
1, 142, 116, 18
1, 144, 12, 8
1, 145, 21, 7
1, 146, 23, 11
1, 148, 12, 8
1, 150, 37, 11
1, 151, 17, 10
1, 152, 34, 12
2, 2, 10, 6
2, 4, 28, 10
2, 6, 19, 8
2, 8, 7, 5
2, 10, 16, 8
2, 11, 18, 11
2, 12, 18, 7
2, 14, 9, 7
2, 15, 8, 5
2, 16, 22, 9
2, 17, 11, 7
2, 19, 11, 6
2, 20, 24, 10
2, 21, 27, 10
2, 22, 31, 11
2, 24, 10, 7
2, 25, 13, 6
2, 29, 15, 7
2, 32, 18, 8
2, 34, 6, 5
2, 35, 37, 14
2, 36, 17, 8
2, 38, 18, 7
2, 39, 18, 7
2, 40, 41, 17
2, 43, 24, 8
2, 46, 18, 8
2, 48, 11, 6
2, 49, 7, 5
2, 50, 13, 6
2, 52, 7, 5
2, 54, 26, 11
2, 60, 19, 9
2, 62, 17, 8
2, 63, 13, 6
2, 66, 11, 6
2, 67, 12, 7
2, 68, 7, 5
2, 70, 8, 5
2, 75, 7, 5
2, 77, 7, 5
2, 80, 7, 5
2, 83, 14, 6
2, 84, 11, 6
2, 90, 43, 18
2, 91, 50, 17
2, 95, 38, 11
2, 96, 91, 24
2, 100, 25, 11
2, 101, 7, 5
2, 108, 31, 12
2, 109, 10, 5
2, 111, 44, 13
2, 112, 25, 10
2, 115, 36, 12
2, 116, 10, 6
2, 118, 5, 5
2, 119, 18, 9
2, 120, 18, 9
2, 122, 13, 8
2, 123, 86, 24
2, 124, 25, 11
2, 125, 22, 13
2, 126, 45, 11
3, 1, 7, 6
3, 3, 15, 6
3, 4, 8, 6
3, 5, 34, 12
3, 7, 11, 6
3, 8, 25, 11
3, 9, 28, 11
3, 10, 46, 13
3, 11, 59, 23
3, 12, 24, 12
3, 14, 16, 8
3, 15, 6, 5
3, 16, 23, 11
3, 17, 98, 23
3, 18, 16, 7
3, 19, 23, 8
3, 21, 30, 13
3, 22, 7, 5
3, 23, 67, 16
3, 24, 47, 13
3, 25, 80, 20
3, 26, 80, 21
3, 28, 61, 14
