video_id, sentence_id, dep_length, total_length
3, 1, 118, 33
3, 2, 80, 27
3, 3, 24, 13
3, 5, 14, 9
3, 9, 50, 19
3, 10, 63, 17
4, 5, 104, 36
4, 6, 15, 9
4, 10, 29, 10
4, 11, 32, 17
6, 5, 120, 36
8, 1, 42, 20
8, 3, 76, 29
8, 5, 66, 24
8, 8, 19, 8
8, 10, 14, 9
8, 11, 22, 11
8, 12, 69, 23
8, 13, 18, 11
8, 14, 65, 21
8, 15, 65, 22
8, 17, 17, 10
8, 21, 54, 22
8, 22, 6, 5
8, 24, 29, 13
8, 25, 23, 12
8, 28, 31, 16
8, 29, 80, 32
8, 30, 35, 15
8, 31, 5, 5
8, 32, 45, 18
8, 34, 15, 8
8, 35, 17, 10
8, 36, 5, 5
8, 38, 14, 8
8, 40, 48, 20
8, 43, 78, 30
8, 44, 90, 24
8, 46, 108, 39
8, 47, 9, 6
9, 2, 44, 15
9, 5, 52, 22
9, 6, 86, 34
9, 7, 68, 24
9, 8, 73, 31
9, 10, 27, 15
9, 11, 10, 8
9, 12, 25, 13
9, 13, 26, 12
9, 14, 21, 9
9, 15, 42, 16
9, 16, 13, 7
9, 17, 34, 15
9, 18, 14, 9
9, 19, 23, 12
9, 20, 12, 9
9, 21, 68, 23
9, 22, 7, 5
9, 23, 19, 8
9, 25, 12, 9
9, 26, 16, 8
9, 27, 11, 6
9, 28, 90, 35
9, 29, 11, 6
9, 30, 91, 25
9, 32, 98, 31
9, 33, 79, 29
9, 34, 51, 19
9, 35, 19, 11
9, 36, 103, 26
9, 37, 23, 13
9, 38, 123, 38
9, 39, 153, 40
9, 40, 67, 28
9, 41, 33, 14
9, 42, 9, 7
10, 1, 81, 27
11, 2, 64, 27
11, 3, 15, 7
11, 6, 114, 36
11, 7, 56, 23
11, 10, 26, 15
11, 11, 37, 15
11, 12, 52, 21
11, 13, 33, 18
11, 15, 84, 28
11, 16, 15, 8
11, 18, 23, 13
11, 19, 8, 5
11, 20, 59, 23
11, 21, 27, 15
11, 22, 51, 25
11, 26, 49, 14
11, 27, 17, 8
11, 29, 39, 14
11, 32, 9, 6
11, 33, 26, 13
11, 34, 5, 5
11, 35, 23, 12
11, 36, 36, 19
11, 37, 9, 7
11, 39, 9, 6
11, 40, 68, 28
11, 41, 26, 10
11, 42, 49, 15
11, 43, 10, 5
11, 44, 17, 11
11, 45, 10, 6
11, 46, 8, 5
11, 47, 15, 9
11, 50, 42, 15
11, 52, 16, 7
11, 53, 27, 13
11, 54, 27, 13
11, 55, 15, 9
11, 56, 27, 15
11, 57, 58, 25
11, 58, 38, 15
11, 59, 33, 17
11, 60, 68, 27
11, 61, 64, 29
11, 63, 48, 22
11, 64, 78, 25
11, 65, 105, 34
11, 66, 10, 8
11, 67, 10, 7
11, 68, 22, 13
11, 70, 46, 21
11, 71, 98, 36
11, 72, 74, 31
11, 73, 19, 9
11, 77, 31, 10
11, 78, 13, 8
11, 79, 18, 9
11, 80, 17, 10
11, 81, 6, 5
11, 83, 51, 16
11, 86, 51, 21
11, 87, 17, 11
11, 89, 11, 6
11, 91, 17, 10
11, 93, 33, 13
11, 94, 16, 10
11, 96, 27, 11
11, 97, 20, 10
11, 98, 27, 12
12, 7, 9, 6
12, 12, 14, 8
12, 13, 9, 7
13, 1, 41, 22
13, 2, 68, 30
13, 4, 93, 27
15, 3, 73, 22
15, 4, 70, 24
16, 3, 59, 24
19, 2, 50, 28
19, 3, 25, 13
19, 4, 8, 6
19, 5, 93, 28
19, 6, 29, 15
19, 7, 82, 31
19, 8, 19, 10
19, 9, 25, 13
19, 10, 79, 30
19, 11, 37, 17
19, 12, 53, 20
19, 13, 27, 14
19, 14, 64, 25
19, 15, 106, 24
19, 16, 26, 14
19, 17, 13, 8
19, 18, 76, 22
19, 19, 13, 9
19, 21, 9, 6
19, 22, 34, 12
